url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason
https://learn.microsoft.com/en-us/azure/data-factory/airflow-configurations,Airflow Configurations,Supported Apache Airflow configurations - Azure Data Factory,Reference of supported Apache Airflow configs in ADF,This article enumerates the Apache Airflow configurations supported by the Workflow Orchestration Manager.,"Important On January 1, 2026 you'll no longer be able to create new Airflow instances using ADF's Workflow Orchestration Manager. We recommend that you migrate all Workflow Orchestration Manager (Apache Airflow in Azure Data Factory) workloads toApache Airflow jobs in Microsoft Fabricbefore December 31, 2025. For more information or for support during your migration to Apache Airflow in Microsoft Fabric, contact Microsoft Support. In Workflow Orchestration Manager, Apache Airflow configurations ",2025-12-15T23:10:00.000Z,how-to,configuration,0.9,True,Explicitly enumerates supported Apache Airflow configurations for Workflow Orchestration Manager; this is a configuration reference with specific setting names and allowed values unique to this managed service.
https://learn.microsoft.com/en-us/azure/data-factory/airflow-get-ip-airflow-cluster,Retrieve the IP address of an Airflow cluster,Retrieve the IP address of a Workflow Orchestration Manager cluster - Azure Data Factory,,This article provides step-by-step instructions to retrieve the IP address of a Workflow Orchestration Manager's cluster.,"APPLIES TO:Azure Data FactoryAzure Synapse Analytics Tip Try outData Factory in Microsoft Fabric, an all-in-one analytics solution for enterprises.Microsoft Fabriccovers everything from data movement to data science, real-time analytics, business intelligence, and reporting. Learn how tostart a new trialfor free! Important On January 1, 2026 you'll no longer be able to create new Airflow instances using ADF's Workflow Orchestration Manager. We recommend that you migrate all Workflow Orchestratio",2025-12-15T23:10:00.000Z,how-to,,0.5,False,"Likely a short procedural guide to retrieve the cluster IP (via portal/CLI); unless it exposes specific API schemas or config tables, it is mostly step-by-step instructions rather than reusable expert configuration or troubleshooting knowledge."
https://learn.microsoft.com/en-us/azure/data-factory/airflow-import-dags-blob-storage,Import Dags using Azure Blob Storage,Import DAGs by using Azure Blob Storage - Azure Data Factory,Import Airflow DAGs into ADF via Azure Blob Storage,This article shows the steps required to import DAGs by using Azure Blob Storage.,"This article shows you step-by-step instructions on how to import directed acyclic graphs (DAGs) into Workflow Orchestration Manager by using Azure Blob Storage. Important Workflow Orchestration Manager (powered by Apache Airflow) will be permanently retired in Azure Data Factory on December 31, 2025. The feature is now available in Microsoft Fabric.Learn more We recommend that you migrate all Workflow Orchestration Manager (Apache Airflow in Azure Data Factory) workloads to Data Workflows (Apac",2025-12-15T06:13:00.000Z,conceptual,integrations,0.7,True,"Shows steps to import DAGs using Blob Storage; such integration docs typically specify storage container paths, configuration parameters, and constraints for the integration between ADF Airflow and Blob."
https://learn.microsoft.com/en-us/azure/data-factory/airflow-install-private-package,Install a Private Package,Install a Private package - Azure Data Factory,Install private Python packages in ADF Airflow runtime,This article provides step-by-step instructions on how to install a private package in a Workflow Orchestration Manager runtime.,"APPLIES TO:Azure Data FactoryAzure Synapse Analytics Tip Try outData Factory in Microsoft Fabric, an all-in-one analytics solution for enterprises.Microsoft Fabriccovers everything from data movement to data science, real-time analytics, business intelligence, and reporting. Learn how tostart a new trialfor free! Important On January 1, 2026 you'll no longer be able to create new Airflow instances using ADF's Workflow Orchestration Manager. We recommend that you migrate all Workflow Orchestratio",2025-12-15T23:10:00.000Z,how-to,integrations,0.7,True,"Installing a private package in Workflow Orchestration Manager runtime is an integration pattern; such docs typically include runtime-specific configuration parameters (e.g., requirements files, environment variables, connection settings) that are product-specific and not generally known."
https://learn.microsoft.com/en-us/azure/data-factory/airflow-pricing,Pricing,Workflow Orchestration Manager pricing - Azure Data Factory,Understand pricing and capacity units for ADF Airflow,This article describes the pricing for Workflow Orchestration Manager.,"APPLIES TO:Azure Data FactoryAzure Synapse Analytics Tip Try outData Factory in Microsoft Fabric, an all-in-one analytics solution for enterprises.Microsoft Fabriccovers everything from data movement to data science, real-time analytics, business intelligence, and reporting. Learn how tostart a new trialfor free! Important On January 1, 2026 you'll no longer be able to create new Airflow instances using ADF's Workflow Orchestration Manager. We recommend that you migrate all Workflow Orchestratio",2025-12-15T23:10:00.000Z,article,limits-quotas,0.8,True,"Pricing pages for a specific feature usually include SKU tables, per-hour or per-DAG-run costs, and possibly tier-specific capacity/usage limits; these are numeric, plan-specific details that qualify as limits/quotas-type expert knowledge."
https://learn.microsoft.com/en-us/azure/data-factory/airflow-sync-github-repository,Sync a GitHub repository,Sync a GitHub repository in Workflow Orchestration Manager - Azure Data Factory,Sync GitHub repositories with ADF Workflow Orchestration Manager,This article provides step-by-step instructions for how to sync a GitHub repository by using Workflow Orchestration Manager in Azure Data Factory.,"APPLIES TO:Azure Data FactoryAzure Synapse Analytics Tip Try outData Factory in Microsoft Fabric, an all-in-one analytics solution for enterprises.Microsoft Fabriccovers everything from data movement to data science, real-time analytics, business intelligence, and reporting. Learn how tostart a new trialfor free! Important On January 1, 2026 you'll no longer be able to create new Airflow instances using ADF's Workflow Orchestration Manager. We recommend that you migrate all Workflow Orchestratio",2025-12-15T23:10:00.000Z,how-to,integrations,0.75,True,"GitHub sync for Workflow Orchestration Manager typically requires specific configuration fields (OAuth app, PAT scopes, repo paths, branch settings) that are product-specific integration parameters."
https://learn.microsoft.com/en-us/azure/data-factory/apply-dataops,Manage your environment with DataOps,Applying DataOps - Azure Data Factory,Apply DataOps practices to Azure Data Factory projects,Learn how to apply DataOps to Azure Data Factory.,"APPLIES TO:Azure Data FactoryAzure Synapse Analytics Tip Try outData Factory in Microsoft Fabric, an all-in-one analytics solution for enterprises.Microsoft Fabriccovers everything from data movement to data science, real-time analytics, business intelligence, and reporting. Learn how tostart a new trialfor free! Azure Data Factory is Microsoft’s Data Integration and ETL service in the cloud. This paper provides guidance for DataOps in data factory. It isn't intended to be a complete tutorial on",2024-01-05T08:00:00.000Z,conceptual,best-practices,0.7,True,"DataOps guidance for Data Factory is likely to include product-specific recommendations (branching strategies, environment setup, pipeline design patterns) and gotchas tailored to this service, fitting best-practices."
https://learn.microsoft.com/en-us/azure/data-factory/apply-finops,FinOps in Azure Data Factory,Applying FinOps - Azure Data Factory,,Learn how to apply FinOps to Azure Data Factory.,This article describes how to apply FinOps in Azure Data Factory.,2024-10-03T08:00:00.000Z,conceptual,,0.35,False,"FinOps application guidance is process/financial governance oriented; does not indicate product-specific configuration values, limits, or error mappings."
https://learn.microsoft.com/en-us/azure/data-factory/author-global-parameters,Global parameters,Global parameters - Azure Data Factory,Define and use global parameters across Azure Data Factory,Set global parameters for each of your Azure Data Factory environments,"APPLIES TO:Azure Data FactoryAzure Synapse Analytics Tip Try outData Factory in Microsoft Fabric, an all-in-one analytics solution for enterprises.Microsoft Fabriccovers everything from data movement to data science, real-time analytics, business intelligence, and reporting. Learn how tostart a new trialfor free! Global parameters are constants across a data factory that pipelines can consume in any expression. They're useful when you have multiple pipelines with identical parameter names and va",2025-02-16T12:10:00.000Z,conceptual,configuration,0.84,True,"Global parameters docs describe how to create, scope, and reference global parameters in expressions and pipelines, including UI/JSON property names. These are product-specific configuration mechanisms."
https://learn.microsoft.com/en-us/azure/data-factory/author-management-hub,Management hub,Management hub - Azure Data Factory,Manage connections and global settings in Data Factory,"Manage your connections, source control configuration and global authoring properties in the Azure Data Factory management hub","APPLIES TO:Azure Data FactoryAzure Synapse Analytics Tip Try outData Factory in Microsoft Fabric, an all-in-one analytics solution for enterprises.Microsoft Fabriccovers everything from data movement to data science, real-time analytics, business intelligence, and reporting. Learn how tostart a new trialfor free! The management hub, accessed by theManagetab in the Azure Data Factory UX, is a portal that hosts global management actions for your data factory. Here, you can manage your connections ",2023-10-20T08:00:00.000Z,conceptual,configuration,0.7,True,"Management hub article covers managing connections, source control configuration, and global authoring properties; these typically include named settings and options specific to Data Factory, fitting configuration."
