url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/ai-foundry/agents/concepts/capability-hosts?view=foundry-classic,Capability hosts,Capability hosts for Foundry Agent Service - Microsoft Foundry,Configure and manage capability hosts in Foundry Agent Service,"Learn how capability hosts route agent data to Microsoft-managed or your own Azure resources, and how to configure and troubleshoot them.","Note This document refers to theMicrosoft Foundry (classic)portal. 🔄Switch to the Microsoft Foundry (new) documentationif you're using the new portal. Note This document refers to theMicrosoft Foundry (new)portal. Note Updating capability hosts is not supported. To modify a capability host, you must delete the existing one and recreate it with the new configuration. Capability hosts are sub-resources that you configure at both the Microsoft Foundry account and Foundry project scopes. They tell F",2026-02-03T06:03:00.000Z,concept-article,configuration,0.65,True,"Capability hosts are configuration sub-resources at account and project scope. The page covers how they route data to Microsoft-managed or customer resources and how to configure and troubleshoot them. This implies specific configuration properties and options for capability hosts, which are product-specific configuration details rather than generic concepts.",unchanged
https://learn.microsoft.com/en-us/azure/ai-foundry/agents/concepts/model-region-support?view=foundry-classic,Model and region support,Azure OpenAI models and regions for Foundry Agent Service - Microsoft Foundry,Choose Azure OpenAI models and regions for Foundry,"Find supported Azure OpenAI models and regions for Microsoft Foundry Agent Service. Compare gpt-5, gpt-4o, and gpt-4 availability across global and regional deployments.","Note This document refers to theMicrosoft Foundry (classic)portal. 🔍View the Microsoft Foundry (new) documentationto learn about the new portal. Azure OpenAI models power agents in Microsoft Foundry Agent Service. This article helps you choose a supported model and region combination for your deployment. Choosing the right model and region affects your agent's capabilities, latency, and cost. To use these models, you need aMicrosoft Foundry projectwith access to Foundry Agent Service. Microsoft ",2026-02-19T23:13:00.000Z,concept-article,decision-making,0.7,True,"Described as helping choose supported model and region combinations and comparing availability across deployments. These pages typically include model/region support matrices and trade-offs (latency, cost, capabilities), which are concrete decision criteria unique to the service.",updated
https://learn.microsoft.com/en-us/azure/ai-foundry/agents/concepts/standard-agent-setup?view=foundry-classic,Standard agent setup,Set up standard agent resources for Foundry Agent Service - Microsoft Foundry,Design standard agent setup with isolated Azure resources,Learn how to provision and configure customer-managed Azure resources for Foundry Agent Service standard agent setup with enterprise-grade data isolation.,"Note This article refers to theMicrosoft Foundry (classic)portal. 🔄Switch to the Microsoft Foundry (new) documentationif you're using the new portal. Note This article refers to theMicrosoft Foundry (new)portal. Standard agent setup uses customer-managed, single-tenant Azure resources to store agent state and keep all agent data under your control. Use standard setup when you need full data sovereignty, compliance with enterprise security policies, or project-level isolation. In this setup: Tip ",2026-02-21T06:16:00.000Z,how-to,architecture-patterns,0.7,True,"Focuses on when to use standard agent setup for data sovereignty, compliance, and isolation, and how to provision customer-managed single-tenant resources. This is a product-specific architecture pattern for this service, guiding setup choice and trade-offs beyond generic architecture concepts.",updated
https://learn.microsoft.com/en-us/azure/ai-foundry/agents/concepts/threads-runs-messages?view=foundry-classic,"Threads, runs, and messages","Threads, Runs, and Messages in the Foundry Agent Service - Microsoft Foundry",,Learn about the components used in the Foundry Agent Service.,"Note This document refers to theMicrosoft Foundry (classic)portal. 🔍View the Microsoft Foundry (new) documentationto learn about the new portal. Foundry Agent Service supports persistent threads, runs, and messages. These components are essential for managing conversation states and interactions with users.",2026-02-19T18:16:00.000Z,concept-article,,0.2,False,"Described as explaining threads, runs, and messages conceptually. No indication of numeric limits, configuration tables, or error mappings; it appears to be a conceptual model overview rather than expert configuration or troubleshooting content.",updated
https://learn.microsoft.com/en-us/azure/ai-foundry/agents/environment-setup?view=foundry-classic,Environment setup,Set up your environment for Foundry Agent Service - Microsoft Foundry,Deploy infrastructure for Microsoft Foundry Agent Service,Use this guide to set up your agent environment,"Note This article refers to theMicrosoft Foundry (classic)portal. 🔄Switch to the Microsoft Foundry (new) documentationif you're using the new portal. Note This article refers to theMicrosoft Foundry (new)portal. In this article, you deploy the infrastructure needed to create agents with Foundry Agent Service. After completing this setup, you can create and configure agents using either the SDK of your choice or the Foundry portal. Creating your first agent is a two-step process:",2026-02-13T06:03:00.000Z,how-to,deployment,0.65,True,"Environment setup for an Azure service typically includes product-specific deployment requirements (required Azure resources, SKUs, regions, dependencies) that are not generic knowledge. The summary indicates deploying infrastructure needed to create agents, which is deployment-focused rather than a simple tutorial, so it likely contains expert, product-specific deployment constraints.",updated
https://learn.microsoft.com/en-us/azure/ai-foundry/agents/faq?view=foundry-classic,FAQ,Foundry Agent Service frequently asked questions - Microsoft Foundry,,"Get answers to common questions about Foundry Agent Service, including setup options, data handling, pricing, and networking.","Find answers to common questions about Foundry Agent Service. If you can't find answers to your questions in this article and you still need help, seeFoundry Tools support and help options. Foundry Agent Service is part of Foundry Tools. For getting started, see:",2026-02-03T06:03:00Z,faq,,0.2,False,"FAQ-style page about Foundry Agent Service setup, data handling, pricing, and networking; description suggests high-level answers rather than detailed limits, config tables, or error-code-based troubleshooting.",unchanged
https://learn.microsoft.com/en-us/azure/ai-foundry/agents/how-to/connected-agents?view=foundry-classic,Connected agents,How to use connected agents - Microsoft Foundry,,Learn how to create multi-agentic systems using connected agents in the Foundry Agent Service.,"Note This document refers to theMicrosoft Foundry (classic)portal. 🔍View the Microsoft Foundry (new) documentationto learn about the new portal. Note This tool is only available in2025-05-15-previewAPI. We highly recommend you to migrate to use the2025-11-15-previewAPI versionworkflowsfor multi-agent orchestration. Connected agents in Foundry Agent Service let you break down complex tasks into coordinated, specialized roles—without the need for a custom orchestrator or hand-coded routing logic. ",2025-12-19T18:16:00.000Z,how-to,,0.3,False,"How-to for connected agents appears focused on conceptual multi-agent orchestration and portal usage; summary shows no concrete limits, config tables, or error-code-based troubleshooting.",unchanged
https://learn.microsoft.com/en-us/azure/ai-foundry/agents/how-to/metrics?view=foundry-classic,Service monitoring,Monitor Foundry Agent Service with Azure Monitor - Microsoft Foundry,Monitor Foundry Agent Service metrics with Azure Monitor,"Learn how to use Azure Monitor to view, analyze, and alert on platform metrics for Foundry Agent Service, including Log Analytics export and KQL queries.","Note This document refers to theMicrosoft Foundry (classic)portal. 🔄Switch to the Microsoft Foundry (new) documentationif you're using the new portal. Note This document refers to theMicrosoft Foundry (new)portal. This article describes: Note If you're already familiar with this service and/or Azure Monitor and just want to know how to analyze monitoring data, see theAnalyzesection near the end of this article. When you have critical applications and business processes that rely on Azure resourc",2026-02-04T06:04:00.000Z,how-to,troubleshooting,0.65,True,"Monitoring/how-to article for Foundry Agent Service using Azure Monitor and Log Analytics. Such pages typically include concrete KQL queries, metric names/dimensions, and guidance on interpreting specific signals (symptom → metric/log query → diagnosis), which is product-specific expert knowledge not captured by generic LLM training. While framed as monitoring, the presence of KQL examples and metric-based diagnosis aligns closest with the troubleshooting category.",unchanged
https://learn.microsoft.com/en-us/azure/ai-foundry/agents/how-to/tools-classic/azure-ai-search-samples?view=foundry-classic,How to use Azure AI Search,How to use Azure AI Search in Foundry Agent Service - Microsoft Foundry,Use Azure AI Search tool with Foundry agents,Learn how to ground Azure AI Agents with content indexed in Azure AI Search.,Note This document refers to the classic version of the agents API. 🔍View the new Azure AI Search tool documentation. This article explains how to use an existing search index with theAzure AI Searchtool.,2025-12-15T18:15:00.000Z,how-to,integrations,0.65,True,Explains using an existing search index with the Azure AI Search tool; expected to contain code patterns and configuration details specific to this integration.,unchanged
https://learn.microsoft.com/en-us/azure/ai-foundry/agents/how-to/tools-classic/azure-ai-search?view=foundry-classic,Overview,How to use an existing AI Search index with the Azure AI Search tool - Microsoft Foundry,Integrate Azure AI Search index with Foundry agents,Learn how to use Agents Azure AI Search tool.,"Note This document refers to the classic version of the agents API. 🔍View the new Azure AI Search tool documentation. TheAzure AI Searchtool in Agent Service connects an agent to a new or existing search index. You can use this tool to retrieve and summarize your indexed documents, grounding the agent's responses in your proprietary content. This article describes how to set up the Azure AI Search tool, including creating a project connection and adding the tool to your agent.",2025-12-15T18:15:00.000Z,how-to,integrations,0.7,True,"How-to for connecting an existing Azure AI Search index as a tool; likely includes connection settings, parameters, and configuration steps specific to this integration.",unchanged
