url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason
https://learn.microsoft.com/en-us/azure/iot/concepts-architecture,Architecture,IoT Plug and Play architecture - Azure IoT,,Understand the key architectural elements of an IoT Plug and Play solution.,"IoT Plug and Play enables solution builders to integrate IoT devices with their solutions without any manual configuration. At the core of IoT Plug and Play, is a devicemodelthat describes a device's capabilities to an IoT Plug and Play-enabled application. This model is structured as a set of interfaces that define: Every model and interface has a unique ID. The following diagram shows the key elements of an IoT Plug and Play solution:",2025-03-20T17:02:00.000Z,conceptual,,0.2,False,"Architecture overview of IoT Plug and Play; describes components and flows but no quantified thresholds, decision matrices, or product-specific configs."
https://learn.microsoft.com/en-us/azure/iot/concepts-convention,IoT Plug and Play conventions,IoT Plug and Play conventions - Azure IoT,Configure IoT Plug and Play MQTT message conventions,"Description of the conventions IoT Plug and Play expects devices to use when they send telemetry and properties, and handle commands and property updates.","IoT Plug and Play devices should follow a set of conventions when they exchange messages with an IoT hub. IoT Plug and Play devices use the MQTT protocol to communicate with IoT Hub. IoT Hub also supports the AMQP protocol which available in some IoT device SDKs. A device can includemodules, or be implemented in anIoT Edge modulehosted by the IoT Edge runtime. You describe the telemetry, properties, and commands that an IoT Plug and Play device implements with aDigital Twins Definition Language ",2025-01-10T08:00:00.000Z,conceptual,configuration,0.7,True,"Describes precise conventions for telemetry, properties, commands, and property updates over MQTT/AMQP for IoT Plug and Play devices, including topic structures and payload expectations—product-specific configuration/protocol details that go beyond generic MQTT knowledge."
https://learn.microsoft.com/en-us/azure/iot/concepts-developer-guide-device,Device developer guide,Device developer guide - IoT Plug and Play - Azure IoT,Implement IoT Plug and Play devices using Azure SDKs,"Description of IoT Plug and Play for device developers. Includes examples in the following languages: C, C#, Java, JavaScript, Python, and Embedded C.","IoT Plug and Play lets you build IoT devices that advertise their capabilities to Azure IoT applications. IoT Plug and Play devices don't require manual configuration when a customer connects them to IoT Plug and Play-enabled applications such as IoT Central. You can implement an IoT device directly by usingmodules, or by usingIoT Edge modules. This guide describes the basic steps required to create a device, module, or IoT Edge module that follows theIoT Plug and Play conventions. To build an I",2025-01-10T08:00:00.000Z,conceptual,integrations,0.65,True,"Device developer guide includes language-specific patterns and SDK usage for implementing Plug and Play conventions (DTDL models, telemetry, properties, commands) with Azure IoT device SDKs—product-specific integration and coding patterns."
https://learn.microsoft.com/en-us/azure/iot/concepts-developer-guide-service,Service developer guide,Service developer guide - IoT Plug and Play - Azure IoT,Build IoT Plug and Play service applications on Azure,A description of IoT Plug and Play conventions for service developers,"IoT Plug and Play lets you build IoT devices that advertise their capabilities to Azure IoT applications. IoT Plug and Play devices don't require manual configuration when a customer connects them to IoT Plug and Play-enabled applications. IoT Plug and Play lets you use devices that announce their model ID to your IoT hub. For example, you can access the properties and commands of a device directly. If you're using IoT Central, you can use the IoT Central UI and REST API to interact with IoT Plu",2025-03-18T08:00:00.000Z,conceptual,integrations,0.65,True,"Service developer guide explains how services interact with Plug and Play devices via IoT Hub/IoT Central, including accessing properties, commands, and model IDs using Azure service SDKs—product-specific integration patterns."
https://learn.microsoft.com/en-us/azure/iot/concepts-digital-twin,Digital twins,Understand IoT Plug and Play digital twins - Azure IoT,,Understand how IoT Plug and Play uses digital twins,"An IoT Plug and Play device implements a model described by theDigital Twins Definition Language (DTDL)schema. A model describes the set of components, properties, commands, and telemetry messages that a particular device can have. Note DTDL isn't exclusive to IoT Plug and Play. Other IoT services, such asAzure Digital Twins, use it to represent entire environments such as buildings and energy networks. The Azure IoT service SDKs include APIs that let a service interact with a device's digital t",2025-03-18T08:00:00.000Z,conceptual,,0.3,False,"Explains digital twins concept and how Plug and Play uses DTDL; largely conceptual without detailed config tables, limits, or error-resolution mappings."
https://learn.microsoft.com/en-us/azure/iot/concepts-iot-device-development,Overview,Introduction to Azure IoT device development - Azure IoT,,"Learn how to use Azure IoT services, SDKs, and tools to do device development with general devices and embedded devices.","Azure IoT is a collection of managed and platform services that connect, monitor, and control your IoT devices. Azure IoT offers developers a comprehensive set of options. Your options include device platforms, supporting cloud services, SDKs, MQTT support, and tools for building device-enabled cloud applications. This article overviews several key considerations for developers who are getting started with Azure IoT.",2025-01-10T08:00:00.000Z,concept-article,,0.2,False,Introductory overview for device development; mainly conceptual considerations without detailed configuration or limits.
https://learn.microsoft.com/en-us/azure/iot/concepts-iot-device-types,IoT device types,Overview of Azure IoT device types - Azure IoT,,Learn about the different device types supported by Azure IoT and how to choose the right one for your solution.,IoT devices exist across a broad selection of hardware platforms. There are small 8-bit microcontrollers all the way up to the latest x86 CPUs as found in desktop computers. There are many variables to consider when you choose the hardware for an IoT device. This article outlines some of the key factors to consider.,2025-03-20T17:02:00.000Z,conceptual,,0.2,False,"Conceptual overview of device types and selection factors; no detailed configuration, limits, or troubleshooting mappings."
https://learn.microsoft.com/en-us/azure/iot/concepts-manage-device-reconnections,Manage device reconnections,Manage device reconnections to create resilient applications - Azure IoT,Implement resilient Azure IoT device reconnection strategies,Manage the device connection and reconnection process to ensure resilient applications by using the Azure IoT Hub device SDKs.,This article provides high-level guidance to help you design resilient applications by adding a device reconnection strategy. It explains why devices disconnect and need to reconnect. And it describes specific strategies that developers can use to reconnect devices that have been disconnected.,2025-01-10T08:00:00.000Z,conceptual,best-practices,0.7,True,Guidance on reconnection strategies with specific patterns for Azure IoT Hub device SDKs; contains product-specific recommendations and edge-case handling for resilience.
https://learn.microsoft.com/en-us/azure/iot/concepts-message-payloads,IoT Plug and Play message payloads,Plug and Play device message payloads - Azure IoT,Define JSON payload formats for IoT Plug and Play devices,"Understand the format of the telemetry, property, and command messages that a Plug and Play device can exchange with a service.","Adevice modeldefines the: Tip Azure IoT Central is a service that follows the Plug and Play conventions. In IoT Central, the device model is part of adevice template. IoT Central currently supportsDTDL v2with anIoT Central extension. An IoT Central application expects to receive UTF-8 encoded JSON data. This article describes the JSON payloads that devices send and receive for telemetry, properties, and commands defined in a DTDL device model. The article doesn't describe every possible type of ",2025-03-18T08:00:00.000Z,conceptual,configuration,0.7,True,"Details exact JSON payload structures for telemetry, properties, and commands as interpreted by IoT Hub/IoT Central, including encoding and DTDL-based field mapping—service-specific payload configuration rather than generic JSON usage."
https://learn.microsoft.com/en-us/azure/iot/concepts-model-discovery,Use models in a solution,Use IoT Plug and Play models in a solution - Azure IoT,Use IoT Plug and Play models in solution architectures,"As a solution builder, learn about how you can use IoT Plug and Play models in your IoT solution.","This article describes how, in an IoT solution, you can identify model ID of an IoT Plug and Play device and then retrieve its model definition. There are two broad categories of IoT solution: Apurpose-built solutionworks with a known set of models for the IoT Plug and Play devices that connect to the solution. You use these models when you develop the solution. Amodel-driven solutionworks with the model of any IoT Plug and Play device. Building a model-driven solution is more complex, but the b",2024-08-30T08:00:00.000Z,conceptual,architecture-patterns,0.6,True,Differentiates purpose-built vs model-driven solutions and describes how to discover and retrieve model definitions; offers product-specific solution patterns for handling model IDs and model-driven behavior.
