url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/site-recovery/alternative-vm-size-failover-flow,Alternative virtual machine size guidance,Alternative Virtual machine size recommendation in Azure Site Recovery failover flow - Azure Site Recovery,Choose alternative VM sizes for Site Recovery failover,Summarizes guidance for alternative virtual machine size recommendation in Azure Site Recovery failover flow.,"Azure Site Recovery now provides alternative virtual machine (VM) size guidance to help you improve the chances of successful VM allocation in your target location during disaster recovery events or drills. This helps you assess the VM capacity and increase the chances of VM allocation during failover process by providing you with alternative VM size recommendations in your target location, in case current configured target VM size has less likelihood of allocation success.",2025-09-29T05:08:00.000Z,concept-article,decision-making,0.65,True,"Provides guidance on alternative VM size recommendations to improve allocation success; likely includes decision logic or criteria specific to Site Recovery failover capacity, which helps choose between VM sizes.",unchanged
https://learn.microsoft.com/en-us/azure/site-recovery/asr-arm-templates,ARM Templates,Azure Resource Manager Templates - Azure Site Recovery,,Azure Resource Manager templates for using Azure Site Recovery features.,The following table includes links to Azure Resource Manager templates for using Azure Site Recovery features.,2026-02-12T08:00:00.000Z,sample,,0.2,False,Index page listing ARM templates for Site Recovery; acts as navigation rather than containing configuration parameter tables or other expert details itself.,updated
https://learn.microsoft.com/en-us/azure/site-recovery/avs-tutorial-dr-drill-azure,Run a disaster recovery drill,Run a disaster recovery drill from Azure VMware Solution to Azure by using Azure Site Recovery - Azure Site Recovery,,"Learn how to run a disaster recovery drill from an Azure VMware Solution private cloud to Azure, by using Azure Site Recovery.","This tutorial describes how to run a disaster recovery drill for an Azure VMware Solution virtual machine (VM) to Azure by using theAzure Site Recoveryservice. A drill validates your replication strategy without data loss. This tutorial is the fourth in a series that shows you how to set up disaster recovery to Azure for Azure VMware Solution machines. In this tutorial, you learn how to: Note Tutorials show you the simplest deployment path for a scenario. They use default options where possible,",2026-02-12T08:00:00.000Z,tutorial,,0.3,False,"Tutorial for running a disaster recovery drill from Azure VMware Solution to Azure. The description indicates a simple deployment path and does not suggest presence of limits, quotas, or detailed troubleshooting content.",updated
https://learn.microsoft.com/en-us/azure/site-recovery/avs-tutorial-failback,Fail back from Azure,Fail back Azure VMware Solution VMsfrom Azure with Azure Site Recovery - Azure Site Recovery,Fail back Azure VMware Solution VMs from Azure,"Learn how to failback to the Azure VMware Solution private cloud after failover to Azure, during disaster recovery.","This article describes how to failback Azure VMs to an Azure VMware Solution private cloud, followingfailoverof Azure VMware Solution VMs to Azure withAzure Site Recovery. After failback, you enable replication so that the Azure VMware Solution VMs start replicating to Azure.",2022-11-03T11:27:00.000Z,tutorial,configuration,0.6,True,Explains failing back Azure VMs to AVS and re-enabling replication; includes ASR-specific failback and replication configuration steps.,unchanged
https://learn.microsoft.com/en-us/azure/site-recovery/avs-tutorial-failover,Fail over to Azure,Fail over Azure VMware Solution VMs to Azure by using Site Recovery - Azure Site Recovery,,Learn how to fail over Azure VMware Solution VMs to Azure in Azure Site Recovery.,"This tutorial describes how to fail over Azure VMware Solution virtual machines (VMs) to Azure by usingAzure Site Recovery. This tutorial is the fifth in a series that shows you how to set up disaster recovery to Azure for Azure VMware Solution VMs. In this tutorial, you learn how to: Note Tutorials show you the simplest deployment path for a scenario. They use default options where possible, and they don't show all possible settings and paths. If you want to learn about failover in detail, seeF",2026-02-12T08:00:00.000Z,tutorial,,0.3,False,"Failover tutorial for Azure VMware Solution VMs to Azure. It is part of a step-by-step series and explicitly notes it uses default options and does not show all settings, indicating it is not a deep configuration, limits, or troubleshooting reference.",updated
https://learn.microsoft.com/en-us/azure/site-recovery/avs-tutorial-prepare-avs,Prepare Azure VMware Solution,Prepare Azure VMware Solution for disaster recovery to Azure Site Recovery - Azure Site Recovery,,Learn how to prepare Azure VMware Solution servers for disaster recovery to Azure by using the Azure Site Recovery service.,"This tutorial describes how to prepare Azure VMware Solution servers for disaster recovery to Azure by using theAzure Site Recoveryservice. This tutorial is the second tutorial in a series that shows you how to set up disaster recovery to Azure for Azure VMware Solution virtual machines (VMs). In the first tutorial, youset up the Azure componentsthat you need for Azure VMware Solution disaster recovery. In this tutorial, you learn how to: Note Tutorials show you the simplest deployment path for ",2026-02-11T12:11:00.000Z,tutorial,,0.2,False,"Tutorial for preparing Azure VMware Solution servers for disaster recovery; primarily a guided setup path. No indication of detailed limits, configuration matrices, or troubleshooting mappings that would qualify as expert knowledge per the defined categories.",unchanged
https://learn.microsoft.com/en-us/azure/site-recovery/avs-tutorial-prepare-azure,Prepare Azure,Prepare Azure Site Recovery resources for disaster recovery of Azure VMware Solution VMs - Azure Site Recovery,,Learn how to prepare Azure resources for disaster recovery of Azure VMware Solution machines by using Azure Site Recovery.,"This tutorial describes how to prepare Azure resources and components so that you can set up disaster recovery of Azure VMware Solution virtual machines (VMs) by using theAzure Site Recoveryservice.Azure VMware Solutionprovides private clouds in Azure. These private clouds contain vSphere clusters that are built from dedicated bare-metal Azure infrastructure. This tutorial is the first in a series that shows you how to set up disaster recovery for Azure VMware Solution VMs. In this tutorial, you",2026-02-12T08:00:00.000Z,tutorial,,0.3,False,"Intro tutorial on preparing Azure resources for Azure VMware Solution disaster recovery. It appears to be a basic setup guide using default options, not a detailed configuration reference or decision matrix.",updated
https://learn.microsoft.com/en-us/azure/site-recovery/avs-tutorial-replication,Set up replication,Set up Azure Site Recovery for Azure VMware Solution VMs - Azure Site Recovery,Enable replication for Azure VMware Solution VMs with ASR,"Learn how to set up disaster recovery to Azure for Azure VMware Solution VMs, by using Azure Site Recovery.","This tutorial describes how to enable replication for Azure VMware Solution virtual machines (VMs) for disaster recovery to Azure by using theAzure Site Recoveryservice. This is the third tutorial in a series that shows you how to set up disaster recovery to Azure for Azure VMware Solution VMs. In the previous tutorial, youprepared the Azure VMware Solution environmentfor disaster recovery to Azure. In this tutorial, you learn how to: Note Tutorials show you the simplest deployment path for a sc",2025-12-08T08:00:00.000Z,tutorial,configuration,0.7,True,Tutorial for enabling replication of AVS VMs; involves ASR policy settings and replication configuration that are product-specific.,unchanged
https://learn.microsoft.com/en-us/azure/site-recovery/avs-tutorial-reprotect,Reprotect VMs,Reprotect Azure VMs to an Azure VMware Solution private cloud with Azure Site Recovery - Azure Site Recovery,,Learn how to reprotect Azure VMware Solution VMs after failover to Azure with Azure Site Recovery.,"Afterfailoverof Azure VMware Solution VMs to Azure, the first step in failing back to your Azure VMware Solution private cloud is to reprotect the Azure VMs that were created during failover. This article describes how to do this.",2026-02-12T08:00:00.000Z,tutorial,,0.3,False,"Short article on reprotecting Azure VMs back to an Azure VMware Solution private cloud after failover. It is focused on the basic reprotect procedure, without evidence of detailed configuration parameters, limits, or error-code-based troubleshooting.",updated
https://learn.microsoft.com/en-us/azure/site-recovery/azure-stack-site-recovery,Walkthrough-Set up disaster recovery for Azure Stack Hub,Replicate Azure Stack Hub to Azure using Azure Site Recovery - Azure Site Recovery,,Learn how to set up disaster recovery to Azure for Azure Stack Hub with the Azure Site Recovery service.,"This article shows you how to set up disaster recovery Azure Stack VMs to Azure, using theAzure Site Recovery service. Site Recovery contributes to your business continuity and disaster recovery (BCDR) strategy. The service ensures that your VM workloads remain available when expected and unexpected outages occur. In this article, you learn how to: With these steps complete, you can then run a full failover to Azure as and when you need to.",2025-08-29T08:00:00.000Z,how-to,,0.2,False,"Appears to be a step-by-step tutorial for setting up DR from Azure Stack Hub to Azure; summary does not indicate numeric limits, configuration tables, or detailed decision matrices.",unchanged
