url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason
https://learn.microsoft.com/en-us/azure/devtest-labs/activity-logs,View activity logs,Activity logs - Azure DevTest Labs,View and use DevTest Labs activity logs,This article provides steps to view activity logs for Azure DevTest Labs.,"After you create one or more labs, you'll likely want to monitor how and when your labs are accessed, modified, and managed, and by whom. Azure DevTest Labs uses Azure Monitor, specificallyactivity logs, to provide information these operations against labs. This article explains how to view  activity logs for a lab in Azure DevTest Labs.",2022-03-31T17:03:00.000Z,how-to,configuration,0.65,True,"Explains how to access and interpret activity logs for DevTest Labs via Azure Monitor, including specific log categories and operations relevant to the service."
https://learn.microsoft.com/en-us/azure/devtest-labs/add-artifact-repository,Add an artifact repository to a lab,Add an Artifact Repository to Your Lab - Azure DevTest Labs,Configure custom artifact repositories for DevTest Labs,Learn how to add a private artifact repository to your lab to store your custom artifacts.,"This article describes how to add anartifactrepository to your lab in Azure DevTest Labs. Artifacts are tools or applications to install on virtual machines (VMs). You define artifacts in a JSON file that you load from a GitHub or Azure Repos Git repository. The publicDevTest Labs GitHub artifact repositoryprovides many common artifacts for Windows and Linux. The artifacts in this public repository are available by default in DevTest Labs. For information about adding artifacts to VMs, seeAdd ar",2025-07-25T17:09:00.000Z,how-to,configuration,0.65,True,"Explains how to wire a GitHub/Azure Repos repository as an artifact source, including repository settings and paths; these are product-specific configuration steps rather than generic concepts."
https://learn.microsoft.com/en-us/azure/devtest-labs/add-artifact-vm,Add artifacts to a VM,Add artifacts to VMs - Azure DevTest Labs,Add and configure artifacts on DevTest Labs VMs,Learn how to add or configure artifacts on lab virtual machines (VM) in Azure DevTest Labs by using the Azure portal or Azure PowerShell.,"This article describes how to addartifactsto Azure DevTest Labs virtual machines (VMs) by using the Azure portal or Azure PowerShell. Artifacts are tools, actions, or software you can add to lab VMs. For example, artifacts can run Windows PowerShell scripts or Bash commands, install tools or applications, or take other actions like joining a domain. DevTest Labs artifacts can come from thepublic DevTest Labs Git repositoryor from private Git repositories. Lab users cancreate their own custom art",2025-04-04T05:11:00.000Z,how-to,configuration,0.7,True,"Covers adding artifacts via portal and PowerShell; likely includes artifact definitions, parameters, repository configuration, and DevTest Labs-specific artifact behavior."
https://learn.microsoft.com/en-us/azure/devtest-labs/add-vm-use-shared-image,Create a VM using an image from shared image gallery,Add a VM using a shared image - Azure DevTest Labs,,Learn how to add a virtual machine (VM) using an image from the attached shared image gallery in Azure DevTest Labs,"Azure DevTest Labs allows you to attach a shared image gallery to your lab and then use images in the gallery as bases for the VMs you create in the lab. To learn how to attach a shared image gallery to your lab, seeConfigure shared image gallery. This article shows you how to add a VM to your lab by using an image from the attached shared image gallery as a base.",2025-02-28T08:00:00.000Z,how-to,,0.45,False,How-to for adding a VM from a shared image; likely a procedural portal guide without detailed config tables or limits.
https://learn.microsoft.com/en-us/azure/devtest-labs/automate-add-lab-user,Automate adding a lab user,Automate adding a lab user - Azure DevTest Labs,"Automate adding DevTest Labs users with ARM, PowerShell, CLI","This article shows you how to automate adding a user to a lab in Azure DevTest Labs using Azure Resource Manager templates, PowerShell, and CLI.","Azure DevTest Labs allows you to quickly create self-service dev-test environments by using the Azure portal. However, if you have several teams and several DevTest Labs instances, automating the creation process can save time.Azure Resource Manager templatesallow you to create labs, lab VMs, custom images, formulas, and add users in an automated fashion. This article specifically focuses on adding users to a DevTest Labs instance. To add a user to a lab, you add the user to theDevTest Labs User",2023-04-13T11:17:00.000Z,how-to,deployment,0.6,True,"Shows automation patterns for adding users to DevTest Labs via ARM templates, PowerShell, and CLI, including resource types and role assignments; this is a deployment/automation pattern specific to the service."
https://learn.microsoft.com/en-us/azure/devtest-labs/best-practices-distributive-collaborative-development-environment,Best practices,Distributed collaborative development of Azure DevTest Labs resources - Azure DevTest Labs,Best practices for distributed DevTest Labs resource development,Provides best practices for setting up a distributed and collaborative development environment to develop DevTest Labs resources.,"Distributed collaborative development allows different teams or people to develop and maintain a code base. To be successful, the development process depends on the ability to create, share, and integrate information. This key development principle can be used within Azure DevTest Labs. There are several types of resources within a lab that are commonly distributed between different labs within an enterprise. The different types of resources are focused into two areas: This document describes so",2025-09-19T22:11:00.000Z,conceptual,best-practices,0.7,True,Focuses on distributed collaborative development of DevTest Labs resources with concrete product-specific recommendations and patterns for structuring and sharing artifacts and templates.
https://learn.microsoft.com/en-us/azure/devtest-labs/configure-lab-identity,Configure lab identity ,Configure a lab identity - Azure DevTest Labs,Configure managed identity and Key Vault for DevTest Labs,Learn how to configure a lab identity in Azure DevTest.,"A common challenge when building cloud applications is how to manage the credentials in your code for authenticating to cloud services. Keeping the credentials secure is an important task. Ideally, the credentials never appear on developer workstations and aren't checked into source control. Azure Key Vault provides a way to securely store credentials, secrets, and other keys, but your code must authenticate to Key Vault to retrieve them. The managed identities for Azure resources feature in Mic",2024-11-21T05:37:00.000Z,how-to,security,0.7,True,"Describes configuring a lab identity using managed identities and Azure Key Vault for DevTest Labs, including product-specific security configuration steps and parameters beyond generic concepts."
https://learn.microsoft.com/en-us/azure/devtest-labs/configure-lab-remote-desktop-gateway,Configure a lab to use a remote desktop gateway,Secure Labs by Using Remote Desktop Gateways - Azure DevTest Labs,Secure DevTest Labs access via Remote Desktop Gateway,Learn how to configure a remote desktop gateway in Azure DevTest Labs for secure access to lab VMs without exposing RDP ports.,This article describes how to set up and use a gateway for secureremote desktopaccess to lab virtual machines (VMs) in Azure DevTest Labs. Using a gateway improves security because you don't expose the VMs' Remote Desktop Protocol (RDP) ports to the internet. This remote desktop gateway solution also supports token authentication. DevTest Labs provides a central place for lab users to view and connect to their VMs. SelectingConnect>Connect via RDPon a lab VM'sOverviewpage creates a machine-speci,2025-07-17T08:00:00.000Z,how-to,security,0.65,True,"Covers configuring an RDP gateway for DevTest Labs, including product-specific security setup for token-based access and non-public RDP endpoints, which is concrete security configuration."
https://learn.microsoft.com/en-us/azure/devtest-labs/configure-shared-image-gallery,Configure a shared image gallery,Configure a shared image gallery - Azure DevTest Labs,Attach and configure Azure Compute Gallery for DevTest Labs,"Learn how to configure a shared image gallery in Azure DevTest Labs, so users can access virtual machine images from a shared location.","DevTest Labs supports storing and sharing images withAzure Compute Gallery. A shared image gallery makes it easy to maintain a large number of managed images and make them widely available. It's also a great way to provide standardized images with current software for your users. Both specialized and generalized images are supported. By using a shared image gallery, you can build structure and organization around your custom-managed virtual machine (VM) images. This article describes how to atta",2024-06-11T11:24:00.000Z,how-to,configuration,0.7,True,"Details how to connect a shared image gallery (Azure Compute Gallery) to DevTest Labs and manage image usage, with service-specific configuration steps."
https://learn.microsoft.com/en-us/azure/devtest-labs/connect-environment-lab-virtual-network,Connect an environment to your lab's virtual network,Connect environments to a lab's vnet - Azure DevTest Labs,Connect DevTest Labs environments to lab virtual networks,Learn how to connect an environment (like Service Fabric cluster) to your lab's virtual network in Azure DevTest Labs,"Azure DevTest Labs makes it easy to create VMs in a lab withbuilt-in networking. It has a great deal of flexibility with the ability tocreate multi-VM environments. This article shows you how to connect VMs in an environment to the lab virtual network. One scenario where you use this feature is setting up an N-tier app with a SQL Server data tier that is connected to the lab VNet allowing test VMs in the lab to access it. Note If you need to manage enterprise-wide PaaS resources, policies, and s",2024-10-01T11:13:00.000Z,how-to,configuration,0.7,True,"Shows how to connect environment VMs to the lab VNet; likely includes specific network settings, subnet configuration, and DevTest Labs options for VNet integration."
https://learn.microsoft.com/en-us/azure/devtest-labs/connect-linux-virtual-machine,Connect to a Linux VM,Connect to your Linux virtual machines - Azure DevTest Labs,,Learn how to connect to your Linux virtual machine in a lab (Azure DevTest Labs),This article shows you how to connect to Linux VM in your lab.,2023-05-04T11:24:00.000Z,how-to,,0.3,False,Basic SSH/RDP connection steps to Linux VMs; lacks detailed troubleshooting mappings or config parameter tables.
https://learn.microsoft.com/en-us/azure/devtest-labs/connect-virtual-machine-through-browser,Connect to your VM through a browser,Connect to lab VMs via Azure Bastion - Azure DevTest Labs,Securely connect DevTest Labs VMs via Azure Bastion,Learn how to connect to Azure DevTest Labs virtual machines (VMs) through an internet browser if Azure Bastion is enabled for the lab.,This article describes how to connect to your DevTest Labs virtual machine (VM) by usingAzure Bastion. Bastion provides secure remote desktop protocol (RDP) or secure shell (SSH) access without using public IP addresses or exposing RDP or SSH ports to the internet.,2025-12-16T12:11:00.000Z,how-to,security,0.65,True,"Covers Bastion-based secure access; likely includes Bastion-specific configuration (no public IP, port exposure) and access patterns that are security-focused and product-specific."
https://learn.microsoft.com/en-us/azure/devtest-labs/connect-windows-virtual-machine,Connect to a Windows VM,Connect to your Windows virtual machines - Azure DevTest Labs,,Learn how to connect to your Windows virtual machine in a lab (Azure DevTest Labs),This article shows you how to connect to a Windows VM in your lab.,2022-03-31T17:03:00.000Z,how-to,,0.3,False,"Basic connection instructions to Windows VMs; no product-specific error codes, limits, or configuration matrices indicated."
https://learn.microsoft.com/en-us/azure/devtest-labs/create-alerts,Create activity log alerts,Create activity log alerts for labs - Azure DevTest Labs,Create activity log alerts for DevTest Labs events,Learn how to create activity log alerts and configure alert rules for labs in Azure DevTest Labs.,This article explains how to create activity log alerts for labs in Azure DevTest Labs (for example: when a virtual machine is created or deleted).,2024-05-01T11:18:00.000Z,how-to,configuration,0.65,True,"Shows how to configure activity log alerts and rules for DevTest Labs operations, involving specific event types and alert configuration parameters."
https://learn.microsoft.com/en-us/azure/devtest-labs/create-environment-service-fabric-cluster,Create a Service Fabric cluster environment,Create a Service Fabric cluster environment - Azure DevTest Labs,Configure Service Fabric cluster environments in DevTest Labs,Learn how to create an environment with a self-contained Service Fabric cluster. See how to start and stop the cluster by using schedules.,This article provides information on how to create an environment with a self-contained Service Fabric cluster in Azure DevTest Labs.,2024-10-01T11:13:00.000Z,how-to,configuration,0.65,True,Describes creating a self-contained Service Fabric cluster environment and managing it with schedules; likely includes environment parameters and cluster-specific settings.
