url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason
https://learn.microsoft.com/en-us/azure/spring-apps/basic-standard/access-app-virtual-network,Access your application in a private network,Access an App in Azure Spring Apps in a Virtual Network,Access Azure Spring Apps over private endpoints in a VNet,Shows how to access an app in Azure Spring Apps in a virtual network.,"Note TheBasic,Standard, andEnterpriseplans entered a retirement period on March 17, 2025. For more information, see theAzure Spring Apps retirement announcement. This article applies to:✅ Basic/Standard ✅ Enterprise This article explains how to access an endpoint for your application in a private network. When you assign an endpoint on an application in an Azure Spring Apps service instance deployed in your virtual network, the endpoint uses a private fully qualified domain name (FQDN). The doma",2025-08-19T08:00:00.000Z,how-to,configuration,0.75,True,"Explains private FQDNs and endpoint assignment for apps in a VNet; likely includes specific DNS patterns, endpoint configuration options, and network access details."
https://learn.microsoft.com/en-us/azure/spring-apps/basic-standard/application-observability,Optimize application observability,Optimize Application Observability for Azure Spring Apps,Optimize observability for production Azure Spring Apps,Learn how to observe the application of Azure Spring Apps.,"Note TheBasic,Standard, andEnterpriseplans entered a retirement period on March 17, 2025. For more information, see theAzure Spring Apps retirement announcement. This article applies to:✅ Java ❎ C# This article applies to:✅ Basic/Standard ❎ Enterprise This article shows you how to observe your production applications deployed on Azure Spring Apps and diagnose and investigate production issues. Observability is the ability to collect insights, analytics, and actionable intelligence through the lo",2025-08-19T08:00:00.000Z,how-to,best-practices,0.7,True,Focuses on observing production apps and diagnosing issues; likely includes concrete recommendations and product-specific observability configurations rather than just theory.
https://learn.microsoft.com/en-us/azure/spring-apps/basic-standard/concept-app-customer-responsibilities,"Version support for Java, Spring Boot, and more","Version Support for Java, Spring Boot, and More - Azure Spring Apps",Version support policy for Java and Spring on Azure Spring Apps,"This article describes the version support for Java, Spring Boot, and Spring Cloud, and the customer responsibilities when developing Azure Spring Apps.","Note TheBasic,Standard, andEnterpriseplans entered a retirement period on March 17, 2025. For more information, see theAzure Spring Apps retirement announcement. This article applies to:✅ Basic/Standard ✅ Enterprise This article describes the support policy for Java, Spring Boot, and Spring Cloud versions for all Azure Spring Apps plans, and versions of other SDKs and OS images for the Enterprise plan. Azure Spring Apps provides and maintains the SDKs and base OS images necessary to run your app",2025-10-31T05:12:00.000Z,conceptual,limits-quotas,0.7,True,"Describes support policy for Java, Spring Boot, Spring Cloud, SDKs, and OS images; such pages typically include specific supported version numbers and timelines, which are expert knowledge limits/constraints."
https://learn.microsoft.com/en-us/azure/spring-apps/basic-standard/concept-app-status,Understand app status,App Status in Azure Spring Apps,,Learn the app status categories in Azure Spring Apps,"Note TheBasic,Standard, andEnterpriseplans entered a retirement period on March 17, 2025. For more information, see theAzure Spring Apps retirement announcement. This article applies to:✅ Java ✅ C# This article applies to:✅ Basic/Standard ✅ Enterprise This article shows you how to view app status for Azure Spring Apps. The Azure Spring Apps UI delivers information about the status of running applications. There's anAppsoption for each resource group in a subscription that displays general status",2025-08-19T17:10:00.000Z,conceptual,,0.1,False,"Describes app status categories and how to view them in the portal; appears conceptual/UX-focused without numeric limits, config tables, or error-code-based troubleshooting."
https://learn.microsoft.com/en-us/azure/spring-apps/basic-standard/concept-manage-monitor-app-spring-boot-actuator,Spring Boot Actuator,Manage and Monitor App with Spring Boot Actuator,,Learn how to manage and monitor app with Spring Boot Actuator.,"Note TheBasic,Standard, andEnterpriseplans entered a retirement period on March 17, 2025. For more information, see theAzure Spring Apps retirement announcement. This article applies to:✅ Java ❎ C# This article applies to:✅ Basic/Standard ✅ Enterprise Spring Boot Actuator brings production-ready features to your apps. You can effortlessly monitor your app, collect metrics, and understand the status or database activity with this tool. You gain access to professional-grade tools without needing t",2025-08-19T17:10:00.000Z,conceptual,,0.3,False,Covers using Spring Boot Actuator for management/monitoring; likely general actuator usage rather than Azure Spring Apps–specific configuration tables or quotas.
https://learn.microsoft.com/en-us/azure/spring-apps/basic-standard/concept-metrics,Metrics,Metrics for Azure Spring Apps,,Learn how to review metrics in Azure Spring Apps,"Note TheBasic,Standard, andEnterpriseplans entered a retirement period on March 17, 2025. For more information, see theAzure Spring Apps retirement announcement. This article applies to:✅ Basic/Standard ✅ Enterprise Azure Metrics explorer is a component of the Microsoft Azure portal that allows plotting charts, visually correlating trends, and investigating spikes and dips in metrics. Use the metrics explorer to investigate the health and utilization of your resources. In an Azure Spring Apps in",2025-08-19T08:00:00.000Z,conceptual,,0.2,False,Explains how to review metrics using Azure Metrics Explorer; summary suggests conceptual monitoring guidance without detailed metric configuration tables or numeric thresholds.
https://learn.microsoft.com/en-us/azure/spring-apps/basic-standard/concept-outbound-type,Customize Azure Spring Apps egress with a user-defined route,Customize Azure Spring Apps Egress with a User-Defined Route,Configure custom egress routes for Azure Spring Apps,Learn how to customize Azure Spring Apps egress with a user-defined route.,"Note TheBasic,Standard, andEnterpriseplans entered a retirement period on March 17, 2025. For more information, see theAzure Spring Apps retirement announcement. This article applies to:✅ Java ✅ C# This article applies to:✅ Basic/Standard ✅ Enterprise This article describes how to customize an instance's egress route to support custom network scenarios. For example, you might want to customize an instance's egress route for networks that disallow public IPs and require the instance to sit behind",2025-08-19T17:10:00.000Z,article,configuration,0.7,True,"Describes customizing egress with user-defined routes for specific network scenarios; such guidance typically includes Azure-specific route table settings, parameter names, and allowed values, which are configuration expert knowledge."
https://learn.microsoft.com/en-us/azure/spring-apps/basic-standard/concept-security-controls,Security controls,Security Controls for Azure Spring Apps Service,Understand built-in security controls in Azure Spring Apps,Use security controls built in into Azure Spring Apps Service.,"Note TheBasic,Standard, andEnterpriseplans entered a retirement period on March 17, 2025. For more information, see theAzure Spring Apps retirement announcement. This article applies to:✅ Basic/Standard ✅ Enterprise Security controls are built into Azure Spring Apps Service. A security control is a quality or feature of an Azure service that contributes to the service's ability to prevent, detect, and respond to security vulnerabilities.  For each control, we useYesorNoto indicate whether it is ",2025-08-19T17:10:00.000Z,conceptual,security,0.7,True,"Lists security controls and whether they are supported; while somewhat high-level, it is a product-specific mapping of controls to the service, which is specialized security knowledge."
https://learn.microsoft.com/en-us/azure/spring-apps/basic-standard/concept-understand-app-and-deployment,App and deployment,App and Deployment in Azure Spring Apps,,Explains the distinction between application and deployment in Azure Spring Apps.,"Note TheBasic,Standard, andEnterpriseplans entered a retirement period on March 17, 2025. For more information, see theAzure Spring Apps retirement announcement. This article applies to:✅ Java ✅ C# This article applies to:✅ Basic/Standard ✅ Enterprise AppandDeploymentare the two key concepts in the resource model of Azure Spring Apps. In Azure Spring Apps, an App is an abstraction of one business app. One version of code or binary deployed as the App runs in a Deployment. Apps run in anAzure Spr",2025-08-19T17:10:00.000Z,conceptual,,0.3,False,"Conceptual explanation of app vs deployment resource model; mostly definitions and high-level behavior, not detailed configuration tables or limits."
https://learn.microsoft.com/en-us/azure/spring-apps/basic-standard/concept-zero-downtime-deployment,Zero downtime deployment,Zero Downtime Deployment in Azure Spring Apps,Achieve zero-downtime deployments on Azure Spring Apps,Learn about zero downtime deployment with blue-green deployment strategies in Azure Spring Apps.,"Note TheBasic,Standard, andEnterpriseplans entered a retirement period on March 17, 2025. For more information, see theAzure Spring Apps retirement announcement. This article applies to:✅ Java ✅ C# This article applies to:✅ Basic/Standard ✅ Enterprise This article describes the zero downtime deployment support in Azure Spring Apps. Achieving zero downtime deployments is a fundamental goal for mission-critical applications. Your application needs to be available even when new releases are rolled ",2025-08-19T17:10:00.000Z,conceptual,deployment,0.58,True,Describes zero-downtime deployment support and likely builds on blue-green strategies with product-specific deployment behavior and constraints; focused on deployment patterns rather than generic concepts.
https://learn.microsoft.com/en-us/azure/spring-apps/basic-standard/concepts-blue-green-deployment-strategies,Blue-green deployment strategies,Blue-Green Deployment Strategies in Azure Spring Apps,Implement blue-green deployment strategies in Azure Spring Apps,This topic explains two approaches to blue-green deployments in Azure Spring Apps.,"Note TheBasic,Standard, andEnterpriseplans entered a retirement period on March 17, 2025. For more information, see theAzure Spring Apps retirement announcement. This article applies to:✅ Basic/Standard ✅ Enterprise This article describes the blue-green deployment support in Azure Spring Apps. Azure Spring Apps (Standard plan and higher) permits two deployments for every app, only one of which receives production traffic. This pattern is commonly known as blue-green deployment. Azure Spring Apps",2025-08-19T17:10:00.000Z,conceptual,deployment,0.6,True,Explains blue-green deployment support with the constraint that Standard and higher plans permit two deployments per app with only one receiving production traffic; this is a product-specific deployment constraint and pattern.
https://learn.microsoft.com/en-us/azure/spring-apps/basic-standard/concepts-for-java-memory-management,Java memory management,Java Memory Management - Azure Spring Apps,,Introduces concepts for Java memory management to help you understand Java applications in Azure Spring Apps.,"Note TheBasic,Standard, andEnterpriseplans entered a retirement period on March 17, 2025. For more information, see theAzure Spring Apps retirement announcement. This article applies to:✅ Basic/Standard ❎ Enterprise This article describes various concepts related to Java memory management to help you understand the behavior of Java applications hosted in Azure Spring Apps.",2025-08-19T08:00:00.000Z,conceptual,,0.2,False,"Introduces Java memory management concepts; likely general JVM behavior in Azure Spring Apps, but summary does not indicate product-specific numeric settings, config tables, or error-code mappings."
https://learn.microsoft.com/en-us/azure/spring-apps/basic-standard/connect-managed-identity-to-azure-sql,Azure SQL Database with Managed identity,Use Managed Identity to Connect Azure SQL Database to an App Deployed to Azure Spring Apps,Configure managed identity for Azure Spring Apps to access Azure SQL,Set up managed identity to connect Azure SQL to an app deployed to Azure Spring Apps.,"Note TheBasic,Standard, andEnterpriseplans entered a retirement period on March 17, 2025. For more information, see theAzure Spring Apps retirement announcement. This article applies to:✅ Java ✅ C# This article applies to:✅ Basic/Standard ✅ Enterprise This article shows you how to create a managed identity for an app deployed to Azure Spring Apps and use it to access Azure SQL Database. Azure SQL Databaseis the intelligent, scalable, relational database service built for the cloud. It’s always u",2025-10-08T22:11:00.000Z,how-to,security,0.85,True,"Managed identity setup for Azure SQL typically includes specific role assignments, scopes, and connection configuration (e.g., authentication modes, connection string formats) that are security-focused and product-specific."
https://learn.microsoft.com/en-us/azure/spring-apps/basic-standard/cost-management,Manage costs,Manage Costs for Azure Spring Apps,,Learn about how to manage costs in Azure Spring Apps.,"Note TheBasic,Standard, andEnterpriseplans entered a retirement period on March 17, 2025. For more information, see theAzure Spring Apps retirement announcement. This article applies to:✅ Basic/Standard ✅ Enterprise This article describes the cost-saving options and capabilities that Azure Spring Apps provides.",2025-10-31T05:12:00.000Z,overview,,0.4,False,"Cost management article likely focuses on conceptual cost-saving options; summary does not indicate specific numeric thresholds, SKUs, or configuration tables."
https://learn.microsoft.com/en-us/azure/spring-apps/basic-standard/diagnostic-services,Analyze logs and metrics,Analyze Logs and Metrics in Azure Spring Apps,Configure diagnostics logs and metrics for Azure Spring Apps,Learn how to analyze diagnostics data in Azure Spring Apps,"Note TheBasic,Standard, andEnterpriseplans entered a retirement period on March 17, 2025. For more information, see theAzure Spring Apps retirement announcement. This article applies to:✅ Java ✅ C# This article applies to:✅ Basic/Standard ✅ Enterprise This article shows you how to analyze diagnostics data in Azure Spring Apps. Using the diagnostics functionality of Azure Spring Apps, you can analyze logs and metrics with any of the following services: Choose the log category and metric category ",2025-08-19T08:00:00.000Z,conceptual,configuration,0.65,True,"Article on analyzing diagnostics data with multiple Azure services; these pages typically include specific diagnostic setting names, categories, and configuration options unique to Azure Spring Apps."
https://learn.microsoft.com/en-us/azure/spring-apps/basic-standard/how-to-appdynamics-java-agent-monitor,AppDynamics in-process agent,How to Monitor Spring Boot Apps with the AppDynamics Java Agent (Preview) - Azure Spring Apps,Monitor Azure Spring Apps with AppDynamics Java agent,How to use the AppDynamics Java agent to monitor Spring Boot applications in Azure Spring Apps.,"Note TheBasic,Standard, andEnterpriseplans entered a retirement period on March 17, 2025. For more information, see theAzure Spring Apps retirement announcement. This article applies to:✅ Basic/Standard ❎️ Enterprise This article explains how to use the AppDynamics Java Agent to monitor Spring Boot applications in Azure Spring Apps. With the AppDynamics Java Agent, you can: The following video introduces the AppDynamics Java in-process agent.",2025-10-31T05:12:00.000Z,how-to,integrations,0.8,True,"AppDynamics integration guide; includes agent configuration and Azure Spring Apps-specific wiring, which are concrete integration patterns."
https://learn.microsoft.com/en-us/azure/spring-apps/basic-standard/how-to-application-insights,Application Insights using Java In-Process Agent,How to Use Application Insights Java In-Process Agent in Azure Spring Apps,Configure Application Insights Java agent for Azure Spring Apps,How to monitor apps using Application Insights Java In-Process Agent in Azure Spring Apps.,"Note TheBasic,Standard, andEnterpriseplans entered a retirement period on March 17, 2025. For more information, see theAzure Spring Apps retirement announcement. With Spring Boot Native Image applications, use theAzure Monitor OpenTelemetry Distro / Application Insights in Spring Boot native image Java applicationproject instead of the Application Insights Java agent. This article applies to:✅ Basic/Standard ✅ Enterprise This article explains how to monitor applications by using the Application ",2025-08-19T08:00:00.000Z,how-to,integrations,0.8,True,"How-to for using Application Insights Java in-process agent with Azure Spring Apps; such docs usually contain agent configuration parameters, environment variables, and service-specific settings."
https://learn.microsoft.com/en-us/azure/spring-apps/basic-standard/how-to-bind-cosmos,Azure Cosmos DB,Connect an Azure Cosmos DB to Your Application in Azure Spring Apps,Bind Azure Cosmos DB to Azure Spring Apps applications,Learn how to connect Azure Cosmos DB to your application in Azure Spring Apps,"Note TheBasic,Standard, andEnterpriseplans entered a retirement period on March 17, 2025. For more information, see theAzure Spring Apps retirement announcement. This article applies to:✅ Java ✅ C# This article applies to:✅ Basic/Standard ✅ Enterprise Instead of manually configuring your Spring Boot applications, you can automatically connect selected Azure services to your applications by using Azure Spring Apps. This article demonstrates how to connect your application to an Azure Cosmos DB da",2025-08-19T17:10:00.000Z,how-to,integrations,0.8,True,"Shows automatic binding of Cosmos DB to Spring apps; such binding docs typically include connection property names, configuration keys, and binding parameters unique to Azure Spring Apps and Cosmos DB integration."
https://learn.microsoft.com/en-us/azure/spring-apps/basic-standard/how-to-bind-mysql,Azure Database for MySQL,How to Connect an Azure Database for MySQL Instance to Your Application in Azure Spring Apps,Bind Azure Database for MySQL to Azure Spring Apps,Learn how to connect an Azure Database for MySQL instance to your application in Azure Spring Apps,"Note TheBasic,Standard, andEnterpriseplans entered a retirement period on March 17, 2025. For more information, see theAzure Spring Apps retirement announcement. This article applies to:✅ Java ✅ C# This article applies to:✅ Basic/Standard ✅ Enterprise With Azure Spring Apps, you can connect selected Azure services to your applications automatically, instead of having to configure your Spring Boot application manually. This article shows you how to connect your application to your Azure Database ",2025-08-19T17:10:00.000Z,how-to,integrations,0.8,True,"Automatic connection of Azure Database for MySQL to Spring apps; typically documents binding configuration, environment variables, and JDBC URL patterns specific to this integration."
https://learn.microsoft.com/en-us/azure/spring-apps/basic-standard/how-to-bind-postgres,Azure Database for Postgres,How to Bind an Azure Database for PostgreSQL to Your Application in Azure Spring Apps,Bind Azure Database for PostgreSQL to Azure Spring Apps,Learn how to bind an Azure Database for PostgreSQL instance to your application in Azure Spring Apps.,"Note TheBasic,Standard, andEnterpriseplans entered a retirement period on March 17, 2025. For more information, see theAzure Spring Apps retirement announcement. This article applies to:✅ Java ✅ C# This article applies to:✅ Basic/Standard ✅ Enterprise With Azure Spring Apps, you can bind select Azure services to your applications automatically, instead of having to configure your Spring Boot application manually. This article shows you how to bind your application to your Azure Database for Post",2025-08-19T17:10:00.000Z,how-to,integrations,0.8,True,"Similar to MySQL binding; includes product-specific binding parameters, configuration keys, and connection details for PostgreSQL integration with Azure Spring Apps."
https://learn.microsoft.com/en-us/azure/spring-apps/basic-standard/how-to-bind-redis,Azure Cache for Redis,Connect Azure Cache for Redis to Your Application in Azure Spring Apps,Connect Azure Cache for Redis to Azure Spring Apps apps,Learn how to connect Azure Cache for Redis to your application in Azure Spring Apps,"Note TheBasic,Standard, andEnterpriseplans entered a retirement period on March 17, 2025. For more information, see theAzure Spring Apps retirement announcement. This article applies to:✅ Java ✅ C# This article applies to:✅ Basic/Standard ✅ Enterprise Instead of manually configuring your Spring Boot applications, you can automatically connect selected Azure services to your applications by using Azure Spring Apps. This article shows how to connect your application to Azure Cache for Redis.",2025-08-19T17:10:00.000Z,how-to,integrations,0.8,True,"Integration guide for Redis binding; likely includes specific configuration keys, connection string handling, and binding parameters that are product-specific integration details."
https://learn.microsoft.com/en-us/azure/spring-apps/basic-standard/how-to-built-in-persistent-storage,Use built-in persistent storage,Use Built-in Persistent Storage in Azure Spring Apps,Use built-in persistent and temporary storage limits in Azure Spring Apps,Learn how to use built-in persistent storage in Azure Spring Apps,"Note TheBasic,Standard, andEnterpriseplans entered a retirement period on March 17, 2025. For more information, see theAzure Spring Apps retirement announcement. This article applies to:✅ Java ✅ C# This article applies to:✅ Basic/Standard ❎ Enterprise Azure Spring Apps provides two types of built-in storage for your application: persistent and temporary. By default, Azure Spring Apps provides temporary storage for each application instance. Temporary storage is limited to 5 GB per instance with/",2025-08-19T17:10:00.000Z,conceptual,limits-quotas,0.9,True,Explicitly states temporary storage is limited to 5 GB per instance and distinguishes persistent vs temporary storage; this is a concrete numeric limit that LLMs are unlikely to know from training.
https://learn.microsoft.com/en-us/azure/spring-apps/basic-standard/how-to-circuit-breaker-metrics,Resilience4J Circuit Breaker Metrics,Collect Spring Cloud Resilience4J Circuit Breaker Metrics with Micrometer,Collect Resilience4j circuit breaker metrics with Micrometer,How to collect Spring Cloud Resilience4J Circuit Breaker Metrics with Micrometer in Azure Spring Apps.,"Note TheBasic,Standard, andEnterpriseplans entered a retirement period on March 17, 2025. For more information, see theAzure Spring Apps retirement announcement. This article applies to:✅ Basic/Standard ✅ Enterprise This article shows you how to collect Spring Cloud Resilience4j Circuit Breaker Metrics with Application Insights Java in-process agent. With this feature, you can monitor the metrics of Resilience4j circuit breaker from Application Insights with Micrometer. The demospring-cloud-circ",2025-08-19T17:10:00.000Z,how-to,integrations,0.75,True,Shows wiring Resilience4j metrics into Application Insights via Micrometer in Azure Spring Apps; involves product-specific metric names and configuration parameters.
https://learn.microsoft.com/en-us/azure/spring-apps/basic-standard/how-to-config-server,Set up a Config Server,Configure Your Managed Spring Cloud Config Server - Azure Spring Apps,Configure managed Spring Cloud Config Server in Azure Spring Apps,Learn how to configure a managed Spring Cloud Config Server in Azure Spring Apps on the Azure portal,"Note TheBasic,Standard, andEnterpriseplans entered a retirement period on March 17, 2025. For more information, see theAzure Spring Apps retirement announcement. This article applies to:✅ Java ✅ C# This article applies to:✅ Basic/Standard ✅ Enterprise This article shows you how to configure a managed Spring Cloud Config Server in Azure Spring Apps. Spring Cloud Config Server provides server and client-side support for an externalized configuration in a distributed system. The Spring Cloud Config",2025-08-19T08:00:00.000Z,how-to,configuration,0.8,True,"Shows how to configure the managed Config Server, likely with specific settings, endpoints, and parameter values unique to Azure Spring Apps."
https://learn.microsoft.com/en-us/azure/spring-apps/basic-standard/how-to-configure-health-probes-graceful-termination,Health probes and graceful termination,How to Configure Health Probes and Graceful Termination Period for Apps Hosted in Azure Spring Apps,Configure health probes and graceful termination in Azure Spring Apps,Learn how to customize apps running in Azure Spring Apps with health probes and graceful termination period.,"Note TheBasic,Standard, andEnterpriseplans entered a retirement period on March 17, 2025. For more information, see theAzure Spring Apps retirement announcement. This article applies to:✅ Java ✅ C# This article applies to:✅ Basic/Standard ✅ Enterprise This article shows you how to customize apps running in Azure Spring Apps with health probes and graceful termination periods. A probe is a diagnostic activity performed periodically by Azure Spring Apps on an app instance. To perform a diagnostic,",2025-08-19T08:00:00.000Z,conceptual,configuration,0.85,True,"Covers health probe and termination period settings; these typically include specific configuration property names, allowed ranges, and defaults unique to Azure Spring Apps."
https://learn.microsoft.com/en-us/azure/spring-apps/basic-standard/how-to-configure-planned-maintenance,Configure planned maintenance,How to Configure Planned Maintenance for Azure Spring Apps,Configure planned maintenance windows for Azure Spring Apps,Describes how to configure planned maintenance for Azure Spring Apps.,"Note TheBasic,Standard, andEnterpriseplans entered a retirement period on March 17, 2025. For more information, see theAzure Spring Apps retirement announcement. This article applies to:✅ Basic/Standard ✅ Enterprise This article describes how to configure planned maintenance in Azure Spring Apps. Routine maintenance is necessary to keep the Azure Spring Apps platform up-to-date and secure. The maintenance, also called auto patching, includes security updates, bug fixes, new features, or performa",2025-10-31T05:12:00.000Z,how-to,configuration,0.7,True,"Planned maintenance/auto patching configuration typically exposes specific settings (maintenance window, schedule, allowed time ranges) that are product-specific configuration parameters."
https://learn.microsoft.com/en-us/azure/spring-apps/basic-standard/how-to-custom-domain,Custom DNS name,Map an Existing Custom Domain to Azure Spring Apps,Map and secure custom domains for Azure Spring Apps,Learn how to map an existing custom Distributed Name Service (DNS) name to Azure Spring Apps,"Note TheBasic,Standard, andEnterpriseplans entered a retirement period on March 17, 2025. For more information, see theAzure Spring Apps retirement announcement. This article applies to:✅ Java ✅ C# This article applies to:✅ Standard ✅ Enterprise Domain Name Service (DNS) is a technique for storing network node names throughout a network. This article maps a domain, such aswww.contoso.com, using a CNAME record. It secures the custom domain with a certificate and shows how to enforce Transport Lay",2026-01-26T23:23:00.000Z,how-to,security,0.8,True,"Guides mapping DNS CNAMEs, securing with certificates, and enforcing TLS; typically includes specific certificate and TLS configuration steps and possibly required DNS record formats."
