url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason
https://learn.microsoft.com/en-us/azure/hdinsight/ambari-web-ui-auto-logout,Disable auto logout from Ambari Web UI,Disable auto logout in Azure HDInsight Ambari Web UI if the session is inactive.,Configure Ambari Web UI auto-logout behavior in HDInsight,Disable able auto logout from Ambari Web UI.,"By default, the auto logout feature is enabled for Ambari UI. With this feature, we set a standard 30 mins before the user is logged out due to inactivity. The user will be presented with an automatic logout dialog 60 seconds prior to auto logout. User can click to remain logged in or if no activity occurs, Ambari UI will automatically log out the user and redirect the application to the login page. Note It is recommended to keep this auto logout feature on enable mode only. To disable the auto ",2024-11-25T08:00:00.000Z,how-to,configuration,0.7,True,Documents the default 30-minute inactivity timeout and 60-second warning plus how to disable it; includes concrete timeout values and configuration steps specific to Ambari on HDInsight.
https://learn.microsoft.com/en-us/azure/hdinsight/apache-ambari-email,Apache Ambari email notifications,Tutorial: Configure Apache Ambari email notifications in Azure HDInsight,Configure Ambari email alerts with SendGrid on HDInsight,This article describes how to use SendGrid with Apache Ambari for email notifications.,"In this tutorial, you configure Apache Ambari email notifications by using SendGrid as an example.Apache Ambarisimplifies the management and monitoring of an Azure HDInsight cluster by providing an easy-to-use web UI and REST API. Ambari is included on HDInsight clusters and is used to monitor the cluster and make configuration changes.SendGridis a free cloud-based email service that provides reliable transactional email delivery, scalability, and real-time analytics along with flexible APIs tha",2025-02-21T05:40:00.000Z,tutorial,integrations,0.75,True,"Describes configuring Ambari email notifications via SendGrid; includes product-specific configuration fields (SMTP host, ports, auth) and integration steps."
https://learn.microsoft.com/en-us/azure/hdinsight/apache-ambari-usage,Apache Ambari in Azure HDInsight,Apache Ambari usage in Azure HDInsight,Configure Apache Ambari roles and failover in HDInsight,Discussion of how Apache Ambari is used in Azure HDInsight.,"HDInsight uses Apache Ambari for cluster deployment and management. Ambari agents run on every node provided if headnode, worker node, zookeeper, and edgenode are present. Ambari server runs only on headnode. Only one instance of Ambari server shall run at one time. This is controlled by HDInsight failover controller. When one of the headnodes is down for reboot or maintenance, the other headnode will become active and Ambari server on the second headnode will be started. All cluster configurati",2024-06-15T08:00:00.000Z,conceptual,configuration,0.65,True,"Describes where Ambari agents and server run (headnode, worker, zookeeper, edgenode) and that only one Ambari server instance runs, controlled by HDInsight failover controller. This is product-specific configuration/placement behavior not derivable generically."
https://learn.microsoft.com/en-us/azure/hdinsight/apache-kafka-spark-structured-streaming-cosmosdb,"Apache Spark, Apache Kafka, and Azure Cosmos DB",Apache Spark and Apache Kafka with Azure Cosmos DB - Azure HDInsight,Stream from Kafka to Azure Cosmos DB with Spark,"Learn how to use Apache Spark Structured Streaming to read data from Apache Kafka and then store it into Azure Cosmos DB. In this example, you stream data using a Jupyter Notebook from Spark on HDInsi","Learn how to useApache SparkStructured Streamingto read data fromApache Kafkaon Azure HDInsight, and then store the data into Azure Cosmos DB. Azure Cosmos DBis a globally distributed, multi-model database. This example uses an Azure Cosmos DB for NoSQL database model. For more information, see theWelcome to Azure Cosmos DBdocument. Spark structured streaming is a stream processing engine built on Spark SQL. It allows you to express streaming computations the same as batch computation on static ",2024-12-02T08:00:00.000Z,how-to,integrations,0.7,True,"Shows Spark Structured Streaming from Kafka into Cosmos DB; includes connection strings, Cosmos DB config (database/container), and Kafka options specific to HDInsight."
https://learn.microsoft.com/en-us/azure/hdinsight/azure-cli-samples,Azure CLI samples,Azure HDInsight: Azure CLI samples,Use Azure CLI script samples for HDInsight tasks,Azure CLI examples for common tasks in Azure HDInsight.,".NET ExamplesPython ExamplesJava Examples This article provides sample scripts for common tasks. For each example, update the variables with the appropriate values, and then execute the command.",2024-09-06T08:00:00.000Z,sample,integrations,0.7,True,Provides concrete Azure CLI script samples for HDInsight; includes command parameters and patterns specific to HDInsight management.
https://learn.microsoft.com/en-us/azure/hdinsight/azure-monitor-agent,Azure Monitor Agent Migration,Azure Monitor Agent (AMA) migration guide for Azure HDInsight clusters,,Learn how to migrate to Azure Monitor Agent (AMA) in Azure HDInsight clusters.,"Azure HDInsight is an enterprise-ready, managed-cluster service. This service runs open-source analytics frameworks like Apache Spark, Hadoop, HBase, and Kafka on Azure. Azure HDInsight integrated with other Azure services to enable customers to better manage their big data analytics applications. Log Analytics provides a tool in the Azure portal to edit and run log queries. The queries come from data collected by Azure Monitor Logs and interactively analyze their results. Customers can use Log ",2024-12-03T08:00:00.000Z,how-to,,0.45,False,"AMA migration guide likely has steps but summary does not indicate specific configuration parameter tables, limits, or detailed diagnostic mappings; appears more procedural than reference-like."
https://learn.microsoft.com/en-us/azure/hdinsight/cluster-availability-monitor-logs,Cluster availability - Azure Monitor logs,How to monitor cluster availability with Azure Monitor logs in HDInsight,,Learn how to use Azure Monitor logs to monitor cluster health and availability.,"HDInsight clusters include Azure Monitor logs integration, which provides queryable metrics and logs, as well as configurable alerts. This article shows how to use Azure Monitor to monitor your cluster.",2024-06-15T08:00:00.000Z,how-to,,0.3,False,General article on using Azure Monitor logs for availability; summary suggests a how-to without detailed configuration matrices or troubleshooting mappings.
https://learn.microsoft.com/en-us/azure/hdinsight/cluster-management-best-practices,Cluster management best practices,Cluster management best practices - Azure HDInsight,Apply cluster management best practices in HDInsight,Learn best practices for managing HDInsight clusters.,Learn best practices for managing HDInsight clusters.,2024-06-14T08:00:00.000Z,conceptual,best-practices,0.7,True,"Explicitly a best-practices page for HDInsight cluster management; likely contains product-specific DOs/DON’Ts, configuration recommendations, and operational gotchas beyond generic advice."
https://learn.microsoft.com/en-us/azure/hdinsight/cluster-reboot-vm,Reboot cluster nodes,Reboot VMs for Azure HDInsight clusters,Recover HDInsight clusters by rebooting unresponsive VMs,Learn how to reboot unresponsive VMs for Azure HDInsight clusters.,"Azure HDInsight clusters contain groups of virtual machines (VMs) as cluster nodes. For long-running clusters, these nodes might become unresponsive for various reasons. This article describes how to reboot unresponsive VMs in an HDInsight cluster.",2024-06-15T08:00:00.000Z,how-to,troubleshooting,0.65,True,Guides how to handle unresponsive HDInsight nodes by rebooting VMs; includes symptom-driven operational steps specific to HDInsight clusters.
https://learn.microsoft.com/en-us/azure/hdinsight/cluster-reliability-issues,Cluster Reliability Issues,Cluster reliability issue with older images in HDInsight clusters,Address reliability issues on older HDInsight images,Cluster reliability issue with older images in HDInsight clusters,"Issue published date: October 13, 2023 As part of the proactive reliability management of Azure HDInsight, we recently found a potential reliability issue on HDInsight clusters that use images dated February 2022 or older.",2024-03-28T17:06:00.000Z,troubleshooting-known-issue,troubleshooting,0.75,True,"Covers a specific reliability issue on clusters with images dated February 2022 or older, with targeted remediation guidance; this is unique troubleshooting content."
