url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason
https://learn.microsoft.com/en-us/azure/lab-services/account-setup-guide,Lab account creation guide,Accelerated lab account setup guide - Azure Lab Services,,This guide helps administrators quickly set up a lab account for use within their school.,"Important Azure Lab Services will be retired on June 28, 2027. For more information, see theretirement guide. To simplify your migration, Microsoft has published automation scripts to help you clean up Lab Services resources, these are available in theAzure Lab Services Retirement Scripts
GitHub repository. Important The information in this article applies to lab accounts. Azure Lab Serviceslab plansreplacelab accounts. Learn how you can get started bycreating a lab plan. For existing lab accoun",2024-07-15T14:48:00.000Z,how-to,,0.3,False,"Accelerated setup guide is primarily a step-by-step onboarding tutorial; description does not indicate detailed configuration parameter tables, limits, or troubleshooting content."
https://learn.microsoft.com/en-us/azure/lab-services/add-lab-creator,Add a lab creator,Assign a lab creator - Azure Lab Services,Assign Lab Creator role in Azure Lab Services,This article shows how to add a user to the Lab Creator role for a lab plan in Azure Lab Services. Lab creators can create labs within the lab plan.,"Important Azure Lab Services will be retired on June 28, 2027. For more information, see theretirement guide. To simplify your migration, Microsoft has published automation scripts to help you clean up Lab Services resources, these are available in theAzure Lab Services Retirement Scripts
GitHub repository. Note This article references features available inlab plans, which replaced lab accounts. This article describes how to add users as lab creators to a lab account or lab plan in Azure Lab Ser",2024-08-30T05:36:00.000Z,how-to,security,0.82,True,"Describes adding users to the Lab Creator role for lab plans/accounts. This necessarily includes specific RBAC role names, scopes, and possibly required permissions, which are product-specific security configuration details."
https://learn.microsoft.com/en-us/azure/lab-services/administrator-guide,Administrator guide,Lab Services administrator guide - Azure Lab Services,,This guide provides information for administrators who create and manage lab plans by using Azure Lab Services.,"Important Azure Lab Services will be retired on June 28, 2027. For more information, see theretirement guide. To simplify your migration, Microsoft has published automation scripts to help you clean up Lab Services resources, these are available in theAzure Lab Services Retirement Scripts
GitHub repository. Information technology (IT) administrators who manage a university's cloud resources are ordinarily responsible for setting up the lab plan for their school. After they set up a lab plan, adm",2024-12-19T12:13:00.000Z,concept-article,,0.45,False,"Administrator guide is broad and likely a navigation/overview hub for admins. Summary describes responsibilities and setup at a high level, not specific config tables, limits, or troubleshooting mappings."
https://learn.microsoft.com/en-us/azure/lab-services/administrator-guide-1,Administrator guide,Administrator guide using lab accounts - Azure Lab Services,,This guide helps administrators who create and manage lab accounts by using Azure Lab Services.,"Important Azure Lab Services will be retired on June 28, 2027. For more information, see theretirement guide. To simplify your migration, Microsoft has published automation scripts to help you clean up Lab Services resources, these are available in theAzure Lab Services Retirement Scripts
GitHub repository. Important The information in this article applies to lab accounts. Azure Lab Serviceslab plansreplacelab accounts. Learn how you can get started bycreating a lab plan. For existing lab accoun",2024-12-19T12:13:00.000Z,how-to,,0.3,False,"Administrator guide for lab accounts is likely a procedural/overview document (create/manage accounts) without specific limits, error codes, or configuration tables that meet expert-knowledge criteria."
https://learn.microsoft.com/en-us/azure/lab-services/allow-lab-creator-pick-lab-location,Allow lab creator to pick lab location,Allow lab creator to pick location in Azure Lab Services - Azure Lab Services,Allow lab creators to choose lab locations in Azure Lab Services,This article describes how a lab account administrator can allow lab creators to pick locations for their labs.,"Important Azure Lab Services will be retired on June 28, 2027. For more information, see theretirement guide. To simplify your migration, Microsoft has published automation scripts to help you clean up Lab Services resources, these are available in theAzure Lab Services Retirement Scripts
GitHub repository. Important The information in this article applies to lab accounts. Azure Lab Serviceslab plansreplacelab accounts. Learn how you can get started bycreating a lab plan. For existing lab accoun",2024-07-15T14:48:00.000Z,how-to,configuration,0.6,True,"Describes enabling location selection for lab creators; likely involves specific setting names or toggles in the lab account configuration, which are product-specific configuration options."
https://learn.microsoft.com/en-us/azure/lab-services/approaches-for-custom-image-creation,Create custom images for labs,Recommendation for creating custom images - Azure Lab Services,Recommended approaches for creating Azure Lab custom images,Describes approaches for creating custom virtual machine images for labs in Azure Lab Services.,"Important Azure Lab Services will be retired on June 28, 2027. For more information, see theretirement guide. To simplify your migration, Microsoft has published automation scripts to help you clean up Lab Services resources, these are available in theAzure Lab Services Retirement Scripts
GitHub repository. This article describes recommended approaches for creating a custom image for Azure Lab Services labs. Learn how you can create a save a custom image from an existing lab template virtual mac",2024-08-30T05:36:00.000Z,conceptual,best-practices,0.7,True,Explicitly a recommendations article; likely contains product-specific DOs/DON’Ts and preferred workflows for image creation that go beyond generic VM imaging concepts.
https://learn.microsoft.com/en-us/azure/lab-services/azure-polices-for-lab-services,Azure Policies for Lab Services,Azure Policies for Lab Services - Azure Lab Services,Apply Azure Policy to govern Azure Lab Services,Learn how to use Azure Policy to use built-in policies for Azure Lab Services to make sure your labs are compliant with your requirements.,"Important Azure Lab Services will be retired on June 28, 2027. For more information, see theretirement guide. To simplify your migration, Microsoft has published automation scripts to help you clean up Lab Services resources, these are available in theAzure Lab Services Retirement Scripts
GitHub repository. When teams create and run labs on Azure Lab Services, they might face varying requirements to the configuration of resources. Administrators might look for options to control cost, provide cu",2024-08-30T05:36:00.000Z,conceptual,security,0.7,True,"Azure Policy integration for Lab Services will include specific built-in policy definitions, resource types, and possibly effect/parameter names unique to this product. That’s product-specific security/governance configuration, not generic security theory."
https://learn.microsoft.com/en-us/azure/lab-services/capacity-limits,Capacity limits,Capacity limits - Azure Lab Services,Understand VM capacity limits in Azure Lab Services,Learn about VM capacity limits in Azure Lab Services.,"Important Azure Lab Services will be retired on June 28, 2027. For more information, see theretirement guide. To simplify your migration, Microsoft has published automation scripts to help you clean up Lab Services resources, these are available in theAzure Lab Services Retirement Scripts
GitHub repository. Azure Lab Services has default capacity limits on Azure subscriptions that adhere to Azure Compute quota limitations and to mitigate fraud. All Azure subscriptions have an initial capacity li",2024-07-15T14:48:00.000Z,conceptual,limits-quotas,0.9,True,"Explicitly about capacity limits; these pages typically list concrete numeric VM/core limits per subscription and/or per lab, often in tables. That’s quota data specific to this service that an LLM wouldn’t reliably know."
https://learn.microsoft.com/en-us/azure/lab-services/classroom-labs-concepts,Key concepts for Azure Lab Services,Key concepts for Azure Lab services - Azure Lab Services,,"Learn the basic concepts of Lab Services, and how it can make it easy to create and manage labs.","Important Azure Lab Services will be retired on June 28, 2027. For more information, see theretirement guide. To simplify your migration, Microsoft has published automation scripts to help you clean up Lab Services resources, these are available in theAzure Lab Services Retirement Scripts
GitHub repository. This article describes key Azure Lab Services concepts and definitions. The following conceptual diagram shows how the different Azure Lab Services components are related. Diagram that shows ",2023-05-03T11:14:00.000Z,how-to,,0.1,False,Concepts article defining key Azure Lab Services terms and relationships; high-level conceptual content without expert-only configuration or limits.
https://learn.microsoft.com/en-us/azure/lab-services/classroom-labs-fundamentals,Labs architecture fundamentals,Architecture fundamentals - Azure Lab Services,Understand Azure Lab Services architecture fundamentals,This article covers the fundamental resources used by Azure Lab Services and the basic architecture of a lab environment.,"Important Azure Lab Services will be retired on June 28, 2027. For more information, see theretirement guide. To simplify your migration, Microsoft has published automation scripts to help you clean up Lab Services resources, these are available in theAzure Lab Services Retirement Scripts
GitHub repository. Note This article references features available inlab plans, which replaced lab accounts. Azure Lab Services is a SaaS (software as a service) solution, which means that the infrastructure re",2024-08-30T05:36:00.000Z,conceptual,architecture-patterns,0.6,True,"Describes the specific architecture and resources used by Azure Lab Services as a SaaS solution; while conceptual, it is product-specific architecture guidance beyond generic patterns."
