url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/healthcare-apis/access-healthcare-apis,Access Azure Health Data Services,Access Azure Health Data Services,,"Learn how to access the FHIR, DICOM, and MedTech services in Azure Health Data Services by using cURL, REST Client, and programming languages like Python and C# for efficient data management.","After you deploy a FHIR® service, DICOM® service, or MedTech service, you can then access it in your applications by using tools like cURL, REST Client in Visual Studio Code, or with programming languages such as Python or C#.",2025-06-02T08:00:00.000Z,conceptual,,0.2,False,"High-level guidance on accessing services using cURL/REST/SDKs; appears tutorial/overview without detailed config tables, limits, or product-specific error mappings.",unchanged
https://learn.microsoft.com/en-us/azure/healthcare-apis/authentication-authorization,Manage user access and permissions,Authentication and authorization in Azure Health Data Services,Configure authentication and authorization for health data services,"Learn how to manage access to Azure Health Data Services by using Microsoft Entra ID, assign application roles, and secure your data with OAuth 2.0 protocols and managed identities.",,2025-05-24T08:00:00.000Z,overview,security,0.8,True,"Focused on Microsoft Entra ID, OAuth 2.0, managed identities, and application roles for Azure Health Data Services; this is product-specific security configuration guidance.",unchanged
https://learn.microsoft.com/en-us/azure/healthcare-apis/availability-zones,Availability zones,Azure Health Data Services Availability Zones,,Overview of Availability Zones for Azure Health Data Services,"The goal of high availability in Azure Health Data Services is to minimize impact on customer workloads from service maintenance operations and outages. Azure Health Data Services provides zone redundant availability using availability zones (AZs) for high availability and business continuity. To understand more about availability zones, visitWhat are Azure availability zones?. Zone redundant availability provides resiliency by protecting against outages within a region. This is achieved using z",2025-07-23T22:09:00.000Z,conceptual,,0.3,False,"High-level explanation of availability zones usage; summary does not indicate specific configuration options, thresholds, or matrices.",unchanged
https://learn.microsoft.com/en-us/azure/healthcare-apis/azure-api-for-fhir/autoscale-azure-api-fhir,Autoscale,Autoscale for Azure API for FHIR,Configure autoscale behavior for Azure API for FHIR,This article describes the autoscale feature for Azure API for FHIR.,"Important Azure API for FHIR will be retired on September 30, 2026.Follow themigration strategiesto transition toAzure Health Data Services FHIR® serviceby that date. Due to the retirement of Azure API for FHIR, new customer deployments won't be allowed beginning April 1, 2025.Azure Health Data Services FHIR serviceis the evolved version of Azure API for FHIR that enables customers to manageFHIR, DICOM, and MedTech services with integrations into other Azure services. Azure API for FHIR, as a ma",2025-09-29T17:17:00.000Z,conceptual,limits-quotas,0.76,True,"Autoscale behavior typically includes concrete thresholds, instance counts, and scaling rules specific to this managed service, which are numeric limits/quotas not inferable from general knowledge.",unchanged
https://learn.microsoft.com/en-us/azure/healthcare-apis/azure-api-for-fhir/azure-active-directory-identity-configuration,Microsoft Entra ID and Azure API for FHIR,Microsoft Entra identity configuration for Azure API for FHIR,Configure Microsoft Entra identity for Azure API for FHIR,"Learn the principles of identity, authentication, and authorization for Azure FHIR servers.","Important Azure API for FHIR will be retired on September 30, 2026.Follow themigration strategiesto transition toAzure Health Data Services FHIR® serviceby that date. Due to the retirement of Azure API for FHIR, new customer deployments won't be allowed beginning April 1, 2025.Azure Health Data Services FHIR serviceis the evolved version of Azure API for FHIR that enables customers to manageFHIR, DICOM, and MedTech services with integrations into other Azure services. When you're working with he",2025-07-24T08:00:00.000Z,conceptual,security,0.84,True,"Covers identity, authentication, and authorization for Azure FHIR servers; such content typically includes specific app registration settings, scopes, audience values, and RBAC roles, which are product-specific security configuration details.",unchanged
https://learn.microsoft.com/en-us/azure/healthcare-apis/azure-api-for-fhir/azure-api-fhir-access-token-validation,Access token validation,Azure API for FHIR access token validation,Troubleshoot Azure API for FHIR access token validation,Walks through token validation and gives tips on how to troubleshoot access issues,"Important Azure API for FHIR will be retired on September 30, 2026.Follow themigration strategiesto transition toAzure Health Data Services FHIR® serviceby that date. Due to the retirement of Azure API for FHIR, new customer deployments won't be allowed beginning April 1, 2025.Azure Health Data Services FHIR serviceis the evolved version of Azure API for FHIR that enables customers to manageFHIR, DICOM, and MedTech services with integrations into other Azure services. How Azure API for FHIR® val",2025-07-24T08:00:00.000Z,conceptual,troubleshooting,0.86,True,"Walkthrough of token validation with tips on resolving access issues; likely includes specific error messages/claims and their resolutions, matching symptom→cause→solution.",unchanged
https://learn.microsoft.com/en-us/azure/healthcare-apis/azure-api-for-fhir/azure-api-fhir-resource-manager-template,Using ARM template,Quickstart: Deploy Azure API for FHIR using an ARM template,Deploy Azure API for FHIR with ARM templates,"In this quickstart, learn how to deploy Azure API for Fast Healthcare Interoperability Resources (FHIR®), by using an Azure Resource Manager template (ARM template).","Important Azure API for FHIR will be retired on September 30, 2026.Follow themigration strategiesto transition toAzure Health Data Services FHIR® serviceby that date. Due to the retirement of Azure API for FHIR, new customer deployments won't be allowed beginning April 1, 2025.Azure Health Data Services FHIR serviceis the evolved version of Azure API for FHIR that enables customers to manageFHIR, DICOM, and MedTech services with integrations into other Azure services. In this quickstart, you lea",2025-07-24T08:00:00.000Z,quickstart,deployment,0.65,True,"ARM template quickstart typically includes schema, resource types, and parameter names/values specific to Azure API for FHIR; this is product-specific deployment configuration beyond generic knowledge.",unchanged
https://learn.microsoft.com/en-us/azure/healthcare-apis/azure-api-for-fhir/bulk-delete-operation,$bulk-delete,Bulk delete resources from the Azure API for FHIR service in Azure Health Data Services,Use bulk delete operations in Azure FHIR service,Learn how to bulk delete resources from the Azure API for FHIR service in Azure Health Data Services.,"The bulk delete capability allows you to delete resources from FHIR® service asynchronously. Bulk delete capability in FHIR service is supported with operations:$bulk-deleteand$bulk-delete-soft-deleted.$bulk-deleteoperation allows you to delete resources in the FHIR service, except soft deleted resources. To delete soft deleted FHIR resources, you need to use$bulk-delete-soft-deletedoperation. FHIR service requires specific headers and roles enabled to use bulk delete capability",2025-07-24T22:10:00.000Z,conceptual,integrations,0.8,True,"Details $bulk-delete and $bulk-delete-soft-deleted operations, required headers, and roles; includes operation-specific parameters and constraints unique to the FHIR service.",unchanged
https://learn.microsoft.com/en-us/azure/healthcare-apis/azure-api-for-fhir/carin-implementation-guide-blue-button-tutorial,CARIN implementation for Blue Button,CARIN Blue Button Implementation Guide for Blue Button - Azure API for FHIR,Configure Azure API for FHIR for CARIN Blue Button,This tutorial walks through the steps of setting up Azure API for FHIR to pass the Touchstone tests for the CARIN Implementation Guide for Blue Button (C4BB IG).,"Important Azure API for FHIR will be retired on September 30, 2026.Follow themigration strategiesto transition toAzure Health Data Services FHIR® serviceby that date. Due to the retirement of Azure API for FHIR, new customer deployments won't be allowed beginning April 1, 2025.Azure Health Data Services FHIR serviceis the evolved version of Azure API for FHIR that enables customers to manageFHIR, DICOM, and MedTech services with integrations into other Azure services. In this tutorial, we walk t",2025-07-24T08:00:00.000Z,tutorial,configuration,0.65,True,"Tutorial for passing Touchstone tests for CARIN C4BB IG; typically includes specific FHIR profiles, capability statement settings, and configuration values unique to this compliance scenario.",unchanged
https://learn.microsoft.com/en-us/azure/healthcare-apis/azure-api-for-fhir/centers-for-medicare-tutorial-introduction,CMS interoperability and patient access rule,Tutorial - Centers for Medicare and Medicaid Services (CMS) introduction - Azure API for FHIR,,This overview introduces a series of tutorials that pertains to the Center for Medicare and Medicaid Services (CMS) Interoperability and Patient Access rule.,"Important Azure API for FHIR will be retired on September 30, 2026.Follow themigration strategiesto transition toAzure Health Data Services FHIR® serviceby that date. Due to the retirement of Azure API for FHIR, new customer deployments won't be allowed beginning April 1, 2025.Azure Health Data Services FHIR serviceis the evolved version of Azure API for FHIR that enables customers to manageFHIR, DICOM, and MedTech services with integrations into other Azure services. In this series of tutorials",2025-07-24T08:00:00.000Z,tutorial,,0.2,False,"Series introduction/overview for CMS interoperability tutorials; primarily conceptual and navigational, not detailed configuration or troubleshooting content.",unchanged
