url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason
https://learn.microsoft.com/en-us/azure/ai-foundry/agents/concepts/capability-hosts?view=foundry-classic,Capability hosts,Capability hosts for Foundry Agent Service - Microsoft Foundry,Configure capability hosts for Foundry Agent Service,"Learn how capability hosts route agent data to Microsoft-managed or your own Azure resources, and how to configure and troubleshoot them.","Note This document refers to theMicrosoft Foundry (classic)portal. 🔄Switch to the Microsoft Foundry (new) documentationif you're using the new portal. Note This document refers to theMicrosoft Foundry (new)portal. Note Updating capability hosts is not supported. To modify a capability host, you must delete the existing one and recreate it with the new configuration. Capability hosts are sub-resources that you configure at both the Microsoft Foundry account and Foundry project scopes. They tell F",2026-01-23T23:20:00.000Z,concept-article,configuration,0.7,True,"Describes capability hosts as sub-resources at account and project scopes; expected to list configuration properties, routing options, and possibly troubleshooting mappings specific to this feature."
https://learn.microsoft.com/en-us/azure/ai-foundry/agents/concepts/model-region-support?view=foundry-classic,Model and region support,Supported models and regions for Foundry Agent Service - Microsoft Foundry,,Find which Azure OpenAI models and regions are supported for Microsoft Foundry Agent Service.,"Note This document refers to theMicrosoft Foundry (classic)portal. 🔄Switch to the Microsoft Foundry (new) documentationif you're using the new portal. Note This document refers to theMicrosoft Foundry (new)portal. In this article, you learn which Azure OpenAI models and regions are supported for agents in Microsoft Foundry Agent Service. These models have different capabilities and price points. Microsoft Foundry offers two main types of deployments: All deployments can perform the same inferenc",2026-01-23T23:20:00.000Z,concept-article,,0.4,False,"Supported models and regions list; while specific, this is more of a capability/availability matrix than limits, configs, or troubleshooting; not in the defined sub-skill types."
https://learn.microsoft.com/en-us/azure/ai-foundry/agents/concepts/standard-agent-setup?view=foundry-classic,Standard agent setup,Built-in enterprise readiness with standard agent setup - Microsoft Foundry,,Learn about the enterprise features of the standard setup,"Note This document refers to theMicrosoft Foundry (classic)portal. 🔄Switch to the Microsoft Foundry (new) documentationif you're using the new portal. Note This document refers to theMicrosoft Foundry (new)portal. Standard Agent Setup uses customer-managed, single-tenant Azure resources to store agent state and keep all agent data under your control. In this setup:",2025-12-19T08:00:00.000Z,how-to,,0.4,False,"Describes standard agent setup and enterprise readiness; likely architecture and security concepts but summary does not show concrete RBAC roles, config parameters, or numeric thresholds required by the categories."
https://learn.microsoft.com/en-us/azure/ai-foundry/agents/concepts/threads-runs-messages?view=foundry-classic,"Threads, runs, and messages","Threads, Runs, and Messages in the Foundry Agent Service - Microsoft Foundry",,Learn about the components used in the Foundry Agent Service.,"Note This document refers to theMicrosoft Foundry (classic)portal. 🔍View the Microsoft Foundry (new) documentationto learn about the new portal. Foundry Agent Service supports persistent threads, runs, and messages. These components are essential for managing conversation states and interactions with users.",2026-01-23T06:04:00.000Z,concept-article,,0.2,False,"Conceptual explanation of threads, runs, and messages; summary indicates component descriptions, not numeric limits, config tables, or error mappings."
https://learn.microsoft.com/en-us/azure/ai-foundry/agents/environment-setup?view=foundry-classic,Environment setup,Set up your environment for Foundry Agent Service - Microsoft Foundry,,Use this guide to set up your agent environment,Note This document refers to theMicrosoft Foundry (classic)portal. 🔄Switch to the Microsoft Foundry (new) documentationif you're using the new portal. Note This document refers to theMicrosoft Foundry (new)portal. Creating your first agent with Foundry Agent Service is a two-step process: Use this article to learn more about setting up your agent environment.,2026-01-16T18:12:00.000Z,how-to,,0.3,False,Environment setup guide; likely step-by-step getting started without detailed configuration parameter tables or quotas in the summary.
https://learn.microsoft.com/en-us/azure/ai-foundry/agents/faq?view=foundry-classic,FAQ,Foundry Agent Service frequently asked questions - Microsoft Foundry,,"Get answers to common questions about Foundry Agent Service, including setup options, data handling, pricing, and networking.","Find answers to common questions about Foundry Agent Service. If you can't find answers to your questions in this article and you still need help, seeFoundry Tools support and help options. Foundry Agent Service is part of Foundry Tools. For getting started, see:",2026-01-23T23:20:00Z,faq,,0.3,False,"FAQ page; summary mentions setup, data handling, pricing, networking but not specific numeric limits, config tables, or error codes."
https://learn.microsoft.com/en-us/azure/ai-foundry/agents/how-to/connected-agents?view=foundry-classic,Connected agents,How to use connected agents - Microsoft Foundry,Design multi-agent systems using connected agents,Learn how to create multi-agentic systems using connected agents in the Foundry Agent Service.,"Note This document refers to theMicrosoft Foundry (classic)portal. 🔍View the Microsoft Foundry (new) documentationto learn about the new portal. Note This tool is only available in2025-05-15-previewAPI. We highly recommend you to migrate to use the2025-11-15-previewAPI versionworkflowsfor multi-agent orchestration. Connected agents in Foundry Agent Service let you break down complex tasks into coordinated, specialized roles—without the need for a custom orchestrator or hand-coded routing logic. ",2025-12-19T18:16:00.000Z,how-to,architecture-patterns,0.6,True,"Explains connected agents for multi-agent orchestration; likely includes product-specific orchestration patterns, API-version constraints, and guidance on when to use connected agents vs workflows."
https://learn.microsoft.com/en-us/azure/ai-foundry/agents/how-to/metrics?view=foundry-classic,Service monitoring,Monitor Foundry Agent Service with Azure Monitor - Microsoft Foundry,Configure Azure Monitor metrics for Foundry Agent Service,"Learn how to use Azure Monitor to view, analyze, and alert on platform metrics for Foundry Agent Service, including Log Analytics export and KQL queries.","Note This document refers to theMicrosoft Foundry (classic)portal. 🔄Switch to the Microsoft Foundry (new) documentationif you're using the new portal. Note This document refers to theMicrosoft Foundry (new)portal. This article describes: Note If you're already familiar with this service and/or Azure Monitor and just want to know how to analyze monitoring data, see theAnalyzesection near the end of this article. When you have critical applications and business processes that rely on Azure resourc",2026-01-23T23:20:00.000Z,concept-article,configuration,0.65,True,"Monitoring article for a specific service; Azure Monitor docs typically include metric names, dimensions, and log table/schema details that are product-specific configuration knowledge."
https://learn.microsoft.com/en-us/azure/ai-foundry/agents/how-to/tools-classic/azure-ai-search-samples?view=foundry-classic,How to use Azure AI Search,How to use Azure AI Search in Foundry Agent Service - Microsoft Foundry,Use Azure AI Search index with Foundry agents,Learn how to ground Azure AI Agents with content indexed in Azure AI Search.,Note This document refers to the classic version of the agents API. 🔍View the new Azure AI Search tool documentation. This article explains how to use an existing search index with theAzure AI Searchtool.,2025-12-15T18:15:00.000Z,how-to,integrations,0.65,True,"Explains using an existing search index with the Azure AI Search tool; likely includes request patterns and tool-specific parameters for grounding, which are integration details beyond generic SDK usage."
https://learn.microsoft.com/en-us/azure/ai-foundry/agents/how-to/tools-classic/azure-ai-search?view=foundry-classic,Overview,How to use an existing AI Search index with the Azure AI Search tool - Microsoft Foundry,Configure Azure AI Search tool for Foundry agents,Learn how to use Agents Azure AI Search tool.,"Note This document refers to the classic version of the agents API. 🔍View the new Azure AI Search tool documentation. TheAzure AI Searchtool in Agent Service connects an agent to a new or existing search index. You can use this tool to retrieve and summarize your indexed documents, grounding the agent's responses in your proprietary content. This article describes how to set up the Azure AI Search tool, including creating a project connection and adding the tool to your agent.",2025-12-15T18:15:00.000Z,how-to,integrations,0.7,True,"How-to for connecting an agent to an Azure AI Search index, including creating a project connection and adding the tool; such integration guides typically include tool-specific configuration parameters and settings unique to this product."
https://learn.microsoft.com/en-us/azure/ai-foundry/agents/how-to/tools-classic/azure-functions-samples?view=foundry-classic,How to use Azure Functions with queues,How to use Azure Functions with Azure Storage Queues - Microsoft Foundry,Connect Foundry agents to Azure Functions via Storage Queues,Learn how to use Azure Functions with Azure Storage Queues to extend Azure AI Agents with custom tools.,"Note This document refers to theMicrosoft Foundry (classic)portal. 🔍View the Microsoft Foundry (new) documentationto learn about the new portal. This article shows how to use a queue-based integrated tool approach to enable Microsoft Foundry agents to access code deployed to Azure Functions. In this approach, agents access tool code asynchronously in Azure Functions by means of separate input and output message queues in Azure Queue storage. Foundry agents connect directly to the input queue mon",2025-12-15T18:15:00.000Z,how-to,integrations,0.7,True,Shows a queue-based integrated tool approach using Azure Functions and Azure Storage Queues; this is a concrete integration pattern with product-specific configuration and message flow details.
