url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason
https://learn.microsoft.com/en-us/azure/cost-management-billing/benefits/credits/manage-azure-credits,Manage a Microsoft Azure credit resource,Manage a Microsoft Azure credit resource under a subscription - Microsoft Cost Management,,"Learn how to manage your Azure credit resource, including moving it across resource groups or subscriptions.","When you accept Microsoft Azure credit under a Customer Agreement, the credit is assigned to asubscriptionand resource group. The associated resource holds metadata such as status, credit amount, currency, start date, and end date. This information is accessible in the Azure portal. Note This article applies to Azure Credit Offer, Azure Prepayment, End Customer Investment Funds (ECIF), and Support credits accepted afterAugust 2025, credits accepted earlier are not listed as resources under a sub",2026-02-02T23:12:00.000Z,how-to,,0.3,False,"Describes managing Azure credit resources and metadata fields but does not expose concrete limits, configuration tables, or security/role specifics beyond generic concepts."
https://learn.microsoft.com/en-us/azure/cost-management-billing/benefits/credits/mca-check-azure-credits-balance,Track credits for Microsoft Customer Agreement,Track Azure credit balance for a Microsoft Customer Agreement - Microsoft Cost Management,Check Azure credit balance and required roles,Learn how to check the Azure credit balance for a Microsoft Customer Agreement.,"You can check the Azure credit balance for your billing account for a Microsoft Customer Agreement in the Azure portal or through REST APIs. In the billing account for a Microsoft Customer Agreement, credits are assigned to a billing profile. Each billing profile has its own credits that are automatically applied to the charges on its invoice. You must have an owner, contributor, reader, or invoice manager role on the billing profile or owner, contributor, or reader role on the billing account t",2026-02-02T23:12:00.000Z,how-to,security,0.65,True,"Describes how to check Azure credit balance and explicitly lists required Azure billing roles (owner, contributor, reader, invoice manager) and their scopes, which are product-specific RBAC details."
https://learn.microsoft.com/en-us/azure/cost-management-billing/benefits/discounts/manage-azure-discount,Manage a Microsoft discount resource,Manage a discount resource under a subscription - Microsoft Cost Management,,"Learn how to manage your discount resource, including moving it across resource groups or subscriptions.","Upon acceptance of a discount as part of a Microsoft Customer Agreement, the discount is allotted to a subscription and resource group. The resultant discount resource contains descriptive metadata including discount status, discount type, product family, discount percentage, start date, and end date. While the discount resource stores relevant metadata, it doesn't impact eligibility. Discounts are applicable to a billing account and apply automatically to eligible charges on any subscription wi",2026-02-02T23:12:00.000Z,how-to,,0.3,False,"Explains discount resources and their metadata conceptually; lacks numeric limits, configuration parameter tables, or detailed RBAC/security or troubleshooting content."
https://learn.microsoft.com/en-us/azure/cost-management-billing/benefits/macc/manage-consumption-commitment,Manage a Microsoft Azure Consumption Commitment,Manage a Microsoft Azure Consumption Commitment resource - Microsoft Cost Management,,"Learn how to manage your Microsoft Azure Consumption Commitment (MACC) resource, including moving it across resource groups or subscriptions.","When you accept a Microsoft Azure Consumption Commitment (MACC) in a Microsoft Customer Agreement, the MACC resource gets placed in a subscription and resource group. The resource contains the metadata related to the MACC. Including: status of the MACC, commitment amount, start date, end date, and System ID. You can view the metadata in the Azure portal.",2026-02-02T23:12:00.000Z,how-to,,0.2,False,"Describes MACC resource metadata fields at a conceptual level without detailed configuration options, limits, or security/role mappings."
https://learn.microsoft.com/en-us/azure/cost-management-billing/benefits/macc/track-consumption-commitment,Track your Microsoft Azure Consumption Commitment,Track your Microsoft Azure Consumption Commitment (MACC) - Microsoft Cost Management,,Learn how to track your Microsoft Azure Consumption Commitment (MACC) for a Microsoft Customer Agreement.,"A Microsoft Azure Consumption Commitment (MACC) is a contractual agreement in which your organization commits to a specified level of Azure spending over a defined period. If your organization has a MACC associated with a Microsoft Customer Agreement (MCA) or Enterprise Agreement (EA) billing account, you can track key details—including start and end dates, remaining balance, and eligible spend—through the Azure portal or REST APIs. MACC functionality in the Azure portal is available only to dir",2026-02-02T23:12:00.000Z,how-to,,0.3,False,"Covers what MACC is and that it can be tracked via portal or REST APIs, but summary shows no specific limits, configuration parameters, or decision matrices."
https://learn.microsoft.com/en-us/azure/cost-management-billing/benefits/overview,Overview,Billing benefits overview - Microsoft Cost Management,,Quick primer to learn how about the different types of billing benefits offered by Microsoft,"Billing benefits are a set of offers - such as discounts, credits, and cost-optimizing commitments that provide customers with financial advantages. These billing benefits can help customers reduce spend, plan capacity confidently, and align purchasing with business needs Azure models billing benefits asAzure Resource Manager (ARM) resources, enabling consistent lifecycle management across the Azure portal, APIs, and SDKs. For more information, see:What is a cloud subscription?",2026-02-02T23:12:00.000Z,how-to,,0.1,False,"High-level overview of billing benefits without specific limits, configuration parameters, decision matrices, or error codes."
https://learn.microsoft.com/en-us/azure/cost-management-billing/cost-management-billing-overview,What is Billing?,Overview of Billing - Microsoft Cost Management,,"You use Billing features to manage billing accounts, invoices, and purchased products. You also use the features to monitor and control Azure spending and to optimize Azure resource use.","Billing is where you can manage your accounts, invoices, and payments. Billing is available to anyone with access to a billing account or other billing scope, like billing profiles and invoice sections. The cloud finance team and organizational leaders are typically included. A few examples of what you can do in Billing include:",2025-06-27T08:00:00.000Z,overview,,0.1,False,"High-level overview of Billing capabilities; descriptive, not configuration-, limits-, or troubleshooting-focused."
https://learn.microsoft.com/en-us/azure/cost-management-billing/costs/allocate-costs,Split shared costs,Allocate Azure costs - Microsoft Cost Management,Create cost allocation rules in Azure Cost Management,"This article explains how create cost allocation rules to distribute costs of subscriptions, resource groups, or tags to others.","Large enterprises often centrally manage Azure services or resources. However, different internal departments or business units use them. Typically, the centrally managing team wants to reallocate the cost of the shared services back out to the internal departments or organizational business units who are actively using the services. This article helps you understand and use cost allocation in Cost Management. With cost allocation, you can reassign or distribute the costs of shared services. Cos",2025-06-27T08:00:00.000Z,how-to,configuration,0.7,True,"Describes how to create cost allocation rules to distribute costs across subscriptions, resource groups, or tags, involving product-specific rule configuration and behavior."
https://learn.microsoft.com/en-us/azure/cost-management-billing/costs/assign-access-acm-data,Assign access to cost management data,Assign access to Cost Management data - Microsoft Cost Management,Assign RBAC access to Azure Cost Management data,This article walks you through assigning permission to Cost Management data for various access scopes.,"For users with Azure Enterprise (EA) agreements, a combination of permissions granted in the Azure portal define a user's level of access to Cost Management data. For users with other Azure account types, defining a user's level of access to Cost Management data is simpler by using Azure role-based access control (RBAC). This article walks you through assigning access to Cost Management data. After the combination of permissions is assigned, the user views data in Cost Management based on their ",2025-06-26T08:00:00.000Z,how-to,security,0.85,True,"Details how to assign permissions to Cost Management data for EA and other account types, including specific combinations of Azure RBAC roles and scopes that control data visibility—product-specific security configuration."
https://learn.microsoft.com/en-us/azure/cost-management-billing/costs/export-cost-data-storage-account-sas-key,Export cost data with a Storage SAS key,Export cost data with an Azure Storage account SAS key - Microsoft Cost Management,Configure Cost Management exports using SAS keys,This article helps partners create a SAS key and configure Cost Management exports.,"The following information applies to Microsoft partners only. Often, partners don't have their own Azure subscriptions in the tenant associated with their own Microsoft Partner Agreement. Partners with a Microsoft Partner Agreement plan who are billing admins of their billing account can export and copy cost data into a storage account in a different tenant using a shared access service (SAS) key. In other words, a storage account with a SAS key allows the partner to use a storage account that's",2025-06-26T08:00:00.000Z,how-to,configuration,0.7,True,"Partner-focused article on exporting cost data across tenants with a storage account SAS key; likely includes specific SAS permissions, scope, and configuration parameters unique to Cost Management exports."
