url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/static-web-apps/add-api,Add an API,Add an API to Azure Static Web Apps with Azure Functions,,Get started with Azure Static Web Apps by adding a Serverless API to your static web app using Azure Functions.,You can add serverless APIs to Azure Static Web Apps powered by Azure Functions. This article demonstrates how to add and deploy an API to an Azure Static Web Apps site. Note The functions provided by default in Static Web Apps are pre-configured to provide secure API endpoints and only support HTTP-triggered functions. SeeAPI support with Azure Functionsfor information on how they differ from standalone Azure Functions apps.,2024-11-25T08:00:00.000Z,how-to,,0.4,False,"Primarily a getting-started tutorial for adding an API; does not clearly indicate detailed configuration tables, limits, or error mappings.",unchanged
https://learn.microsoft.com/en-us/azure/static-web-apps/add-authentication,2 - Add authentication,Add authentication to your static site in Azure Static Web Apps,Configure authentication for Azure Static Web Apps sites,Learn to add authentication to your static site with Azure Static Web Apps.,"This article is part two in a series that show you how to deploy your first site to Azure Static Web Apps. Previously, you created and deployed a static site with theweb frameworkof your choice. In this article, you add authentication to your site and run the site locally before deploying to the cloud.",2024-07-04T05:39:00.000Z,tutorial,security,0.6,True,"Authentication-focused article for Static Web Apps. These pages typically include provider-specific settings, callback URLs, and configuration parameters unique to the service, which are product-specific security configuration details.",unchanged
https://learn.microsoft.com/en-us/azure/static-web-apps/add-mongoose,Mongoose.js and Azure Cosmos DB,Access data in Azure Cosmos DB using Mongoose with Azure Static Web Apps,Use Mongoose with Azure Cosmos DB in Static Web Apps,Learn to access data in Azure Cosmos DB using Mongoose from an Azure Static Web Apps API function.,"Mongooseis the most popular ODM (Object Document Mapping) client for Node.js. Mongoose allows you to design a data structure and enforce validation, and provides all the tooling necessary to interact with databases that support the MongoDB API.Cosmos DBsupports the necessary MongoDB APIs and is available as a back-end server option on Azure.",2022-10-13T22:04:00.000Z,tutorial,integrations,0.7,True,"Shows a concrete coding pattern using Mongoose against Cosmos DB from a Static Web Apps API function, including product-specific connection and usage details beyond generic Mongoose knowledge.",unchanged
https://learn.microsoft.com/en-us/azure/static-web-apps/apex-domain-azure-dns,Set up the apex domain,Set up an apex domain with Azure DNS in Azure Static Web Apps,Configure apex domains with Azure DNS for Static Web Apps,Configure the root domain with Azure DNS in Azure Static Web Apps,"Domain names without a subdomain are known as apex or root domains. For example, the domainwww.example.comis thewwwsubdomain joined with theexample.comapex domain. This guide demonstrates how to useTXTandALIASrecords to configure your apex domain in Azure DNS. The following procedure requires you to copy settings from an Azure DNS zone you create and your existing static web app. Consider opening the Azure portal in two different windows to make it easier to switch between the two services. Note",2025-01-28T23:09:00.000Z,how-to,configuration,0.7,True,"Details using TXT and ALIAS records for apex domains with Azure DNS. This involves specific DNS record types and values tied to Static Web Apps, which are configuration-level details.",unchanged
https://learn.microsoft.com/en-us/azure/static-web-apps/apex-domain-external,Set up the apex domain,Set up an apex domain in Azure Static Web Apps,Configure apex/root domains with external DNS for Static Web Apps,Configure the root domain in Azure Static Web Apps,"Domain names without a subdomain are known as apex or root domains. For example, the domainwww.example.comis thewwwsubdomain joined with theexample.comapex domain. Some domain registrars (like Google and GoDaddy) don't allow you to point the apex domain to an existing URL. If your registrar doesn't supportALIASorANAMErecords, or doesn't allowCNAMEflattening, consider the following options: Using anArecord directs your traffic to a single regional host of your static web app. When enabled, your s",2025-01-28T23:09:00.000Z,how-to,configuration,0.7,True,Discusses options when registrars don’t support ALIAS/ANAME/CNAME flattening and using A records to specific regional hosts. These are concrete configuration choices and values unique to Static Web Apps.,unchanged
https://learn.microsoft.com/en-us/azure/static-web-apps/apis-api-management,Azure API Management,API support in Azure Static Web Apps with Azure API Management,Integrate Azure API Management with Azure Static Web Apps,Learn how to use Azure API Management with Azure Static Web Apps,"Azure API Managementis a service that allows you to create a modern API gateway for existing back end services. When you link your Azure API Management service to your static web app, any requests to your static web app with a route that starts with/apiare proxied to the same route in the Azure API Management service. An Azure API Management service can be linked to multiple static web apps at the same time. An API Management product is created for each linked static web app. Any APIs added to t",2023-05-10T11:21:00.000Z,conceptual,integrations,0.7,True,"Describes linking API Management so /api routes are proxied, product creation per static web app, and multi-app linkage. This is a concrete integration pattern with routing behavior and service linkage specifics.",unchanged
https://learn.microsoft.com/en-us/azure/static-web-apps/apis-app-service,Azure App Service,API support in Azure Static Web Apps with Azure App Service,Integrate Azure App Service backends with Azure Static Web Apps,Learn how to use Azure App Service with Azure Static Web Apps,"Azure App Serviceis a managed platform for hosting web applications that execute code on servers. Azure App Service supports many runtimes and frameworks including Node.js, ASP.NET Core, PHP, Java, and Python. When you link your Azure App Service web app to your static web app, any requests to your static web app with a route that starts with/apiare proxied to the same route on the Azure App Service app. By default, when an App Service app is linked to a static web app, the App Service app only ",2023-05-10T11:21:00.000Z,conceptual,integrations,0.7,True,Explains linking App Service so /api routes proxy to the app and default access restrictions. These are product-specific integration behaviors and configuration patterns.,unchanged
https://learn.microsoft.com/en-us/azure/static-web-apps/apis-container-apps,Azure Container Apps,API support in Azure Static Web Apps with Azure Container Apps,Integrate Azure Container Apps with Azure Static Web Apps,Learn how to use Azure Container Apps with Azure Static Web Apps,"Azure Container Appsis a managed platform for hosting serverless containers and microservices. When you link your container app to your static web app, any requests to your static web app with a route that starts with/apiare proxied to the same route on the container app. By default, when a container app is linked to a static web app, the container app only accepts requests that are proxied through the linked static web app. A container app can be linked to a single static web app at a time. API",2023-05-10T11:21:00.000Z,conceptual,integrations,0.7,True,"Details linking Container Apps so /api routes proxy through Static Web Apps, default access restrictions, and one-to-one linkage constraints. These are specific integration semantics.",unchanged
https://learn.microsoft.com/en-us/azure/static-web-apps/apis-functions,Integration options,API support in Azure Static Web Apps with Azure Functions,Choose managed vs. bring-your-own Azure Functions for Static Web Apps,Learn how to use Azure Functions with Azure Static Web Apps.,"Front end web applications often callback end APIs for data and services. By default, Azure Static Web Apps provides built-in serverless API endpoints viaAzure Functions. Azure Functions APIs in Static Web Apps are available in two possible configurations depending on thehosting plan: Managed functions:  By default, the API of a static web app is an Azure Functions application managed and deployed by Azure Static Web Apps associated with some restrictions. Bring your own functions: Optionally, y",2024-11-11T23:02:00.000Z,conceptual,decision-making,0.65,True,"Describes two API configurations (managed vs. bring-your-own) with plan-based restrictions. This is guidance on selecting between options based on hosting plan and constraints, fitting decision-making.",unchanged
https://learn.microsoft.com/en-us/azure/static-web-apps/apis-overview,Overview,Overview of API support in Azure Static Web Apps,,Learn what API features Azure Static Web Apps supports,Front end web applications often call back end APIs for data and services. Azure Static Web Apps provides built-in serverless API endpoints via integration with Azure services. Key features of Azure Static Web Apps APIs include: Integrated securitywith direct access to userauthentication and role-based authorizationdata. Seamless routingthat makes the back-end/apiroute available to the front-end web app without requiring custom CORS rules.,2024-10-02T08:00:00.000Z,conceptual,,0.3,False,"Overview of API support and features (integrated security, routing) without detailed configuration parameters, error codes, or limits.",unchanged
https://learn.microsoft.com/en-us/azure/static-web-apps/application-settings,App settings,Configure application settings for Azure Static Web Apps,Manage backend application settings in Azure Static Web Apps,Learn how to configure application settings for Azure Static Web Apps.,"Application settings hold configuration values that may change, such as database connection strings. Adding application settings allows you to modify the configuration input to your app, without having to change application code. Application settings: The application settings described in this article only apply to the backend API of an Azure Static Web App. To configure environment variables required to build your frontend web application, seeBuild configuration.",2026-01-23T18:22:00.000Z,how-to,configuration,0.7,True,Covers application settings and environment variables for the backend API of Static Web Apps. These are configuration values with specific names and usage patterns unique to this service.,unchanged
