url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/virtual-machines/attach-os-disk,Create from an existing OS disk or VHD,Attach an existing OS disk to a VM - Azure Virtual Machines,Create new VM from existing specialized OS disk,Create a new Windows VM by attaching a specialized OS disk.,"Applies to:✔️ Windows VMs Create a new VM by attaching an existing OS disk to a new VM. This option is useful if you have a VM that isn't working correctly. You can delete the VM and then reuse the disk to create a new VM. Important You can also use the VHD as a source to create an Azure Compute Gallery image. For more information, seeCreate an image definition and image version. Customers are encouraged to use Azure Compute Gallery as all new features like ARM64, Trusted Launch, and Confidentia",2024-12-12T08:00:00.000Z,how-to,deployment,0.6,True,"Describes creating a VM by attaching an existing OS disk, including guidance about using Azure Compute Gallery and specialized vs generalized images; these are Azure-specific deployment patterns and constraints.",unchanged
https://learn.microsoft.com/en-us/azure/virtual-machines/auto-shutdown-vm,Auto-shutdown a VM,Auto-shutdown a VM - Azure Virtual Machines,Configure auto-shutdown schedules for Azure VMs,Learn how to set up auto-shutdown for VMs in Azure.,Learn how to automatically shut down virtual machines (VMs) in Azure. The auto-shutdown feature for Azure VMs can help reduce costs by shutting down the VMs during off hours when they aren't needed and automatically restarting them when they're needed again.,2026-01-13T23:03:00.000Z,how-to,configuration,0.65,True,"Details the Azure VM auto-shutdown feature, including how to configure schedules and possibly notifications; these are product-specific configuration options rather than generic VM behavior.",unchanged
https://learn.microsoft.com/en-us/azure/virtual-machines/automatic-extension-upgrade,Automatic extension upgrade,Automatic Extension Upgrade for VMs and scale sets in Azure - Azure Virtual Machines,Enable automatic extension upgrades for Azure VMs and scale sets,Learn how to enable the Automatic Extension Upgrade for your virtual machines and virtual machine scale sets in Azure.,"Automatic Extension Upgrade is available for Azure Virtual Machines and Azure Virtual Machine Scale Sets. When Automatic Extension Upgrade is enabled on a virtual machine (VM) or scale set, Azure automatically monitors for new extension versions, assess the quality & safety of the new version, approves the version for rollout and then automatically upgrades all VMs using the extension. Azure upgrades all the VMs gradually following Safe Deployment Practices (SDP) to prevent bad version from caus",2025-07-24T05:03:00.000Z,how-to,configuration,0.65,True,"Explains how to enable Automatic Extension Upgrade, including specific settings/flags on VMs and scale sets and how rollout is controlled. These are concrete configuration parameters and behaviors unique to Azure extensions.",unchanged
https://learn.microsoft.com/en-us/azure/virtual-machines/automatic-vm-guest-patching,Overview,Automatic Guest Patching for Azure Virtual Machines and Scale Sets - Azure Virtual Machines,Configure automatic guest patching for Azure VMs and scale sets,Learn how to automatically patch virtual machines in Azure.,"Applies to:✔️ Linux VMs ✔️ Windows VMs ✔️ Flexible scale sets Enabling automatic guest patching for your Azure Virtual Machines (VMs) and Scale Sets (VMSS) helps ease update management by safely and automatically patching virtual machines to maintain security compliance, while limiting the blast radius of VMs. Automatic VM guest patching has the following characteristics:",2025-12-01T23:05:00.000Z,how-to,configuration,0.65,True,"Automatic guest patching behavior and setup typically includes specific configuration options (maintenance windows, patch classifications, modes) and platform constraints, which are product-specific configuration details.",unchanged
https://learn.microsoft.com/en-us/azure/virtual-machines/availability,Overview,Availability options for Azure Virtual Machines - Azure Virtual Machines,,Learn about the availability options for running virtual machines in Azure,Applies to:✔️ Linux VMs ✔️ Windows VMs ✔️ Flexible scale sets ✔️ Uniform scale sets This article provides an overview of the availability options for Azure virtual machines (VMs).,2025-12-05T08:00:00.000Z,concept-article,,0.3,False,"High-level overview of availability options (availability sets, zones, scale sets) without detailed numeric thresholds, configuration tables, or decision matrices; mostly conceptual.",unchanged
https://learn.microsoft.com/en-us/azure/virtual-machines/availability-set-overview,Overview,Availability sets overview - Azure Virtual Machines,,Learn about availability sets for virtual machines in Azure.,Applies to:✔️ Linux VMs ✔️ Windows VMs This article provides an overview of the availability features of Azure virtual machines (VMs). Note We recommend that customers chooseVirtual Machine Scale Sets with flexible orchestration modefor high availability with the widest range of features. Virtual Machine Scale Sets: Availability sets offer only high availability.,2024-11-06T23:00:00.000Z,concept-article,,0.3,False,"High-level overview of availability sets; no detailed limits, configuration tables, or decision matrices with quantified trade-offs.",unchanged
https://learn.microsoft.com/en-us/azure/virtual-machines/azure-cli-change-subscription-marketplace,Change subscription for Marketplace VMs,Azure CLI sample for moving a Marketplace Azure VM to another subscription - Azure Virtual Machines,Move Azure Marketplace VM to another subscription via CLI,Azure CLI sample for moving an Azure Marketplace Virtual Machine to a different subscription.,"Applies to:✔️ Linux VMs ✔️ Windows VMs ✔️ Flexible scale sets To move a Marketplace virtual machine to a different subscription, you must move the OS disk to that subscription and then recreate the virtual machine. You don't need this procedure to move a data disk to a new subscription. Instead, create a new virtual machine in the new subscription from the Marketplace, then move and attach the data disk. This script demonstrates three operations:",2024-08-22T17:37:00.000Z,sample,deployment,0.65,True,"Provides a concrete Azure CLI script and sequence of product-specific operations (moving OS disk, recreating VM) required to move Marketplace VMs between subscriptions, which is non-obvious and tied to Azure platform behavior rather than generic VM knowledge.",unchanged
https://learn.microsoft.com/en-us/azure/virtual-machines/azure-compute-gallery,Overview,Overview of Azure Compute Gallery - Azure Virtual Machines,,Learn about Azure Compute Gallery and how to share Azure resources.,"Applies to:✔️ Linux VMs ✔️ Windows VMs ✔️ Flexible scale sets ✔️ Uniform scale sets Azure Compute Gallery helps you build structure and organization around your Azure resources, like images andapplications. Compute Gallery provides: With a gallery, you can share your resources with everyone. Or you can limit sharing to particular users, service principals, or Active Directory groups within your organization. You can replicate resources to multiple regions, for quicker scaling of your deployments",2025-08-06T22:02:00.000Z,overview,,0.3,False,"Azure Compute Gallery overview is high-level, describing capabilities and concepts without detailed configuration tables, numeric limits, or decision matrices.",unchanged
https://learn.microsoft.com/en-us/azure/virtual-machines/azure-hpc-vm-images,Azure HPC VM images,Azure HPC/AI VM images - Azure Virtual Machines,Select Azure HPC/AI VM images for H and N-series,HPC/AI VM images to be used on InfiniBand enabled H-series and GPU enabled N-series VMs.,Applies to:✔️ Linux VMs ✔️ Flexible scale sets ✔️ Uniform scale sets This article shares some information on HPC/AI VM images to be used to launch InfiniBand enabledH-seriesand GPU enabledN-seriesVMs. The Azure HPC team is offering optimized and pre-configured Linux VM images for HPC and AI workloads. These VM images are:,2025-09-04T17:09:00.000Z,concept-article,decision-making,0.6,True,"Lists optimized HPC/AI images for specific VM series; these pages usually include which image to choose for which workload or hardware, providing concrete selection guidance between images and series.",unchanged
https://learn.microsoft.com/en-us/azure/virtual-machines/azure-vm-watch,Overview,Azure VM Watch - Azure Virtual Machines,,Learn how to use the Azure VM watch service offering.,"VM watch is a standardized, lightweight, and adaptable service offering for virtual machines (VMs) and virtual machine scale sets. It runs health checks within a VM at configurable intervals and sends the results via a uniform data model to Azure. The AI operations (AIOps) engines for production monitoring in Azure consume these health results for regression detection and prevention. VM watch is delivered via theApplication Health VM extensionto provide ease of deployment and manageability for c",2025-04-29T18:18:00.000Z,concept-article,,0.4,False,"Overview of VM Watch and its purpose; summary suggests conceptual description of health checks and AIOps consumption without exposing concrete configuration parameters, limits, or troubleshooting mappings.",unchanged
