url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason
https://learn.microsoft.com/en-us/azure/migrate/add-copilot-code-insights?view=migrate,Enhance web app assessment by adding code scan report,Enhancing Web App Assessment With Code Scan Reports for Azure Migration - Azure Migrate,Integrate GitHub Copilot code scans into Azure Migrate web app assessments,Learn how to install AppCat and run the quickstart to assess and migrate .NET and Java applications using Azure Migrate. Step-by-step guide included.,"This article describes how to enhance web app assessments by adding code scan insights using GitHub Copilot assessment when modernizing applications for Azure Kubernetes Service (AKS) or Azure App Service. Adding code insights helps you better assess migration readiness and get recommendations for migration strategies based on the code changes identified during the scan. In this article, you’ll learn how to: You can add code insights to web app assessment using either of the following two method",2025-11-06T20:01:00.000Z,how-to,integrations,0.65,True,"Describes adding code scan insights via GitHub Copilot to Azure Migrate web app assessments. This integration is product-specific and likely includes concrete configuration steps, parameters, and patterns unique to this integration, fitting the integrations & coding patterns category."
https://learn.microsoft.com/en-us/azure/migrate/add-server-credentials?view=migrate,Provide server credentials,"Provide Server Credentials to Discover Software Inventory, Dependencies, Web apps, and SQL Server Instances and Databases - Azure Migrate",Configure server credentials on Azure Migrate appliance,Learn how to provide server credentials on appliance configuration manager.,"Follow this article to learn how to add multiple server credentials on the appliance configuration manager to perform software inventory (discover installed applications), agentless dependency analysis, and discover web apps, SQL Server instances, and databases. TheAzure Migrate applianceis a lightweight appliance used by Azure Migrate: Discovery and assessment to discover on-premises servers and send server configuration and performance metadata to Azure. The appliance can also be used to perfo",2025-09-19T08:00:00.000Z,how-to,configuration,0.7,True,Details how to add multiple server and guest credentials for discovery and analysis; includes product-specific configuration fields and behaviors.
https://learn.microsoft.com/en-us/azure/migrate/appcat/?view=migrate,Enable application and code assessment,Azure Migrate application and code assessment,,Learn about Azure Migrate application and code assessment.,Tools to assess application binaries and source code for cloud readiness.,2025-06-04T22:03:00Z,landing-page,,0.3,False,"Described as an overview of tools for application and code assessment; likely conceptual without detailed limits, configs, or troubleshooting mappings."
https://learn.microsoft.com/en-us/azure/migrate/assessment-prerequisites?view=migrate,Prerequisites,Assessment Prerequisites - Azure Migrate,Meet prerequisites and configuration needs for Azure Migrate assessments,Lists the prerequisites to perform assessments in Azure Migrate,"Azure Migrate assessments identifies the readiness and right-sized Azure targets using the configuration and performance data collected from the source workloads. The quality of assessments depends on the quality of the data available for assessments. Thus, to get high quality assessments ensure you have all the prerequisites fulfilled. Before creating the assessments, ensure the following:",2025-09-30T22:16:00.000Z,concept-article,configuration,0.6,True,"Prerequisites for assessments typically include specific configuration requirements (data collection duration, connectivity, agent settings) that are product-specific and operationally critical."
https://learn.microsoft.com/en-us/azure/migrate/assessment-properties?view=migrate,Customize assessment settings,Assessment Properties - Azure Migrate,Configure general assessment properties in Azure Migrate,Describes the components of an assessment in Azure Migrate.,This article explains the assessment properties on theGeneraltab that you can use when creating an assessment. These general properties apply to all workloads in an application or for cross-workload assessments. They also apply to individual workload assessments.,2025-09-30T22:16:00.000Z,concept-article,configuration,0.75,True,Describes specific assessment properties on the General tab; these are configuration options with defined meanings and allowed values that control assessment behavior.
https://learn.microsoft.com/en-us/azure/migrate/assessment-report?view=migrate,Review assessment report,Overview of Azure Migrate Assessment Report - Azure Migrate,Use Azure Migrate assessment reports for readiness and cost decisions,"Learn about assessment report, Azure readiness, and recommendations.","Each assessment provides four key outputs: Azure readiness, right sized target recommendations, cost details, and migration guidance.",2025-10-29T22:11:00.000Z,concept-article,decision-making,0.65,True,"Describes Azure readiness, right-sized target recommendations, cost details, and migration guidance; these outputs directly support migration decision-making with product-specific logic."
https://learn.microsoft.com/en-us/azure/migrate/assessment-rules-for-postgresql?view=migrate,Assessment rules for PostgreSQL,PostgreSQL Assessment Rules to Detect Blockers and Compatibility Issues - Azure Migrate,Use PostgreSQL assessment rules to detect migration blockers,"Helps detect migration blockers and compatibility issues when moving PostgreSQL databases to Azure Database for PostgreSQL Flexible Server, ensuring a smooth and successful cloud transition.","The assessment rules help identify compatibility issues and migration blockers when you move PostgreSQL instances to Azure Database for PostgreSQL flexible server. You can evaluate the source environment for resource limits, feature support, security settings, and configuration gaps. This evaluation categorizes the findings as Issues (blockers you must fix) or Warnings (items you should address), and recommend changes needed for the database, application, and architecture to ensure a successful ",2025-09-19T08:00:00.000Z,concept-article,troubleshooting,0.7,True,"Assessment rules for PostgreSQL blockers/compatibility issues; maps specific findings to issues/warnings and recommended fixes, akin to symptom→cause→resolution guidance."
https://learn.microsoft.com/en-us/azure/migrate/assessments-overview-migrate-to-azure-db-mysql?view=migrate,Assessment overview,Overview of Assessments for Migration to Azure Database for MySQL (preview) - Azure Migrate,,Learn how to assess your on-premises MySQL database instances for migration to Azure Database for MySQL using the Azure Migrate Discovery and Assessment tool. This article provides an overview of the ,"This article provides an overview of assessments for migrating on-premises MySQL database instances from a VMware, Microsoft Hyper-V, and Physical environment to Azure Database for MySQL using theAzure Migrate: Discovery and assessment tool.",2025-10-29T22:11:00.000Z,concept-article,,0.2,False,"Overview of MySQL assessments; explicitly an overview of process and types, not detailed limits, configs, or troubleshooting content."
https://learn.microsoft.com/en-us/azure/migrate/azure-monitor-agent-migration?view=migrate,Migrate to Azure Monitor agent,Migrate to Azure Monitor Agent from Log Analytics agent - Azure Migrate,Migrate Azure Migrate dependency analysis to Azure Monitor Agent,Procedure to migrate to Azure Monitor Agent from MMA,"Dependency analysis helps you to identify and understand dependencies across servers that you want to assess and migrate to Azure. We currently perform agent-based dependency analysis by downloading theMMA agent and associating a Log Analytics workspacewith the Azure Migrate project. Azure Monitor Agent (AMA)replaces the Log Analytics agent, also known as Microsoft Monitor Agent (MMA) and OMS, for Windows and Linux machines, in Azure and non-Azure environments, on-premises, and other clouds. Thi",2025-04-23T05:33:00.000Z,how-to,configuration,0.65,True,"Describes moving from MMA to AMA for dependency analysis; this usually includes workspace, data collection, and agent configuration parameters specific to Azure Migrate and Azure Monitor."
https://learn.microsoft.com/en-us/azure/migrate/best-practices-least-privileged-account?view=migrate,Credentials:Security best practices,Set Up Least Privileged Accounts - Azure Migrate,Configure least-privilege VMware roles for Azure Migrate,Learn how to configure the Azure Migrate appliance with least privileged access by setting up read-only VMware roles with guest operations and scoped permissions.,"The Azure Migrate appliance is a lightweight tool that discovers on-premises servers and sends their configuration and performance data to Azure. It also performs software inventory, performs agentless dependency analysis, and detects workloads like web apps and instances of SQL Server or MySQL Server. To use these features, you add server and guest credentials in the appliance configuration manager. Following the principle of least privilege helps keep the setup secure and efficient.",2025-09-04T08:00:00.000Z,concept-article,security,0.85,True,"Focuses on least-privileged access for the appliance, including read-only VMware roles with guest operations and scoped permissions—product-specific security configuration."
