url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/data-explorer/add-cluster-connection,Add a cluster connection,Add a cluster connection in the Azure Data Explorer web UI - Azure Data Explorer,Configure Azure Data Explorer web UI cluster connections across accounts and directories,Learn how to add cluster connections for multiple user accounts or Microsoft Entra directories in the Azure Data Explorer web UI.,"This article explains how to add a cluster connection in theAzure Data Explorer web UI. The Azure Data Explorer web UI allows you to seamlessly manage clusters from various user accounts or Microsoft Entra directories. Follow the optional steps in this article to set up connections with alternative credentials. Once connected, you can switch between clusters associated with different credentials within a unified interface, without a need to repeatedly sign in and sign out or switch directories.",2025-01-21T18:08:00.000Z,reference,security,0.62,True,Adding cluster connections with alternative credentials and multiple Entra directories implies specific authentication/authorization flows and possibly scope/role details unique to ADX web UI.,unchanged
https://learn.microsoft.com/en-us/azure/data-explorer/add-cluster-principal,Add cluster principal,Add cluster principals for Azure Data Explorer - Azure Data Explorer,Add Azure Data Explorer cluster principals via SDKs,"In this article, you learn how to add cluster principals for Azure Data Explorer.","Azure Data Explorer is a fast and highly scalable data exploration service for log and telemetry data. In this article, you'll learn how to add cluster principals for Azure Data Explorer by using C#, Python, or an Azure Resource Manager (ARM) template. For code samples based on previous SDK versions, see thearchived article.",2023-10-13T11:04:00.000Z,how-to,integrations,0.66,True,"Shows how to add cluster principals using C#, Python, and ARM templates, relying on ADX-specific management APIs and parameters. This is a coding/integration pattern with concrete API usage.",unchanged
https://learn.microsoft.com/en-us/azure/data-explorer/add-database-principal,Add database principal,Add database principals for Azure Data Explorer - Azure Data Explorer,Add Azure Data Explorer database principals via SDKs,"In this article, you learn how to add database principals for Azure Data Explorer.","Azure Data Explorer is a fast and highly scalable data exploration service for log and telemetry data. In this article, you'll learn how to add database principals for Azure Data Explorer by using C#, Python, or an Azure Resource Manager (ARM) template.",2023-10-13T11:04:00.000Z,how-to,integrations,0.66,True,"Shows how to add database principals using C#, Python, and ARM templates, relying on ADX-specific APIs and parameters. This is an integration/coding pattern for managing security objects.",unchanged
https://learn.microsoft.com/en-us/azure/data-explorer/add-query-visualization,Add a query visualization,Add a query visualization in the web UI - Azure Data Explorer,,Learn how to add a query visualization in the Azure Data Explorer web UI.,"In this article, you'll learn how to create and customize visuals from query results, using the UI like that found in Azure Data Explorer Dashboards. These visuals can be further manipulated, and can be pinned in adashboard. The addition or modification of these visuals doesn't require rerunning the query, which can be especially useful for heavy queries. For a full list of available visuals, seeVisualization. For visuals that are only available in the web UI or dashboards, seeDashboard-specific",2023-10-13T11:04:00.000Z,how-to,,0.25,False,Creating visualizations in the web UI is mostly UI-driven; summary doesn’t indicate detailed config tables or product-specific limits.,unchanged
https://learn.microsoft.com/en-us/azure/data-explorer/apache-log4j2-connector,Apache Log4J 2,Ingest data in Azure Data Explorer using the Apache log4J 2 connector - Azure Data Explorer,Use Apache Log4J 2 sink to send logs to Data Explorer,Learn how to use the Apache log4J 2 connector in Azure Data Explorer.,"Log4J is a popular logging framework for Java applications maintained by the Apache Foundation. Log4J allows developers to control which log statements are output with arbitrary granularity based on the logger's name, logger level, and message pattern.Apache Log4J 2is an upgrade to Log4J, with significant improvements over the preceding Log4j 1.x. Log4J 2 provides many of the improvements available in Logback, while fixing some inherent problems in Logback's architecture. The Apache log4J 2 sink",2024-02-18T12:04:00.000Z,how-to,integrations,0.8,True,"Log4J 2 sink connector; such pages define appender/target configuration, property names, and connection parameters specific to Azure Data Explorer.",unchanged
https://learn.microsoft.com/en-us/azure/data-explorer/auto-stop-clusters,Automatic stop of inactive clusters,Automatic stop of inactive clusters in Azure Data Explorer - Azure Data Explorer,Use automatic stop for inactive ADX clusters,"Learn when your cluster is due to stop running using the Automatic stop feature, and how to enable/disable the Automatic stop.",Azure Data Explorer clusters that areinactivefor a specified time interval stop automatically. Inactivity means clusters with no data ingestion or queries in the past 5 days. The interval is fixed at 5 days and can't be changed. Cluster behavior doesn't resume automatically. Restart the cluster manually. Note The following cluster types aren't stopped automatically:,2026-01-08T12:04:00.000Z,how-to,limits-quotas,0.86,True,"Defines an exact inactivity interval (no ingestion or queries for 5 days) and states it is fixed and not configurable, plus which cluster types are exempt. This is a concrete time-based limit/behavior the model would not reliably know.",unchanged
https://learn.microsoft.com/en-us/azure/data-explorer/automated-deploy-overview,Automated provisioning,Automated provisioning in Azure Data Explorer - Azure Data Explorer,Automate provisioning of Azure Data Explorer environments,This article provides an overview of the different mechanisms for automating the provisioning of Azure Data Explorer environments.,"Automated provisioningis a process for quickly deploying and configuring the resources you need to run your Azure Data Explorer cluster. It's a critical part of a DevOps or DataOps workflow. The provisioning process doesn't require you to manually configure the cluster, doesn't require human intervention, and is easy to set up. You might use automated provisioning to deploy a preconfigured cluster with data, as part of a continuous integration and continuous delivery (CI/CD) pipeline. Some of th",2023-06-19T17:02:00.000Z,how-to,deployment,0.6,True,"Overview of automated provisioning mechanisms for Azure Data Explorer in CI/CD contexts; these pages usually describe supported deployment methods and constraints for different environments, aligning with deployment-focused expert guidance.",unchanged
https://learn.microsoft.com/en-us/azure/data-explorer/azure-advisor,Use Advisor recommendations to optimize your cluster,Use Azure Advisor recommendations to optimize your Azure Data Explorer cluster - Azure Data Explorer,Apply Azure Advisor recommendations to optimize ADX clusters,This article describes Azure Advisor recommendations used to optimize your Azure Data Explorer cluster,"Azure Advisor analyzes Azure Data Explorer cluster configurations and usage telemetry, and offers personalized, actionable recommendations to help you optimize your cluster.",2026-01-08T12:04:00.000Z,how-to,best-practices,0.65,True,"Advisor recommendations for ADX cluster optimization are actionable, product-specific guidance that go beyond generic tuning advice.",unchanged
https://learn.microsoft.com/en-us/azure/data-explorer/azure-data-explorer-dashboard-share,Share dashboards,Share Azure Data Explorer dashboards - Azure Data Explorer,Configure permissions to securely share ADX dashboards,Learn how to share Azure Data Explorer dashboards,"A dashboard is a collection of tiles, optionally organized in pages, where each tile has an underlying query and a visual representation. For more information on creating dashboards, seeVisualize data with Azure Data Explorer dashboards. In this document, you'll learn how to grant permissions and manage permissions to share a dashboard with other users. Important To access the dashboard, a dashboard viewer needs the following: In general, dashboards are shared in two steps: Grant permissions, an",2025-08-28T11:06:00.000Z,how-to,security,0.7,True,"Covers how to grant and manage permissions for dashboard sharing; likely includes specific Azure roles/permissions, which are product-specific security configuration details.",unchanged
https://learn.microsoft.com/en-us/azure/data-explorer/azure-data-explorer-dashboards,Use dashboards,Visualize data with the Azure Data Explorer dashboard - Azure Data Explorer,,Learn how to visualize data with the Azure Data Explorer dashboard,"Azure Data Explorer is a fast and highly scalable data exploration service for log and telemetry data. Explore your data from end-to-end in the Azure Data Explorer web application, starting withdata ingestion, runningqueries, and ultimately building dashboards. A dashboard is a collection of tiles, optionally organized in pages, where each tile has an underlying query and a visual representation. Using the web UI, you can natively export Kusto Query Language (KQL) queries to a dashboard as visua",2025-08-28T11:06:00.000Z,how-to,,0.4,False,"Describes building dashboards in the web UI; mostly feature and usage overview, not detailed configuration matrices, limits, or troubleshooting mappings.",unchanged
