url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason
https://learn.microsoft.com/en-us/azure/update-manager/arc-enabled-vm-extensions,July 2025,Azure Arc VM Extensions Update – July 2025 Release Notes & Fixes,,"Explore the July 2025 release notes for Azure Arc-enabled VM extensions, including new Linux OS support, bug fixes, and known issues for Windows and Linux environments.","For Azure Arc-enabled machines, two extensions are installed. For more information, seeHow Update Manager works The Azure Arc-enabled VM extensions receive improvements on an ongoing basis. This article provides you with the following information to help you stay up to date with the latest developments:",2025-07-10T05:09:00.000Z,overview,,0.4,False,"July 2025 release notes for Arc-enabled VM extensions; similar to other release notes, focused on changes and issues rather than structured expert-knowledge patterns."
https://learn.microsoft.com/en-us/azure/update-manager/assessment-options,Assessment options,Assessment options in Update Manager.,,The article describes the assessment options available in Update Manager.,Applies to:✔️ Windows VMs ✔️ Linux VMs ✔️ On-premises environment ✔️ Azure Arc-enabled servers. This article provides an overview of the assessment options available by Update Manager. Update Manager provides you with the flexibility to assess the status of available updates and manage the process of installing required updates for your machines.,2024-12-06T18:02:00.000Z,overview,,0.2,False,"High-level overview of assessment options; no evidence of specific configuration parameters, limits, or troubleshooting mappings."
https://learn.microsoft.com/en-us/azure/update-manager/configure-wu-agent,Configure Windows Update client,Configure Windows Update Settings in Azure Update Manager,Configure Windows Update client for Azure Update Manager,This article describes how to configure Windows Update settings to work with Azure Update Manager.,"Azure Update Manager uses the native Windows Update client to manage patching. However, the behavior differs depending on whether the machine is an Azure virtual machine (VM) or an Azure Arc-enabled server. This guide outlines how to configure update settings, what Update Manager modifies, and how to avoid conflicts with Group Policy.",2025-11-18T18:43:00.000Z,how-to,configuration,0.8,True,"Explains exact Windows Update settings, what Update Manager modifies, and how to avoid Group Policy conflicts; likely includes specific policy names and parameter values, which are configuration details."
https://learn.microsoft.com/en-us/azure/update-manager/cross-subscription-patching,Cross-subscription patching,Cross Subscription Patching in Azure Update Manager,,"Discover the overview, key benefits, and limitations of cross-subscription patching in Azure Update Manager. Centralize patch management for Windows, Linux, and hybrid environments across multiple Azu","Applies to:✔️ Windows VMs ✔️ Linux VMs ✔️ On-premises environment ✔️ Azure Arc-enabled servers. Azure Update Management offers a straightforward and efficient solution for managing asset patching within a subscription. The capability is beneficial for organizations with resources distributed across various subscriptions, ensuring consistent and streamlined patch management. However, its capabilities go well beyond this. With proper configuration, you can manage and apply patches across multiple ",2025-02-20T18:03:00.000Z,concept-article,,0.3,False,"Overview of cross-subscription patching benefits and limitations; summary suggests conceptual content without detailed limits, roles, or config tables."
https://learn.microsoft.com/en-us/azure/update-manager/deploy-manage-updates-using-updates-view,Deploy and manage updates using Updates view,Deploy and manage updates using Updates view,,This article describes how to view the updates pending for your environment and then deploy and manage them using the Updates option in Azure Update Manager,"Applies to:✔️ Windows VMs ✔️ Linux VMs ✔️ On-premises environment ✔️ Azure Arc-enabled servers. This article describes how you can manage machines from an updates standpoint. The Updates blade allows you to manage machines from an updates viewpoint. It implies that you can see how many Linux and Windows updates are pending and the update applies to which machines. It also enables you to act on each of the pending updates. To view the latest pending updates on each of the machines, we recommend t",2024-06-21T08:00:00.000Z,how-to,,0.3,False,"Appears to be a UI-driven how-to for viewing and deploying updates from the Updates blade; summary does not indicate detailed configuration tables, limits, or error mappings, so it is more procedural than expert reference content."
https://learn.microsoft.com/en-us/azure/update-manager/deploy-updates,Deploy updates and track results,Deploy updates and track results in Azure Update Manager,,This article details how to use Azure Update Manager in the Azure portal to deploy updates and view results for supported machines.,Applies to:✔️ Windows VMs ✔️ Linux VMs ✔️ On-premises environment ✔️ Azure Arc-enabled servers. This article describes how to perform an on-demand update on a single virtual machine (VM) or multiple VMs by using Azure Update Manager. See the following sections for more information:,2025-03-07T08:00:00.000Z,how-to,,0.4,False,"How-to for on-demand updates via portal; summary does not show detailed config tables, limits, or error-code-based troubleshooting."
https://learn.microsoft.com/en-us/azure/update-manager/dynamic-scope-overview,Overview,Overview of Dynamic Scoping,,This article provides information about the purpose and advantages of dynamic scoping.,Applies to:✔️ Windows VMs ✔️ Linux VMs ✔️ On-premises environment ✔️ Azure VMs ✔️ Azure Arc-enabled servers. Dynamic scoping is a capability of scheduled patching in Azure Update Manager. You can use it to: The criteria are evaluated at the scheduled run time to produce a final list of machines for scheduled patching. The machines evaluated during the create or edit phase might differ from the group at the scheduled run time.,2025-11-18T18:43:00.000Z,conceptual,,0.4,False,"Conceptual overview of dynamic scoping and its advantages; no clear indication of parameter tables, limits, or security/diagnostic specifics."
https://learn.microsoft.com/en-us/azure/update-manager/enable-cross-subscription-patching,Manage cross-subscription patching,Enable cross-subscription patching in Azure Update Manager,Enable secure cross-subscription patching with roles and CLI,"Learn how to enable cross-subscription patching in Azure using CLI or portal. Register resource providers, assign roles, and schedule updates with Update Manager.",Applies to:✔️ Windows VMs ✔️ Linux VMs ✔️ On-premises environment ✔️ Azure Arc-enabled servers. This article describes how to enable cross-subscription patching either through Azure CLI or Azure portal.,2025-12-18T12:10:00.000Z,how-to,security,0.7,True,"Covers registering resource providers and assigning roles for cross-subscription patching; likely lists specific RBAC roles and scopes, which are security configuration details."
https://learn.microsoft.com/en-us/azure/update-manager/extended-security-updates,Extended Security Updates,Extended Security Updates (ESU) for Windows Server with Azure Update Manager,Enroll and manage ESU for Windows Server via Update Manager,Information on enrolling and managing Extended Security Updates (ESU) for Windows Server 2012 and 2012 R2 using Azure Update Manager.,This article provides information on ESU on Azure VMs and Azure Arc machines.,2025-03-23T08:00:00.000Z,overview,configuration,0.7,True,"Explains how to enroll and manage Extended Security Updates for specific Windows Server versions, involving product-specific configuration steps and constraints."
https://learn.microsoft.com/en-us/azure/update-manager/guidance-migration-azure,Move Azure VMs from Microsoft Configuration Manager to Azure Update Manager,Patching Guidance Overview for Microsoft Configuration Manager to Azure,Map Configuration Manager patching to Azure Update Manager,"Patching guidance overview for Microsoft Configuration Manager to Azure. View on how to get started with Azure Update Manager, mapping capabilities of MCM software and FAQs.","Applies to:✔️ Windows VMs ✔️ Linux VMs ✔️ On-premises environment ✔️ Azure Arc-enabled servers. This article provides a guide to modernize management of servers for which you are currently using Microsoft Configuration Manager (MCM). If you use MCM as part of the System Center suite, the table below lists Azure services that match the capabilities of different System Center components. Note As part of your migration journey, we recommend the following options: Software updates management is a ke",2025-08-21T08:00:00.000Z,overview,comparing,0.65,True,"Described as mapping Microsoft Configuration Manager capabilities to Azure services with a table; this is a comparison of options/services with decision guidance, which is expert comparison content."
