url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason
https://learn.microsoft.com/en-us/azure/notification-hubs/android-sdk,Send push notifications to all registrations,Send push notifications to Android using Azure Notification Hubs and Firebase SDK version 1.0.0-preview1,Integrate Notification Hubs with Android FCM v1 SDK,"In this tutorial, you learn how to use Azure Notification Hubs and Google Firebase Cloud Messaging to send push notifications to Android devices (version 1.0.0-preview1).","This tutorial shows how to use Azure Notification Hubs and the updated version of the Firebase Cloud Messaging (FCM) SDK (version 1.0.0-preview1) to send push notifications to an Android application. In this tutorial, you create a blank Android app that receives push notifications using Firebase Cloud Messaging (FCM). Important As of June 2024, FCM legacy APIs are longer supported and are retired. To avoid any disruption in your push notification service, you mustmigrate to the FCM v1 protocolas",2025-05-01T08:00:00.000Z,tutorial,integrations,0.7,True,"Android + FCM v1 integration tutorial will contain SDK-specific initialization, configuration parameters, and payload formats unique to this integration."
https://learn.microsoft.com/en-us/azure/notification-hubs/browser-push,Send browser push notifications,Send browser (web push) notifications with Azure Notification Hubs,Implement browser web push with Azure Notification Hubs,Learn about support for browser push notifications in Azure Notification Hubs.,"This article describes how to send browser push notifications to single users using Azure Notification Hubs. At a high level, the process is: Set credentials: Create registrations and installations. Send push notifications:",2025-05-01T08:00:00.000Z,article,integrations,0.65,True,"Browser push requires specific configuration and payload patterns for web push protocols integrated with Notification Hubs, including endpoint and credential handling that are product-specific coding patterns."
https://learn.microsoft.com/en-us/azure/notification-hubs/change-pricing-tier,Change pricing tier,Change pricing tier of Notification Hubs namespace,Change Azure Notification Hubs pricing tier safely,Learn how to change the pricing tier of an Azure Notification Hubs namespace.,"Notification Hubs is offered in three tiers:free,basic, andstandard. This article shows you how to change the pricing tier for an Azure Notification Hubs namespace.",2020-08-04T17:01:00.000Z,article,deployment,0.65,True,"Pricing-tier change guidance often includes constraints (what can/can’t be changed, effects on features) that are product-specific deployment/operations details, even if not numeric limits."
https://learn.microsoft.com/en-us/azure/notification-hubs/configure-apple-push-notification-service,Configure Apple Push Notification Service settings,Configure Apple Push Notification Service in Azure Notification Hubs,Configure APNS credentials in Azure Notification Hubs,Learn how to configure an Azure notification hub with Apple Push Notification Service (APNS) settings.,This article shows you how to configure Apple Push Notification Service (APNS) settings for an Azure notification hub by using the Azure portal.,2020-06-23T11:10:00.000Z,article,configuration,0.8,True,"APNS setup requires specific configuration fields (certificates or tokens, key IDs, team IDs) in the portal for Notification Hubs, which are concrete configuration parameters and values."
https://learn.microsoft.com/en-us/azure/notification-hubs/configure-baidu-cloud-push,Configure Baidu Cloud Push,Configure Baidu Cloud Push in Azure Notification Hubs,Configure Baidu Cloud Push for Notification Hubs,Learn how to configure Baidu settings for an Azure notification hub.,This article shows you how to configure Baidu Cloud Push settings for an Azure notification hub by using the Azure portal. Important This tutorial is deprecated.,2020-03-23T23:19:00.000Z,article,configuration,0.7,True,"Baidu integration requires entering specific API keys and configuration fields in the hub, which are concrete configuration parameters despite the tutorial being deprecated."
https://learn.microsoft.com/en-us/azure/notification-hubs/configure-google-firebase-cloud-messaging,Configure Google Firebase Cloud Messaging settings,Configure Google Firebase Cloud Messaging in Azure Notification Hubs,Configure FCM settings for Azure Notification Hubs,Learn how to configure an Azure notification hub with Google Firebase Cloud Messaging settings.,"This article shows you how to configure Google Firebase Cloud Messaging (FCM) settings for an Azure notification hub using the Azure portal. Important As of June 2024, FCM legacy APIs will no longer be supported and will be retired. To avoid any disruption in your push notification service, you mustmigrate to the FCM v1 protocolas soon as possible.",2024-05-08T22:08:00.000Z,article,configuration,0.8,True,"FCM configuration involves specific portal fields (server keys, project IDs, v1 endpoint details) and migration notes from legacy APIs, which are detailed product configuration settings."
https://learn.microsoft.com/en-us/azure/notification-hubs/configure-microsoft-push-notification-service,Configure Microsoft Push Notification Service,Configure Microsoft Push Notification Service in Azure Notification Hubs,Configure MPNS settings in Azure Notification Hubs,Learn how to configure Microsoft Push Notification Service settings for an Azure notification hub.,Note Microsoft Push Notification Service (MPNS) has been deprecated and is no longer supported. This article shows you how to configure Microsoft Push Notification Service (MPNS) settings for an Azure notification hub by using the Azure portal.,2021-08-23T22:07:00.000Z,article,configuration,0.7,True,"Even though deprecated, MPNS configuration describes specific settings and parameters in the portal for Notification Hubs, which are product-specific configuration details."
https://learn.microsoft.com/en-us/azure/notification-hubs/configure-notification-hub-portal-pns-settings,Configure a notification hub,Set up push notifications in Azure Notification Hubs,Configure PNS credentials in Notification Hubs,Learn how to set up Azure Notification Hubs in the Azure portal by using platform notification system (PNS) settings.,"Azure Notification Hubs provides a push engine that's easy to use and that scales out. Use Notification Hubs to send notifications to any platform (iOS, Android, Windows) and from any back end (cloud or on-premises). For more information, seeWhat is Azure Notification Hubs?. In this quickstart, you use the platform notification system (PNS) settings in Notification Hubs to set up push notifications on multiple platforms. The quickstart shows you the steps to take when you use the Azure portal.Go",2025-05-02T17:17:00.000Z,quickstart,configuration,0.7,True,"PNS settings setup typically includes platform-specific configuration fields (keys, IDs, endpoints) and portal options unique to Notification Hubs."
https://learn.microsoft.com/en-us/azure/notification-hubs/configure-windows-push-notification-service,Configure Windows Push Notification Service,Configure Windows Push Notification Service in Azure Notification Hubs,Configure WNS for Azure Notification Hubs,Learn how to configure Windows Push Notification Service settings for an Azure notification hub.,This article shows how to configure Windows Notification Service (WNS) settings for an Azure notification hub by using the Azure portal.,2020-08-04T22:02:00.000Z,article,configuration,0.75,True,"WNS setup requires entering specific app SID/secret and related parameters in the hub configuration, which are concrete configuration options unique to this integration."
https://learn.microsoft.com/en-us/azure/notification-hubs/create-notification-hub-azure-cli,Create notification hub - Azure CLI,Quickstart - Create an Azure notification hub using the Azure CLI,,"In this tutorial, you learn how to create an Azure notification hub using the Azure CLI.","Azure Notification Hubs provide an easy-to-use and scaled-out push engine that allows you to send notifications to any platform (iOS, Android, Windows, Kindle, Baidu, etc.) from any backend (cloud or on-premises). For more information about the service, seeWhat is Azure Notification Hubs?. In this quickstart, you create a notification hub using the Azure CLI. The first section gives you steps to create a Notification Hubs namespace. The second section gives you steps to create a notification hub",2023-01-13T18:04:00.000Z,quickstart,,0.3,False,"CLI quickstart to create a hub; mostly basic commands, no detailed configuration matrices or limits."
