url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason
https://learn.microsoft.com/en-us/azure/migrate/add-copilot-code-insights?view=migrate,Enhance web app assessment by adding code scan report,Enhancing Web App Assessment With Code Scan Reports for Azure Migration - Azure Migrate,Integrate GitHub Copilot code scans with Azure Migrate,Learn how to install AppCat and run the quickstart to assess and migrate .NET and Java applications using Azure Migrate. Step-by-step guide included.,"This article describes how to enhance web app assessments by adding code scan insights using GitHub Copilot assessment when modernizing applications for Azure Kubernetes Service (AKS) or Azure App Service. Adding code insights helps you better assess migration readiness and get recommendations for migration strategies based on the code changes identified during the scan. In this article, you’ll learn how to: You can add code insights to web app assessment using either of the following two method",2025-10-23T00:00:00Z,how-to,integrations,0.6,True,Describes adding code scan insights from GitHub Copilot into Azure Migrate web app assessments; integration-focused with product-specific configuration steps and parameters for connecting services.
https://learn.microsoft.com/en-us/azure/migrate/add-server-credentials?view=migrate,Provide server credentials,"Provide Server Credentials to Discover Software Inventory, Dependencies, Web apps, and SQL Server Instances and Databases - Azure Migrate",Configure server credentials on Azure Migrate appliance,Learn how to provide server credentials on appliance configuration manager.,"Follow this article to learn how to add multiple server credentials on the appliance configuration manager to perform software inventory (discover installed applications), agentless dependency analysis, and discover web apps, SQL Server instances, and databases. TheAzure Migrate applianceis a lightweight appliance used by Azure Migrate: Discovery and assessment to discover on-premises servers and send server configuration and performance metadata to Azure. The appliance can also be used to perfo",2025-09-19T00:00:00Z,how-to,configuration,0.7,True,"Describes adding multiple server and guest credentials for inventory and dependency analysis; likely includes specific credential types, scopes, and configuration fields unique to the appliance."
https://learn.microsoft.com/en-us/azure/migrate/appcat/?view=migrate,Enable application and code assessment,Azure Migrate application and code assessment,,Learn about Azure Migrate application and code assessment.,Tools to assess application binaries and source code for cloud readiness.,2023-11-15T00:00:00Z,landing-page,,0.3,False,"Appears to be a conceptual overview of application and code assessment tools without detailed limits, configs, or troubleshooting mappings."
https://learn.microsoft.com/en-us/azure/migrate/assessment-prerequisites?view=migrate,Prerequisites,Assessment Prerequisites - Azure Migrate,Meet Azure Migrate assessment prerequisites for accurate results,Lists the prerequisites to perform assessments in Azure Migrate,"Azure Migrate assessments identifies the readiness and right-sized Azure targets using the configuration and performance data collected from the source workloads. The quality of assessments depends on the quality of the data available for assessments. Thus, to get high quality assessments ensure you have all the prerequisites fulfilled. Before creating the assessments, ensure the following:",2025-09-08T00:00:00Z,concept-article,best-practices,0.6,True,"Prerequisites for assessments typically include concrete, product-specific requirements (e.g., minimum data collection duration, agent versions, connectivity rules) that directly affect assessment quality, fitting actionable best-practices for this product."
https://learn.microsoft.com/en-us/azure/migrate/assessment-properties?view=migrate,Customize assessment settings,Assessment Properties - Azure Migrate,Configure general assessment properties in Azure Migrate,Describes the components of an assessment in Azure Migrate.,This article explains the assessment properties on theGeneraltab that you can use when creating an assessment. These general properties apply to all workloads in an application or for cross-workload assessments. They also apply to individual workload assessments.,2025-09-19T00:00:00Z,concept-article,configuration,0.8,True,"Explicitly about assessment properties; such pages typically list property names, allowed values, and defaults (e.g., sizing criteria, time ranges), matching configuration sub-skill criteria."
https://learn.microsoft.com/en-us/azure/migrate/assessment-report?view=migrate,Review assessment report,Overview of Azure Migrate Assessment Report - Azure Migrate,,"Learn about assessment report, Azure readiness, and recommendations.","Each assessment provides four key outputs: Azure readiness, right sized target recommendations, cost details, and migration guidance.",2025-09-17T00:00:00Z,concept-article,,0.3,False,"Overview of assessment report outputs (readiness, sizing, cost, guidance); likely descriptive rather than listing detailed limits, configs, or troubleshooting mappings."
https://learn.microsoft.com/en-us/azure/migrate/assessment-rules-for-postgresql?view=migrate,Assessment rules for PostgreSQL,PostgreSQL Assessment Rules to Detect Blockers and Compatibility Issues - Azure Migrate,Use PostgreSQL assessment rules for Azure Migrate,"Helps detect migration blockers and compatibility issues when moving PostgreSQL databases to Azure Database for PostgreSQL Flexible Server, ensuring a smooth and successful cloud transition.","The assessment rules help identify compatibility issues and migration blockers when you move PostgreSQL instances to Azure Database for PostgreSQL flexible server. You can evaluate the source environment for resource limits, feature support, security settings, and configuration gaps. This evaluation categorizes the findings as Issues (blockers you must fix) or Warnings (items you should address), and recommend changes needed for the database, application, and architecture to ensure a successful ",2025-09-19T00:00:00Z,concept-article,troubleshooting,0.7,True,"Assessment rules for blockers and compatibility issues map findings to issues/warnings and recommended fixes, effectively a symptom-to-cause-to-remediation guide for PostgreSQL migrations."
https://learn.microsoft.com/en-us/azure/migrate/assessments-overview-migrate-to-azure-db-mysql?view=migrate,Assessment overview,Overview of Assessments for Migration to Azure Database for MySQL (preview) - Azure Migrate,,Learn how to assess your on-premises MySQL database instances for migration to Azure Database for MySQL using the Azure Migrate Discovery and Assessment tool. This article provides an overview of the ,"This article provides an overview of assessments for migrating on-premises MySQL database instances from a VMware, Microsoft Hyper-V, and Physical environment to Azure Database for MySQL using theAzure Migrate: Discovery and assessment tool.",2025-05-08T00:00:00Z,concept-article,,0.25,False,"Overview of MySQL assessments; summarizes process and types of assessments without detailed parameter tables, numeric limits, or decision matrices."
https://learn.microsoft.com/en-us/azure/migrate/azure-migrate-unsupported-regions?view=migrate,Azure Migrate in unsupported regions,Use Azure Migrate in Unsupported Regions - Azure Migrate,Use Azure Migrate from unsupported Azure regions,Describes and lists the regions that Azure Migrate doesn't support,"Azure Migrate is a geo-level service that is deployed in at least one region of each geography. The service depends on other Azure services that need to be available before it can be deployed in a new region. As a result, it may not be available immediately when a region is launched. However, customers can still migrate their workloads to the new regions using the Azure Migrate service from a nearby region within the same geography.",2025-09-08T00:00:00Z,troubleshooting,limits-quotas,0.7,True,Region support list and guidance on using nearby regions; contains region-specific availability details that function as deployment/usage constraints not known generically.
https://learn.microsoft.com/en-us/azure/migrate/azure-monitor-agent-migration?view=migrate,Migrate to Azure Monitor agent,Migrate to Azure Monitor Agent from Log Analytics agent - Azure Migrate,Migrate Azure Migrate dependency analysis to Azure Monitor Agent,Procedure to migrate to Azure Monitor Agent from MMA,"Dependency analysis helps you to identify and understand dependencies across servers that you want to assess and migrate to Azure. We currently perform agent-based dependency analysis by downloading theMMA agent and associating a Log Analytics workspacewith the Azure Migrate project. Azure Monitor Agent (AMA)replaces the Log Analytics agent, also known as Microsoft Monitor Agent (MMA) and OMS, for Windows and Linux machines, in Azure and non-Azure environments, on-premises, and other clouds. Thi",2024-09-18T00:00:00Z,how-to,configuration,0.65,True,"Migration from MMA to AMA for dependency analysis involves product-specific workspace, agent, and configuration mappings not obvious from general knowledge."
