url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/azure-netapp-files/advanced-ransomware-protection,Understand advanced ransomware protection,Understand Azure NetApp Files advanced ransomware protection,,Learn about how advanced ransomware protection works and the benefits of advanced ransomware protection.,"Advanced ransomware protection (ARP) in Azure NetApp Files is a built-in capability that helps safeguard your cloud file data against ransomware attacks. It uses intelligent, AI-driven monitoring to detect unusual file activity in real time and automatically creates a secure snapshot of your data when a potential ransomware threat is detected. This approach provides an extra line of defense at the storage layer – preserving clean recovery points and minimizing data loss if ransomware encrypts yo",2026-01-29T06:14:00.000Z,concept-article,,0.4,False,"Conceptual explanation of advanced ransomware protection; summary suggests high-level behavior and benefits, not detailed configs or limits.",unchanged
https://learn.microsoft.com/en-us/azure/azure-netapp-files/application-volume-group-add-hosts,Add hosts to a multiple-host SAP HANA system,Add hosts to a multiple-host SAP HANA system using Azure NetApp Files application volume group for SAP HANA,Add hosts to multi-host SAP HANA using Azure NetApp Files,Describes how to add more HANA hosts after you've created the first host in an SAP HANA multiple-host setup.,"Building a multiple-host SAP HANA database always starts with creating a volume group for the first host. To begin, you must create the first host in an SAP HANA multiple-host setup (seeDeploy the first SAP HANA host). After that, you can add additional HANA hosts by following steps in this article. Important SAP recommends that you size the HANA shared volume to 1 x RAM of a HANA host for every four SAP HANA hosts of a multiple-host SAP HANA database. You might need to adjust the size for the s",2025-07-11T08:00:00.000Z,how-to,deployment,0.75,True,"Covers adding additional SAP HANA hosts and includes a concrete sizing recommendation (shared volume sized to 1× RAM per four hosts). This is expert deployment guidance with quantified configuration, fitting deployment/best-practices; deployment is primary.",unchanged
https://learn.microsoft.com/en-us/azure/azure-netapp-files/application-volume-group-add-volume-secondary,Add volumes for an SAP HANA system as a secondary database in HSR,Add volumes for an SAP HANA system as a secondary database in HSR using Azure NetApp Files,Configure SAP HANA secondary database volumes for HSR with Azure NetApp Files,Describes using application volume group to add volumes for an SAP HANA system as a secondary database in HANA System Replication (HSR).,This article describes using application volume group to add volumes for an SAP HANA system as a secondary database in HANA System Replication (HSR).,2026-01-07T08:00:00.000Z,how-to,deployment,0.7,True,Describes adding volumes for a secondary SAP HANA database in HANA System Replication using application volume groups. This is a specific deployment scenario for DR/replication.,unchanged
https://learn.microsoft.com/en-us/azure/azure-netapp-files/application-volume-group-concept,Understand application volume groups,Understand Azure NetApp Files application volume groups,,"Learn about application volume groups in Azure NetApp Files, designed to enhance efficiency, manageability, and administration of application workloads.","In managing data and optimizing storage solutions, understanding how an application volume group functions is crucial. An application volume group is a framework designed to streamline the deployment of application volumes. It acts as a cohesive entity, bringing together related volumes to enhance efficiency, manageability, ease of administration, and volume placement relative to compute resources. Application volume group provides technical improvements to simplify and standardize the volume de",2025-04-22T08:00:00.000Z,concept-article,,0.3,False,"Conceptual explanation of application volume groups and their benefits; summary does not show concrete configuration parameters, limits, or troubleshooting details.",unchanged
https://learn.microsoft.com/en-us/azure/azure-netapp-files/application-volume-group-considerations,Requirements and considerations for application volume group for SAP HANA,Requirements and considerations for Azure NetApp Files application volume group for SAP HANA,Meet requirements for SAP HANA application volume groups on Azure NetApp Files,Describes the requirements and considerations you need to be aware of before using Azure NetApp Files application volume group for SAP HANA.,This article describes the requirements and considerations you need to be aware of before using Azure NetApp Files application volume group (AVG) for SAP HANA.,2025-04-22T17:03:00.000Z,concept-article,configuration,0.7,True,"Requirements/considerations page for SAP HANA AVGs will list specific constraints, supported configurations, and possibly parameterized requirements that are product-specific configuration knowledge.",unchanged
https://learn.microsoft.com/en-us/azure/azure-netapp-files/application-volume-group-delete,Delete an application volume group,Delete an application volume group in Azure NetApp Files,Delete Azure NetApp Files application volume groups safely,Describes how to delete an application volume group.,"This article describes how to delete an application volume group. Important You can delete a volume group only if it contains no volumes. Before deleting a volume group, delete all volumes in the group. If the volume group containsanyvolume, an error message prevents you from deleting the volume group. Network interfaces related to volumes groups cannot be deleted manually. They are deleted automatically when the volume group is deleted.",2025-03-27T17:09:00.000Z,how-to,configuration,0.6,True,Includes specific behavioral constraints (volume group must be empty; network interfaces are auto-deleted and cannot be removed manually). These are product-specific configuration/operation rules.,unchanged
https://learn.microsoft.com/en-us/azure/azure-netapp-files/application-volume-group-deploy-first-host,Deploy the first SAP HANA host,Deploy the first SAP HANA host using Azure NetApp Files application volume group for SAP HANA,Deploy first SAP HANA host with Azure NetApp Files application volume group,Describes how to deploy the first SAP HANA host using Azure NetApp Files application volume group for SAP HANA.,"All deployments start with the volumes for a single SAP HANA host. This is the case even for large, multiple-host installations. The shared, log-backup, and data-backup volumes are created only for the first host. All other hosts in a multiple-host environment share these volumes, and they add only data and log volumes for each additional host. This article describes how to deploy the first SAP HANA host using Azure NetApp Files application volume group for SAP HANA.",2026-01-07T08:00:00.000Z,how-to,deployment,0.7,True,"Describes deploying the first SAP HANA host with specific volume layout (shared, log-backup, data-backup) using application volume groups. This is a product-specific deployment pattern for a particular workload.",unchanged
https://learn.microsoft.com/en-us/azure/azure-netapp-files/application-volume-group-disaster-recovery,Add volumes for an SAP HANA system as a DR system,Add volumes for an SAP HANA system as a DR system using Azure NetApp Files cross-region replication,Deploy SAP HANA disaster recovery system with Azure NetApp Files cross-region replication,Describes using an application volume group to add volumes for an SAP HANA system as a disaster recovery (DR) system.,This article describes using an application volume group to add volumes for an SAP HANA system as a disaster recovery (DR) system. This configuration uses Azure NetApp Files cross-region replication (CRR) functionality.,2025-07-11T08:00:00.000Z,how-to,deployment,0.7,True,Covers using application volume groups and cross-region replication to build a DR system for SAP HANA. This is a product-specific DR deployment pattern.,unchanged
https://learn.microsoft.com/en-us/azure/azure-netapp-files/application-volume-group-introduction,Understand application volume group for SAP HANA,Understand Azure NetApp Files application volume group for SAP HANA,Deploy SAP HANA using Azure NetApp Files application volume groups,Describes the use cases and key features of Azure NetApp Files application volume group for SAP HANA.,"This article helps you understand the use cases and key features of Azure NetApp Files application volume group for SAP HANA. Application volume group for SAP HANA enables you to deploy all volumes required to install and operate an SAP HANA database according to best practices. Instead of individually creating the required SAP HANA volumes (including data, log, shared, log-backup, and data-backup volumes), application volume group for SAP HANA creates these volumes in a single ""atomic"" call. Th",2025-04-22T08:00:00.000Z,concept-article,best-practices,0.65,True,Describes how AVGs create all required SAP HANA volumes in one atomic call according to best practices; this encodes product- and workload-specific layout and deployment patterns that are expert guidance for SAP HANA on ANF.,unchanged
https://learn.microsoft.com/en-us/azure/azure-netapp-files/application-volume-group-manage-volumes,Manage volumes in an application volume group for SAP HANA,Manage volumes in Azure NetApp Files application volume group,Manage Azure NetApp Files application volume group volumes,"Describes how to manage a volume from its application volume group, including resizing, deleting, or changing throughput for the volume.","You can manage a volume from its volume group. You can resize, delete, or change throughput for the volume.",2025-07-11T22:35:00.000Z,how-to,configuration,0.65,True,"Explains managing volumes (resize, delete, change throughput) from an application volume group. These are concrete configuration operations on a specific feature.",unchanged
