url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason
https://learn.microsoft.com/en-us/azure/logic-apps/add-agent-action-create-run-workflow,Add agent actions in Foundry backed by workflows,Run Workflows as Actions on Agents in Azure AI Foundry - Azure Logic Apps,Run Logic Apps workflows as Azure AI agent actions,Learn how to create and run automation workflows as actions in agents by using Azure AI Foundry and Azure Logic Apps.,"Applies to:Azure Logic Apps (Consumption) Note This capability is in preview, might incur charges, and is subject to theSupplemental Terms of Use for Microsoft Azure Previews. When you have an AI app in Azure AI Foundry that needs to automate multi-step processes or integrate with various services, systems, apps, and data sources, you can addactionsinagentsto run automation workflows in Azure Logic Apps. In Azure AI Foundry, an agent uses an action and an AI model to autonomously or interactivel",2025-10-30T08:00:00.000Z,how-to,integrations,0.7,True,"Covers how to wire Azure AI Foundry agents to Logic Apps workflows as actions, including product-specific integration behavior for multi-step automation."
https://learn.microsoft.com/en-us/azure/logic-apps/add-agent-tools-connector-actions,Add agent tools in Foundry backed by connectors,Add Agent Tools Backed by Connector Actions - Azure Logic Apps,Add Logic Apps connector tools to AI agents,Learn to add tools for agents in Microsoft Foundry powered by connector actions in Azure Logic Apps by creating Model Context Protocol (MCP) servers.,"Applies to:Azure Logic Apps (Standard) Note This capability is in preview, might incur charges, and is subject to theSupplemental Terms of Use for Microsoft Azure Previews. This guide shows how to add tools powered by Azure Logic Apps to your agents in Microsoft Foundry. These tools use connector actions that run in Azure Logic Apps and let you integrate agents with specific Microsoft and non-Microsoft services, systems, apps, and data sources so you don't have to write any code. Tools include s",2025-12-12T23:21:00.000Z,how-to,integrations,0.7,True,"Explains how to expose Logic Apps connector actions as tools for agents via MCP servers. This is a concrete integration pattern between Logic Apps and Microsoft Foundry agents, beyond a simple tutorial."
https://learn.microsoft.com/en-us/azure/logic-apps/add-run-csharp-scripts,Add and run C# scripts,Add and Run C# Scripts in Standard Workflows - Azure Logic Apps,Execute inline C# scripts in Standard Logic Apps,Learn to write and run C# scripts to complete custom integration tasks with Standard workflows using Inline Code operations in Azure Logic Apps.,"Applies to:Azure Logic Apps (Standard) To perform custom integration tasks inline with your Standard workflow in Azure Logic Apps, you can directly add and run C# scripts from within your workflow. For this task, use theInline Codeaction namedExecute CSharp Script Code. This action returns the results from your script so that you can use this output in your workflow's subsequent actions. This capability provides the following benefits: Write your own scripts within the workflow designer so that ",2025-11-18T18:43:00.000Z,how-to,integrations,0.7,True,Shows how to use the Execute CSharp Script Code inline action with Logic Apps workflows; describes a product-specific integration pattern and operation semantics rather than generic C# scripting.
https://learn.microsoft.com/en-us/azure/logic-apps/add-run-javascript,Add and run JavaScript snippets,Run JavaScript in Workflows - Azure Logic Apps,Use inline JavaScript with Logic Apps limits,Learn to run JavaScript code snippets in workflows for custom integration tasks by using Inline Code operations in Azure Logic Apps.,"Applies to:Azure Logic Apps (Consumption + Standard) To perform custom integration tasks inline with your workflow in Azure Logic Apps, you can directly add and run simple JavaScript code snippets from your workflow in the Azure portal. For this task, use theInline Codeaction namedExecute JavaScript Code. This action returns the result from the code snippet so you can use that output in your workflow's subsequent actions. This action also hasdifferent limits, based on whether you have aConsumpti",2025-10-09T08:00:00.000Z,how-to,limits-quotas,0.7,True,Mentions that the Execute JavaScript Code action has different limits for Consumption vs Standard; this page typically includes specific execution time and memory limits per plan.
https://learn.microsoft.com/en-us/azure/logic-apps/add-run-powershell-scripts,Add and run PowerShell scripts,Add and Run PowerShell Scripts in Standard Workflows - Azure Logic Apps,Execute inline PowerShell scripts in Standard Logic Apps,Learn to write and run PowerShell scripts to complete custom integration tasks with Standard workflows using Inline Code operations in Azure Logic Apps.,"Applies to:Azure Logic Apps (Standard) To perform custom integration tasks inline with your Standard workflow in Azure Logic Apps, you can directly add and run PowerShell code from within your workflow. For this task, use theInline Codeaction namedExecute PowerShell Code. This action returns the results from your PowerShell code so that you can use this output in your workflow's subsequent actions. This capability provides the following benefits: Write your own scripts within the workflow design",2025-11-18T08:00:00.000Z,how-to,integrations,0.7,True,Describes using the Execute PowerShell Code inline action within workflows; provides a product-specific integration pattern for PowerShell with Logic Apps.
https://learn.microsoft.com/en-us/azure/logic-apps/add-trigger-action-workflow,Add a trigger or action to a workflow,Add a Trigger or Action to a Workflow - Azure Logic Apps,,Learn how to add a trigger or an action to create a workflow in Azure Logic Apps.,"Applies to:Azure Logic Apps (Consumption + Standard) To start any workflow in Azure Logic Apps, always add atriggeras the first step. You then continue the workflow by adding anaction. The trigger specifies either the schedule to use or a condition to meet for your workflow to run. Following the trigger, you have to add one or more subsequent actions so that your workflow performs the tasks that you want. The trigger and actions work together to define your workflow's logic and structure. This g",2025-05-19T17:08:00.000Z,how-to,,0.3,False,"Basic how-to for adding triggers and actions; generic workflow construction without product-specific limits, config tables, or troubleshooting details."
https://learn.microsoft.com/en-us/azure/logic-apps/agent-workflows-concepts,AI agent workflows,Workflows with AI Agents and Models - Azure Logic Apps,,Learn how workflows benefit from using AI agents with models to complete tasks in single-tenant Azure Logic Apps.,"Applies to:Azure Logic Apps (Consumption + Standard) Important Consumption agent workflows capability is in preview and is subject to theSupplemental Terms of Use for Microsoft Azure Previews. Azure Logic Apps supports workflows that complete tasks by usingagent loopswithlarge language models(LLMs). An agent loop uses an iterative process to solve complex, multi-step problems. An LLM is a trained program that recognizes patterns and performs jobs without human interaction, for example: You can b",2025-11-18T18:43:00.000Z,concept-article,,0.3,False,"Conceptual explanation of AI agent workflows and LLM-based agent loops; does not expose detailed configuration parameter tables, limits, or error-code mappings."
https://learn.microsoft.com/en-us/azure/logic-apps/ai-resources,AI playbook and solution development,"AI Playbook, Examples, and Samples - Azure Logic Apps",,"Learn about AI integration examples, samples, and other resources for Standard and Consumption workflows in Azure Logic Apps.","Applies to:Azure Logic Apps (Consumption + Standard) AI capabilities play a fast and growing role in applications and other software by performing useful, time-saving, or novel tasks like chat interactions. These capabilities can also work with other services, systems, apps, and data sources to help build integration workloads for enterprises and organizations. This guide provides building blocks, examples, and other resources that show how to use AI services like Azure OpenAI, Azure AI Foundry,",2025-09-16T22:10:00.000Z,concept-article,,0.25,False,"AI playbook and examples index; mostly a resource hub and conceptual guidance, not detailed configuration, limits, or troubleshooting documentation."
https://learn.microsoft.com/en-us/azure/logic-apps/authenticate-with-managed-identity,Authenticate with managed identities,Authenticate access and connections with managed identities - Azure Logic Apps,Use managed identities to authenticate Logic Apps,"Set up a managed identity to authenticate workflow access to Microsoft Entra protected resources without using credentials, secrets, or tokens in Azure Logic Apps.","Applies to:Azure Logic Apps (Consumption + Standard) If you want to avoid providing, storing, and managing credentials, secrets, or Microsoft Entra tokens, you can use a managed identity to authenticate access or connections from your logic app workflow to Microsoft Entra protected resources. In Azure Logic Apps, some connector operations support using a managed identity when you must authenticate access to resources protected by Microsoft Entra ID. Azure manages this identity and helps keep aut",2025-01-27T08:00:00.000Z,how-to,security,0.86,True,Explains how to configure system-assigned/user-assigned managed identities for Logic Apps and use them with specific connectors to access Microsoft Entra–protected resources. Contains product-specific identity configuration details and connector behavior that qualify as expert security knowledge.
https://learn.microsoft.com/en-us/azure/logic-apps/automate-build-deployment-standard,Automate DevOps build and deployment,Automate Build and Deployment for Standard Workflows - Azure Logic Apps,Automate build and release for Standard logic apps,Learn how to automate build and deployment for Standard logic apps with Azure DevOps using Visual Studio Code.,"For Standard logic app workflows that run in single-tenant Azure Logic Apps, you can use Visual Studio Code with the Azure Logic Apps (Standard) extension to locally develop, test, and store your logic app project using any source control system. To get the full benefits of easily and consistently deploying your workflows across different environments and platforms, automate your build and deployment process. The Azure Logic Apps (Standard) extension provides tools to create and maintain automat",2026-01-13T18:33:00.000Z,how-to,deployment,0.7,True,"Describes automating build and deployment with Azure DevOps for Logic Apps Standard, including product-specific automation patterns; aligns with deployment sub-skill."
