url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/azure-vmware/arc-enable-guest-management,Enable guest management and install extensions on Arc-enabled VMs,Enable guest management and install extensions on Arc-enabled VMs - Azure VMware Solution,Enable guest management and extensions on Arc VMs in AVS,Learn how to set up and enable guest management and install extensions on Arc-enabled VMs.,"In this article, you learn how to enable guest management and install extensions on Arc-enabled VMs in Azure VMware Solution. Use guest management to manage the guest operating system of your VM, including installing and managing extensions. This feature is available for Arc-enabled VMware VMs in Azure VMware Solution private clouds.",2025-07-04T22:10:00.000Z,how-to,configuration,0.7,True,"Covers enabling guest management and installing extensions on Arc-enabled VMs; this usually involves specific settings, extension names, and configuration parameters unique to Arc on AVS, fitting configuration patterns.",unchanged
https://learn.microsoft.com/en-us/azure/azure-vmware/architecture-api-management,API Management,Architecture - API Management - Azure VMware Solution,Integrate Azure VMware Solution into hub-and-spoke networks,Learn how API Management protects APIs running on Azure VMware Solution virtual machines (VMs),"Microsoft AzureAPI Managementlets you securely publish to external or internal consumers.  Only the Developer (development) and Premium (production) SKUs allow Azure Virtual Network integration to publish APIs that run on Azure VMware Solution workloads. In addition, both SKUs enable the connectivity between the API Management service and the backend. The API Management configuration is the same for backend services that run on Azure VMware Solution virtual machines (VMs) and on-premises. API Ma",2024-03-24T11:19:00.000Z,concept-article,architecture-patterns,0.6,True,"Provides recommendations for integrating AVS into hub-and-spoke architectures in hybrid environments, which is a product-specific architecture pattern.",unchanged
https://learn.microsoft.com/en-us/azure/azure-vmware/architecture-design-public-internet-access,Internet connectivity design considerations,Architecture - Internet connectivity design considerations - Azure VMware Solution,Plan network design for Azure VMware Solution deployments,Options for Azure VMware Solution Internet Connectivity.,"There are three primary patterns to create outbound access to the Internet from Azure VMware Solution and to enable inbound  Internet access to resources on your Azure VMware Solution private cloud. Your requirements for security controls, visibility, capacity, and operations drive the selection of the appropriate method for delivery of Internet access to the Azure VMware Solution private cloud.",2024-03-24T11:19:00.000Z,concept-article,architecture-patterns,0.65,True,Covers networking considerations and solutions for common AVS use cases using ExpressRoute and VPN; this is product-specific network architecture guidance.,unchanged
https://learn.microsoft.com/en-us/azure/azure-vmware/architecture-hub-and-spoke,Hub and spoke,Architecture - Integrate an Azure VMware Solution deployment in a hub and spoke architecture - Azure VMware Solution,Design internet connectivity patterns for Azure VMware Solution,Learn about integrating an Azure VMware Solution deployment in a hub and spoke architecture on Azure.,This article provides recommendations for integrating an Azure VMware Solution deployment in an existing or a newHub and Spoke architectureon Azure. The Hub and Spoke scenario assume a hybrid cloud environment with workloads on:,2025-02-18T08:00:00.000Z,concept-article,architecture-patterns,0.6,True,"Describes three primary patterns for inbound/outbound internet access with selection driven by security, visibility, and capacity requirements—product-specific connectivity patterns and trade-offs.",unchanged
https://learn.microsoft.com/en-us/azure/azure-vmware/architecture-identity,Access and identity,Architecture - Identity and access - Azure VMware Solution,Choose API Management SKUs for Azure VMware Solution workloads,Learn about the identity and access concepts of Azure VMware Solution,Azure VMware Solution private clouds are provisioned with a vCenter Server and NSX Manager. You use vCenter Server to manage virtual machine (VM) workloads and NSX Manager to manage and extend the private cloud. The CloudAdmin role is used for vCenter Server and the CloudAdmin role (with restricted permissions) is used for NSX Manager.,2024-03-24T11:19:00.000Z,concept-article,decision-making,0.65,True,"Explains that only Developer and Premium SKUs support VNet integration for AVS workloads and connectivity to backends, providing SKU-specific capability guidance for choosing the right tier.",unchanged
https://learn.microsoft.com/en-us/azure/azure-vmware/architecture-migrate,Migrate,Architecture – Migration considerations with VMware HCX - Azure VMware Solution,Enable and configure Managed SNAT for Azure VMware Solution,Learn about VMware HCX migration considerations for Azure VMware Solution.,VMware HCX offers five options with the HCX Enterprise Edition license when migrating VMware vSphere virtual machines to the Azure VMware Solution: The cost of the VMware HCX Enterprise Edition license is included in the cost of the Azure VMware Solution service.,2024-03-24T11:19:00.000Z,concept-article,configuration,0.7,True,"Describes Managed SNAT behavior (ICMP disabled, incompatibility with default Azure route) and how to turn it on, which are product-specific configuration and behavioral details.",unchanged
https://learn.microsoft.com/en-us/azure/azure-vmware/architecture-network-design-considerations,Network design considerations,Architecture - Network design considerations - Azure VMware Solution,Understand networking and interconnectivity in Azure VMware Solution,Learn about network design considerations for Azure VMware Solution,Azure VMware Solution offers a VMware private cloud environment that users and applications can access from on-premises and Azure-based environments or resources. Networking services such as Azure ExpressRoute and virtual private network (VPN) connections deliver the connectivity. There are several networking considerations to review before you set up your Azure VMware Solution environment. This article provides solutions for use cases that you might encounter when you're using Azure VMware Solu,2025-02-28T18:05:00.000Z,concept-article,architecture-patterns,0.65,True,"Describes required address ranges, firewall ports, and private networks for management/provisioning/vMotion, which are detailed, product-specific network architecture patterns.",unchanged
https://learn.microsoft.com/en-us/azure/azure-vmware/architecture-networking,Networking and interconnectivity,Architecture - Network interconnectivity - Azure VMware Solution,Plan storage architecture for Azure VMware Solution private clouds,Learn about key concepts and use cases of networking and interconnectivity in Azure VMware Solution.,"Azure VMware Solution offers a private cloud environment accessible from on-premises sites and Azure-based resources. Services such as Azure ExpressRoute, VPN connections, or Azure Virtual WAN deliver the connectivity. However, these services require specific network address ranges and firewall ports for enabling the services. When you deploy a private cloud, private networks for management, provisioning, and vMotion get created. You use these private networks to access VMware vCenter Server and",2024-03-24T11:19:00.000Z,concept-article,architecture-patterns,0.6,True,"Discusses vSAN-based storage, capacity, policies, fault tolerance, and Azure Storage integration—product-specific storage architecture guidance.",unchanged
https://learn.microsoft.com/en-us/azure/azure-vmware/architecture-private-clouds,Private clouds and clusters,Architecture for Private Clouds and Clusters - Azure VMware Solution,Design vSAN stretched clusters for Azure VMware Solution,Understand the key capabilities of Azure VMware Solution software-defined datacenters and VMware vSphere clusters.,"Azure VMware Solution provides VMware-based private clouds in Azure. The private cloud hardware and software deployments are fully integrated and automated in Azure. Deploy and manage the private cloud through the Azure portal, the Azure CLI, or PowerShell. A private cloud includes clusters with: Private clouds are installed and managed within an Azure subscription. The number of private clouds within a subscription is scalable. Initially, there's a limit of one private cloud per subscription. T",2025-08-14T08:00:00.000Z,concept-article,architecture-patterns,0.7,True,"Focuses on design considerations for vSAN stretched clusters, which are product-specific architecture patterns and trade-offs for Azure VMware Solution.",unchanged
https://learn.microsoft.com/en-us/azure/azure-vmware/architecture-storage,Storage,Architecture - Storage - Azure VMware Solution,Select VMware HCX migration options for Azure VMware Solution,"Learn about storage capacity, storage policies, fault tolerance, and storage integration in Azure VMware Solution private clouds.","Azure VMware Solution private clouds provide native, cluster-wide storage with VMware vSAN. Local storage from each host in a cluster is used in a vSAN datastore, and data-at-rest encryption is available and enabled by default. You can use Azure Storage resources to extend storage capabilities of your private clouds.",2025-05-19T17:08:00.000Z,concept-article,decision-making,0.6,True,Lists five HCX Enterprise Edition migration options and notes licensing inclusion; helps decide which migration method to use for AVS workloads.,unchanged
https://learn.microsoft.com/en-us/azure/azure-vmware/architecture-stretched-clusters,Multi-AZ with stretched clusters,Architecture - Design considerations for vSAN stretched clusters - Azure VMware Solution,Configure identity and access roles in Azure VMware Solution,Learn about how to use stretched clusters for Azure VMware Solution.,"In this article, learn how to design a vSAN stretched cluster for an Azure VMware Solution private cloud.",2026-01-08T08:00:00.000Z,concept-article,security,0.65,True,"Describes identity and access concepts including specific roles like CloudAdmin and restricted CloudAdmin for NSX Manager, which are product-specific RBAC constructs.",unchanged
