url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason
https://learn.microsoft.com/en-us/azure/backup/about-azure-vm-restore,About Azure VM restore,About the Azure Virtual Machine restore process - Azure Backup,,Learn how the Azure Backup service restores Azure virtual machines,This article describes how theAzure Backup servicerestores Azure virtual machines (VMs). There are many restore options. Let's discuss the various scenarios they support.,2025-10-13T08:00:00.000Z,overview,,0.4,False,Conceptual/process overview of VM restore options; likely descriptive rather than configuration/limits-focused.
https://learn.microsoft.com/en-us/azure/backup/about-restore-microsoft-azure-recovery-services,Restore,Restore options with Microsoft Azure Recovery Services (MARS) agent - Azure Backup,Use MARS agent restore options for Azure Backup,Learn about the restore options available with the Microsoft Azure Recovery Services (MARS) agent.,"This article describes the restore options available with the Microsoft Azure Recovery Services (MARS) agent, including how to recover data in various scenarios to ensure business continuity. You learn about Windows Server System State backups restore, recovery of all files in a volume, specific files and folders restore using PowerShell, and using Instant Restore for quick access to individual files. The article also covers Cross Region Restore, which enables recovery from a secondary Azure reg",2025-09-24T11:10:00.000Z,overview,configuration,0.65,True,"Describes concrete restore modes (system state, full volume, file-level, PowerShell, Instant Restore, Cross Region Restore) and how to apply them in specific scenarios, which are product-specific operational details beyond generic backup concepts."
https://learn.microsoft.com/en-us/azure/backup/active-directory-backup-restore,Active Directory domain controllers,Back up and restore Active Directory using Azure Backup - Azure Backup,,Learn how to back up and restore Active Directory domain controllers for Azure VM and on-premises servers using Azure Backup.,"This article describes how to back up and restore Active Directory domain controllers using Azure Backup, either running on Azure virtual machines (VMs) or on-premises servers. You can use the recommended procedures to protect your Active Directory environment and recover domain controllers during corruption, compromise, or disaster. For guidance on choosing the right restore scenario for your needs, seethe Active Directory Forest Recovery Guide. Note This article doesn't discuss restoring items",2025-12-02T23:11:00.000Z,how-to,,0.4,False,"Described as recommended procedures to back up and restore AD domain controllers; this is more of a procedural/how-to guide without clear indication of numeric limits, configuration matrices, or error-code-based troubleshooting content."
https://learn.microsoft.com/en-us/azure/backup/aks-backup-faq,FAQ-Azure Backup for AKS,Frequently asked questions about Azure Backup for Azure Kubernetes Service - Azure Backup,Check Azure Backup for AKS behavioral limits,Get answers to frequently asked questions about Azure Backup for Azure Kubernetes Service,"This article answers frequently asked questions about Azure Backup for Azure Kubernetes Service. For more information on theAzure Backup for AKSregion availability, supported scenarios, and limitations, see thesupport matrix.",2025-07-18T17:15:00Z,faq,limits-quotas,0.76,True,"AKS Backup FAQ plus support matrix reference suggests it documents concrete constraints (supported cluster versions, namespaces, object types, retention) that are numeric or matrix-like and product-specific."
https://learn.microsoft.com/en-us/azure/backup/archive-tier-support,Overview,Azure Backup - Archive tier overview - Azure Backup,,Learn about Archive tier support for Azure Backup.,"Customers rely on Azure Backup to store backup data including their Long-Term Retention (LTR) backup data as per the retention needs defined by the organization's compliance rules. In most cases, the older backup data is rarely accessed and is only stored for compliance needs. Azure Backup supports backup of Long-Term Retention points in the archive tier, in addition to Snapshots and the Standard tier.",2025-12-16T18:11:00.000Z,overview,,0.4,False,Described as an overview of archive tier support; likely conceptual without detailed limits tables or configuration matrices in the summary.
https://learn.microsoft.com/en-us/azure/backup/automation-backup,Overview,Automation in Azure Backup - Azure Backup,,Provides a summary of automation capabilities offered by Azure Backup.,"Efficient automation is essential as the Azure environment grows to include a wide range of workloads. Automating key backup tasks, such as configuring protection for new resources, monitoring backup health, and responding to issues, help you consistently meet your backup objectives while minimizing manual effort and errors. Azure Backup supports automation for most backup operations through various programmatic methods. This article outlines the automation tools available in Azure Backup and pr",2025-08-14T17:10:00.000Z,how-to,,0.4,False,"Provides a summary of automation capabilities and tools. From the summary it appears high-level, outlining options rather than giving detailed parameter tables, error codes, or numeric limits."
https://learn.microsoft.com/en-us/azure/backup/azure-backup-architecture-for-sap-hana-backup,Architecture,Azure Backup architecture for SAP HANA Backup - Azure Backup,Understand Azure Backup architecture for SAP HANA,Learn about Azure Backup architecture for SAP HANA backup.,Azure Backup serviceallows you to back up data from SAP HANA databases in an application in consistent manner. This article describes the Azure Backup architecture components and processes.,2026-01-09T08:00:00.000Z,overview,architecture-patterns,0.6,True,"Architecture article for SAP HANA backup describes Azure Backup components and data flows specific to this integration, which are product-specific architectural patterns not covered by generic knowledge."
https://learn.microsoft.com/en-us/azure/backup/azure-backup-glossary,Glossary of terms,Azure Backup glossary - Azure Backup,,This article defines terms helpful for use with Azure Backup.,This glossary of terms can be helpful when using Azure Backup. Note,2024-12-30T08:00:00.000Z,reference,,0.1,False,"Glossary of terms; definitions are conceptual and not configuration, limits, or troubleshooting content."
https://learn.microsoft.com/en-us/azure/backup/azure-backup-pricing,Pricing calculator,Azure Backup pricing - Azure Backup,Estimate and compare Azure Backup costs across workloads,Learn how to estimate your costs for budgeting Azure Backup pricing.,"This article describes how to estimate and understand the costs associated with using Azure Backup. You learn about the available pricing tools, key parameters that affect backup costs, and how to use the Azure Backup pricing estimator to budget for different workloads and scenarios. To learn about Azure Backup pricing, visit theAzure Backup pricing page.",2025-09-19T11:11:00.000Z,how-to,comparing,0.6,True,"Describes how to estimate costs with Azure Backup pricing tools and parameters for different workloads and scenarios. While pricing numbers live on the pricing page, this article focuses on decision-making and cost comparison across options, aligning best with the comparing category."
https://learn.microsoft.com/en-us/azure/backup/azure-data-lake-storage-backup-configure-quickstart-arm-bicep,Configure Azure Data Lake Storage vaulted backup using ARM/ Bicep template,Quickstart - Configure vaulted backup for Azure Data Lake Storage using ARM or Bicep template - Azure Backup,Configure Data Lake Storage vaulted backup via ARM/Bicep,Learn how to configure vaulted backup for Azure Data Lake Storage using ARM or Bicep template.,This quickstart describes how to configurevaulted backup for Azure Data Lake Storageusing an Azure Resource Manager (ARM) template.,2025-11-07T10:32:00.000Z,tutorial,configuration,0.7,True,"ARM/Bicep quickstart will show resource schemas and configuration properties for Data Lake Storage backup policies and protection, which are product-specific configuration parameters."
