url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/operator-nexus/azure-operator-nexus-faq,FAQ,Azure Operator Nexus FAQ - Operator Nexus,,Answers to the most frequently asked questions about Azure Operator Nexus.,The following sections cover some of the frequently asked questions for Azure Operator Nexus:,2025-09-17T16:51:00.000Z,faq,,0.2,False,"FAQ content is likely high-level Q&A without structured error codes, config tables, or numeric limits; primarily conceptual and informational.",unchanged
https://learn.microsoft.com/en-us/azure/operator-nexus/cluster-jsonc-example,Cluster Template JSON Example,Azure Operator Nexus - Example of cluster.jsonc template file - Operator Nexus,Use cluster.jsonc template for Nexus ARM deployments,Example of cluster.jsonc template file to use with ARM template in creating a cluster.,Note Access to this page requires authorization. You can trysigning inorchanging directories. Access to this page requires authorization. You can trychanging directories.,2025-09-17T16:51:00.000Z,how-to,configuration,0.8,True,"Example of a cluster.jsonc template file implies concrete configuration schema, parameter names, and allowed values for Cluster ARM deployments, which is product-specific configuration knowledge.",unchanged
https://learn.microsoft.com/en-us/azure/operator-nexus/cluster-parameters-jsonc-example,Cluster Parameters JSON Example,Azure Operator Nexus - Example of cluster.parameters.jsonc template file - Operator Nexus,Configure cluster.parameters.jsonc for multi-rack Nexus clusters,Example of an eight rack Cluster parameter file to use with ARM template in creating a Cluster.,Note Access to this page requires authorization. You can trysigning inorchanging directories. Access to this page requires authorization. You can trychanging directories.,2025-09-17T16:51:00.000Z,how-to,configuration,0.8,True,"Example parameter file for an eight-rack Cluster exposes detailed parameter names, structures, and expected values, which are configuration specifics for this product.",unchanged
https://learn.microsoft.com/en-us/azure/operator-nexus/clustermanager-jsonc-example,Cluster Manager Template JSON Example,Azure Operator Nexus - Example of clusterManager.jsonc template file - Operator Nexus,Use clusterManager.jsonc template for Operator Nexus,Example of clusterManager.jsonc template file to use with ARM template in creating a cluster manager.,Note Access to this page requires authorization. You can trysigning inorchanging directories. Access to this page requires authorization. You can trychanging directories.,2025-09-17T16:51:00.000Z,how-to,configuration,0.7,True,Example JSONC template file for Cluster Manager; contains concrete configuration fields and values unique to this product.,unchanged
https://learn.microsoft.com/en-us/azure/operator-nexus/clustermanager-parameters-jsonc-example,Cluster Manager Parameters JSON Example,Azure Operator Nexus - Example of clusterManager.parameters.jsonc template file - Operator Nexus,Define clusterManager.parameters.jsonc for Operator Nexus,Example of clusterManager.parameters.jsonc template file to use with ARM template in creating a Cluster Manager.,Note Access to this page requires authorization. You can trysigning inorchanging directories. Access to this page requires authorization. You can trychanging directories.,2025-09-17T16:51:00.000Z,how-to,configuration,0.7,True,Example parameters file with specific configuration keys and expected values; directly aligned with configuration sub-skill.,unchanged
https://learn.microsoft.com/en-us/azure/operator-nexus/concepts-ab-staged-commit-configuration-update-commit-workflow,A / B staged configuration update - commit workflow in Azure Operator Nexus,A/B Staged Configuration Update: Commit Workflow in Azure Operator Nexus - Operator Nexus,,Learn about the A/B staged configuration update commit workflow in Azure Operator Nexus.,"The A/B staged configuration update introduces a safe rollout model for Network Fabric configuration. Operators stage configuration on one customer edge device (A or B), validate behavior, optionally cancel to revert, or complete rolling out to the remaining devices by using commit workflow semantics (lock-validate-commit cycle). The current scope targets customer edge-only staging. Broader policies might be added later.",2025-12-23T18:03:00.000Z,concept-article,,0.3,False,"Conceptual description of A/B staged configuration update and commit semantics; no specific configuration values, thresholds, or troubleshooting mappings.",unchanged
https://learn.microsoft.com/en-us/azure/operator-nexus/concepts-access-control-lists,Access Control Lists,Azure Operator Nexus Access Control Lists Overview - Operator Nexus,,Get an overview of access control lists for Azure Operator Nexus.,Access control lists (ACLs) are a set of rules that regulate inbound and outbound packet flow within a network. Azure Nexus Operator - Network Fabric offers an API-based mechanism to configure ACLs for network-to-network interconnects (NNIs) and layer 3 isolation domain (ISD) external networks. These APIs enable the specification of traffic classes and performance actions based on defined rules and actions within the ACLs. ACL rules define the data against which packet contents are compared for ,2025-12-23T18:03:00.000Z,concept-article,,0.3,False,"Overview of ACL concepts and usage; summary does not indicate detailed rule tables, limits, or product-specific configuration parameters.",unchanged
https://learn.microsoft.com/en-us/azure/operator-nexus/concepts-baseboard-management-controller-credential-rotation,Baseboard Management Controller Credential Rotation Overview,Azure Operator Nexus: Baseboard Management Controller Credential Rotation Overview - Operator Nexus,,An overview of how credential rotation occurs for Baseboard Management Controller Credential,"The Baseboard Management Controller (BMC) (iDRAC) has several credentials that are automatically rotated as part of the system per each machine. In order for this automated rotation to occur, each Bare Metal Machine (BMM) must be considered one of two potential states in the cluster before it rotates the credential.",2026-01-19T18:03:00.000Z,how-to,,0.35,False,"Describes that BMC credentials are rotated and states around rotation; summary does not expose specific configuration values, schedules, or security parameters.",unchanged
https://learn.microsoft.com/en-us/azure/operator-nexus/concepts-bmp-log-streaming,BMP log streaming in Azure Operator Nexus Network Fabric,BMP Log Streaming in Azure Operator Nexus Network Fabric - Operator Nexus,,"An overview of BGP Monitoring Protocol (BMP), its importance, and key components for effective log monitoring.","The BGP Monitoring Protocol (BMP) is designed to monitor Border Gateway Protocol (BGP) sessions. BMP provides a standardized method for collecting information about BGP sessions. You can use this information for analysis, troubleshooting, and helping to ensure the stability and security of the network. BMP allows a monitoring station to connect to a router and collect all the BGP announcements received from the router's BGP peers. The announcements are sent to the station in the form of BMP rout",2025-09-17T16:51:00.000Z,concept-article,,0.2,False,"Conceptual overview of BMP log streaming; summary suggests no specific configuration parameters, limits, or error mappings.",unchanged
https://learn.microsoft.com/en-us/azure/operator-nexus/concepts-cluster-deployment-overview,Cluster deployment,Azure Operator Nexus cluster deployment overview - Operator Nexus,,Get an overview of cluster deployment for Azure Operator Nexus.,"Azure Operator Nexus is built on basic constructs like compute servers, storage appliances, and network fabric devices. Azure Operator Nexus cluster represents an on-premises deployment of the platform. The lifecycle of platform-specific resources is dependent on the cluster state.",2025-10-13T22:04:00.000Z,concept-article,,0.25,False,"Cluster deployment overview; summary does not indicate detailed deployment matrices, constraints, or config tables.",unchanged
