url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason
https://learn.microsoft.com/en-us/azure/communication-services/concepts/advanced-messaging/logs,Advanced Messaging logs,Azure Communication Services Advanced Messaging logs - An Azure Communication Services concept document,,Learn about logging for Azure Communication Services Advanced Messaging.,"Azure Communication Services offers logging capabilities that you can use to monitor and debug your Communication Services solution. These capabilities can be configured for Advanced Messaging through the Azure portal by enabling the diagnostic setting forAdvanced Messaging Logs. Important The following refers to logs enabled throughAzure Monitor(see alsoFAQ). To enable these logs for your Communications Services, see:Enable logging in Diagnostic Settings",2024-07-18T00:00:00Z,conceptual,,0.3,False,"Conceptual overview of logging capabilities; summary does not indicate concrete log schema, parameter tables, or error mappings."
https://learn.microsoft.com/en-us/azure/communication-services/concepts/advanced-messaging/whatsapp/pricing,Pricing,Pricing for Advanced Messaging - An Azure Communication Services article,Understand pricing components for ACS Advanced Messaging,Learn about pricing for Advanced Messaging in Azure Communication Services.,Prices for Advanced Messaging in Azure Communication Services consist of two components: the usage fee and the channel fee.,2024-02-12T00:00:00Z,conceptual,comparing,0.6,True,"Pricing page for Advanced Messaging likely includes concrete per-message or per-session prices and possibly channel-specific rates, which are quantified comparison details between usage and channel fees."
https://learn.microsoft.com/en-us/azure/communication-services/concepts/advanced-messaging/whatsapp/whatsapp-channel-prerequisites,WhatsApp channel prerequisites,Prerequisites to Configure WhatsApp as a Channel in Microsoft Copilot Studio - An Azure Communication Services article,,Prerequisites to Configure WhatsApp as a Channel in Microsoft Copilot Studio.,Azure Communication Services Advanced Messaging SDK enables AI agents in Microsoft Copilot Studio to send and receive WhatsApp messages to users. Each AI agents are linked to a unique WhatsApp Business phone number.,2025-06-18T00:00:00Z,conceptual,,0.45,False,Prerequisites page for configuring WhatsApp as a channel in Copilot Studio likely lists account and setup requirements but not detailed configuration parameter tables or limits; mostly high-level prerequisites.
https://learn.microsoft.com/en-us/azure/communication-services/concepts/advanced-messaging/whatsapp/whatsapp-overview,Overview,Overview of Advanced Messaging for WhatsApp - An Azure Communication Services article,,Learn about Azure Communication Services Advanced Messaging for WhatsApp.,"Azure Communication Services enables you to send and receive WhatsApp messages using the Azure Communication Services Messaging SDK. You can use this SDK to engage in conversations with customers for product inquiry and customer service scenarios. You can also use it to send messages such as appointment reminders, shipping updates, two-factor authentication, and other notification scenarios.",2024-02-12T00:00:00Z,conceptual,,0.2,False,"WhatsApp overview is a conceptual/marketing-style description of capabilities without evidence of numeric limits, configuration tables, or error mappings."
https://learn.microsoft.com/en-us/azure/communication-services/concepts/advanced-messaging/whatsapp/whatsapp-terms-of-service,Advanced messaging for WhatsApp terms of service,Advanced Messaging for WhatsApp data transfer and independent terms of service - An Azure Communication Services article,Understand data transfer and terms for ACS WhatsApp,Learn about Communication Service WhatsApp terms of service concepts.,"To enable the WhatsApp feature in Azure Communication Services, you need to create or connect a WhatsApp Business Account and agree to the Meta Cloud API and WhatsApp Terms of Service (""Meta Terms""). When you use the WhatsApp feature in Azure Communication Services, your data is transferred from one service to the other, and the respective terms govern the handling of that data.Microsoft Product Termsgoverns the Azure Communication Services.Meta Termsgoverns the WhatsApp Service. There are diffe",2024-02-12T00:00:00Z,conceptual,security,0.6,True,"Describes data transfer between Azure Communication Services and WhatsApp with references to Microsoft Product Terms and Meta Terms; likely includes product-specific data handling, retention, and compliance details relevant to security/privacy configuration."
https://learn.microsoft.com/en-us/azure/communication-services/concepts/advisor-overview,Azure Advisor,Use Azure Advisor for Azure Communication Services - An Azure Communication Services concept document,,Learn about Azure Advisor offerings for Azure Communication Services.,"Azure Advisoris a personalized cloud consultant that helps you follow best practices to optimize your Azure deployments. Azure Communication Services is onboarded to Azure Advisor and will post recommendations for ways to optimize your communication resources. You can view these recommendations in theAzure portalin theAdvisor blade. Recommendations are stored in yourAzure Activity Log, and you can configure alerts for these recommendations viaARM templatesor theportal.",2022-10-10T00:00:00Z,conceptual,,0.3,False,"Conceptual overview of Azure Advisor recommendations for ACS; no concrete configuration parameters, limits, or error mappings."
https://learn.microsoft.com/en-us/azure/communication-services/concepts/ai,Overview,AI in Azure Communication Services - An Azure Communication Services concept document,,Learn about Azure Communication Services AI concepts.,"Artificial intelligence (AI) technologies are useful for many communication experiences. AI can help humans communicate better and accomplish their mission more efficiently, for example, a banking employee may use an AI generated meeting summary to help them follow up. AI can reduce human workloads and enable more flexible customer engagement, such as operating a 24/7 phone bot that customers call to check their account balance. More examples include: This article summarizes the availability of ",2025-02-03T00:00:00Z,conceptual,,0.2,False,"Conceptual overview of AI in ACS with examples and availability; no indication of detailed configuration parameters, limits, or error mappings."
https://learn.microsoft.com/en-us/azure/communication-services/concepts/analytics/chat-metrics,Chat metrics,Chat metrics definitions for Azure Communication Service - An Azure Communication Services article,Use ACS chat metrics in Azure Monitor,This article defines of chat metrics available in the Azure portal.,Azure Communication Services currently provides metrics for all Communication Services services. You can useAzure Metrics Explorerto:,2023-06-23T00:00:00Z,conceptual,limits-quotas,0.7,True,"Defines chat metrics available in the Azure portal; metric definition pages typically include exact metric names, units, and dimensions, which are product-specific quantitative details."
https://learn.microsoft.com/en-us/azure/communication-services/concepts/analytics/enable-logging,Enable logging with Azure Monitor,Enable logging with Azure Monitor - An Azure Communication Services article,Enable Azure Monitor logging for ACS resources,Configure Communications Services logs and metrics with diagnostic settings.,"Communications Services provides monitoring and analytics features viaAzure Monitor Logs overviewandAzure Monitor Metrics. Each Azure resource requires its own diagnostic setting, which defines the following criteria: The following instructions describe how to configure your Azure Monitor resource to start creating logs and metrics for your Communications Services. For more information about using Diagnostic Settings across all Azure resources, see:Diagnostic Settings. These instructions apply t",2021-10-25T00:00:00Z,conceptual,configuration,0.8,True,Explains configuring diagnostic settings for ACS with Azure Monitor logs and metrics; this involves specific configuration options and destinations for logs/metrics.
https://learn.microsoft.com/en-us/azure/communication-services/concepts/analytics/insights/call-automation-insights,Call Automation insights,Azure Communication Services Call Automation Insights Preview - An Azure Communication Services concept document,,Descriptions of data visualizations available for Call Automation Communications Services via Workbooks,"In this document, we outline the available insights dashboard to monitor Call Automation logs and metrics.",2021-03-08T00:00:00Z,conceptual,,0.2,False,"Conceptual description of insights dashboards; describes available visualizations, not configuration parameters, limits, or troubleshooting mappings."
