url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason
https://learn.microsoft.com/en-us/azure/batch/account-key-rotation,Rotate Batch account keys,Rotate Batch account keys - Azure Batch,Rotate shared keys for Azure Batch accounts,Learn how to rotate Batch account shared key credentials.,"Batch accounts can be authenticated in one of two ways, either via shared key or Microsoft Entra ID. Batch accounts
with shared key authentication enabled have two keys associated with them to allow for key rotation scenarios. Tip It's highly recommended to avoid using shared key authentication with Batch accounts. The preferred authentication
mechanism is through Microsoft Entra ID. You can disable shared key authentication during account creation or you
can update allowedAuthentication Modesfo",2025-07-01T08:00:00.000Z,how-to,security,0.7,True,"Describes Batch-specific key rotation behavior and configuration (two keys, allowedAuthenticationModes, disabling shared key), which is concrete security configuration guidance."
https://learn.microsoft.com/en-us/azure/batch/account-move,Move between regions,Move an Azure Batch account to another region - Azure Batch,,Learn how to move an Azure Batch account to a different region using an Azure Resource Manager template in the Azure portal.,"There are scenarios where you might want to move an existingAzure Batch accountfrom one region to another. For example, you might want to move for disaster recovery planning. This article explains how to move a Batch account between regions using the Azure portal. Moving Batch accounts directly from one region to another isn't possible. You can use an Azure Resource Manager template (ARM template) to export the existing configuration of your Batch account instead. Then, stage the resource in ano",2025-04-25T08:00:00.000Z,how-to,,0.4,False,"Primarily a procedural region-move guide using ARM templates; lacks detailed configuration tables, limits, or product-specific decision matrices."
https://learn.microsoft.com/en-us/azure/batch/accounts,Batch accounts,Batch accounts and Azure Storage accounts - Azure Batch,,Learn about Azure Batch accounts and how they're used from a development standpoint.,"An Azure Batch account is a uniquely identified entity within the Batch service. Many Batch solutions useAzure Storagefor storing resource files and output files, so each Batch account can be optionally associated with a corresponding storage account.",2025-04-02T08:00:00.000Z,concept-article,,0.2,False,"Conceptual explanation of Batch accounts and Storage accounts; no detailed configuration tables, limits, or troubleshooting mappings."
https://learn.microsoft.com/en-us/azure/batch/automatic-certificate-rotation,Enable certificate rotation,Enable automatic certificate rotation in a Batch pool - Azure Batch,Enable automatic certificate rotation in Azure Batch pools,You can create a Batch pool with a managed identity and a certificate that can automatically be renewed.,"You can create a Batch pool with a certificate that can automatically be renewed. To do so, your pool must be created with auser-assigned managed identitythat has access to the certificate inAzure Key Vault.",2024-04-16T08:00:00.000Z,concept-article,security,0.75,True,Product-specific security pattern combining user-assigned managed identities and Key Vault certificates with concrete configuration requirements.
https://learn.microsoft.com/en-us/azure/batch/batch-aad-auth,Microsoft Entra ID with Batch service,Authenticate Azure Batch services with Microsoft Entra ID - Azure Batch,Authenticate Azure Batch services with Microsoft Entra ID,Learn how to authenticate Azure Batch service applications with Microsoft Entra ID by using integrated authentication or a service principal.,"Azure Batch supports authentication withMicrosoft Entra ID, Microsoft's multitenant cloud based directory and identity management service. Azure uses Microsoft Entra ID to authenticate its own customers, service administrators, and organizational users. This article describes two ways to use Microsoft Entra authentication with Azure Batch: Integrated authenticationauthenticates a user who's interacting with an application. The application gathers a user's credentials and uses those credentials t",2025-04-02T08:00:00.000Z,how-to,security,0.75,True,"Details Batch-specific Entra ID authentication patterns (integrated auth vs service principal) and how they apply to Batch, which is product-specific identity configuration."
https://learn.microsoft.com/en-us/azure/batch/batch-aad-auth-management,Microsoft Entra ID with Batch Management,Use Microsoft Entra ID to authenticate Batch Management solutions - Azure Batch,Use Microsoft Entra ID with Batch Management .NET,Explore using Microsoft Entra ID to authenticate from applications that use the Batch Management .NET library.,"Applications that call the Azure Batch Management service authenticate withMicrosoft Authentication Library(Microsoft Entra ID). Microsoft Entra ID is Microsoft's multitenant cloud based directory and identity management service. Azure itself uses Microsoft Entra ID for the authentication of its customers, service administrators, and organizational users. The Batch Management .NET library exposes types for working with Batch accounts, account keys, applications, and application packages. The Bat",2024-06-24T08:00:00.000Z,how-to,security,0.7,True,"Provides concrete guidance on authenticating Batch Management operations via MSAL/Entra ID in the .NET library, including product-specific scopes and patterns."
https://learn.microsoft.com/en-us/azure/batch/batch-account-create-portal,Manage Batch accounts in the Azure portal,Create a Batch account in the Azure portal - Azure Batch,,Learn how to use the Azure portal to create and manage an Azure Batch account for running large-scale parallel workloads in the cloud.,"This article shows how to use the Azure portal to create anAzure Batch accountthat has account properties to fit your compute scenario. You see how to view account properties like access keys and account URLs. You also learn how to configure and create user subscription mode Batch accounts. For background information about Batch accounts and scenarios, seeBatch service workflow and resources.",2025-04-02T08:00:00.000Z,how-to,,0.3,False,Portal-based how-to for creating a Batch account; mostly step-by-step UI instructions without detailed config tables or expert-only constraints.
https://learn.microsoft.com/en-us/azure/batch/batch-analytics,Batch analytics,Azure Batch Analytics - Azure Batch,,The topics in Batch Analytics contain reference information for the events and alerts available for Batch service resources.,The topics in this section contain reference information for the events and alerts available for Batch service resources. SeeAzure Batch diagnostic loggingfor more information on enabling and consuming Batch diagnostic logs.,2025-04-02T08:00:00.000Z,reference,,0.3,False,Section overview for Batch Analytics events and alerts; summary suggests it links to detailed references but itself is an index/overview without specific parameters or codes.
https://learn.microsoft.com/en-us/azure/batch/batch-apis-tools,APIs and tools,APIs and tools for developers - Azure Batch,,Learn about the APIs and tools available for developing solutions with the Azure Batch service.,"Processing parallel workloads with Azure Batch is typically done programmatically by using one of the Batch APIs. Your client application or service can use the Batch APIs to communicate with the Batch service. With the Batch APIs, you can create and manage pools of compute nodes, either virtual machines or cloud services. You can then schedule jobs and tasks to run on those nodes. You can efficiently process large-scale workloads for your organization, or provide a service front end to your cus",2026-01-12T08:00:00.000Z,concept-article,,0.2,False,"Overview of APIs and tools available; primarily a navigation/overview page without deep config, limits, or decision criteria."
https://learn.microsoft.com/en-us/azure/batch/batch-application-packages,Using application packages,Deploy application packages to compute nodes - Azure Batch,Configure and deploy application packages to Azure Batch nodes,Learn how to use the application packages feature of Azure Batch to easily manage multiple applications and versions for installation on Batch compute nodes.,"Application packages can simplify the code in your Azure Batch solution and make it easier to manage the applications that your tasks run. With application packages, you can upload and manage multiple versions of the applications your tasks run, including their supporting files. You can then automatically deploy one or more of these applications to the compute nodes in your pool. The APIs for creating and managing application packages are part of theBatch Management .NETlibrary. The APIs for ins",2026-01-12T08:00:00.000Z,how-to,configuration,0.7,True,"Details Batch application packages, versioning, and deployment behavior via Management and Service APIs, which is product-specific configuration knowledge."
https://learn.microsoft.com/en-us/azure/batch/batch-applications-to-pool-nodes,Copying applications and data to pool nodes,Copy applications and data to pool nodes - Azure Batch,Configure methods to copy applications and data to Batch nodes,Learn how to copy applications and data to pool nodes.,"Azure Batch supports several ways for getting data and applications onto compute nodes so that they're available for use by tasks. The method you choose may depend on the scope of your file or application. Data and applications may be required to run the entire job, and so need to be installed on every node. Some files or applications may be required only for a specific task. Others may need to be installed for the job, but don't need to be on every node. Batch has tools for each of these scenar",2026-01-05T08:00:00.000Z,how-to,configuration,0.65,True,"Explains multiple Batch-specific mechanisms (start tasks, job prep, etc.) with when/how to use each to place data on nodes, which is concrete configuration of the service’s data distribution features."
https://learn.microsoft.com/en-us/azure/batch/batch-automatic-scaling,Autoscale compute nodes,Autoscale compute nodes in an Azure Batch pool - Azure Batch,Configure autoscaling for Azure Batch pools,Enable automatic scaling on an Azure Batch cloud pool to dynamically adjust the number of compute nodes in the pool.,"Azure Batch can automatically scale pools based on parameters that you define, saving you time and money. With automatic scaling, Batch dynamically adds nodes to a pool as task demands increase, and removes compute nodes as task demands decrease. To enable automatic scaling on a pool of compute nodes, you associate the pool with anautoscale formulathat you define. The Batch service uses the autoscale formula to determine how many nodes are needed to execute your workload. These nodes can be dedi",2025-06-05T08:00:00.000Z,how-to,configuration,0.7,True,"Covers Batch autoscale formulas and how they control node counts, including product-specific parameters and behaviors, which is detailed configuration knowledge."
https://learn.microsoft.com/en-us/azure/batch/batch-ci-cd,Create a CI/CD pipeline for Batch,Use Azure Pipelines to build and deploy an HPC solution - Azure Batch,Deploy Azure Batch HPC solutions with Azure Pipelines,Use Azure Pipelines CI/CD build and release pipelines to deploy Azure Resource Manager templates for an Azure Batch high performance computing (HPC) solution.,"Azure DevOps tools can automate building and testing Azure Batch high performance computing (HPC) solutions.Azure Pipelinesprovides modern continuous integration (CI) and continuous deployment (CD) processes for building, deploying, testing, and monitoring software. These processes accelerate your software delivery, allowing you to focus on your code rather than support infrastructure and operations. This article shows how to set up CI/CD processes by usingAzure Pipelineswith Azure Resource Mana",2025-04-02T08:00:00.000Z,how-to,deployment,0.75,True,"Product-specific CI/CD deployment pattern using Azure Pipelines and ARM templates for Batch HPC solutions, beyond generic pipeline usage."
https://learn.microsoft.com/en-us/azure/batch/batch-cli-get-started,Use Azure CLI,Get started with Azure CLI for Batch - Azure Batch,Manage Azure Batch accounts and jobs with Azure CLI,Learn how to manage Azure Batch service resources using the Azure Command Line Interface (Azure CLI).,"You can manage your Azure Batch accounts and resources using theAzure Command-Line Interface (Azure CLI). There are commands for creating and updating Batch resources such as pools, jobs, and tasks. You can also create scripts for many of the same tasks you do through Batch APIs, PowerShell cmdlets, and the Azure portal. You canrun the Azure CLI in Azure Cloud Shellorinstall the Azure CLI locally. Versions are available for Windows, Mac, and Linux operating systems (OS). This article explains ho",2026-01-05T08:00:00.000Z,how-to,configuration,0.65,True,"Covers Azure Batch-specific Azure CLI commands and options for managing pools, jobs, and tasks, which are concrete configuration/management interfaces."
https://learn.microsoft.com/en-us/azure/batch/batch-cli-templates,Use Batch CLI templates,Run jobs end-to-end using templates - Azure Batch,Run Azure Batch jobs end-to-end using CLI templates,"With only CLI commands, you can create a pool, upload input data, create jobs and associated tasks, and download the resulting output data.","Warning The Batch Azure CLI extension will be retired on30 September 2024. Please uninstall the extension with the commandaz extension remove --name azure-batch-cli-extensions. By using a Batch extension to Azure CLI, users can run Batch jobs without writing code. Create and use JSON template files with Azure CLI to create Batch pools, jobs, and tasks. Use CLI extension commands to easily upload job input files to the storage account associated with the Batch account, and download job output fil",2025-04-02T08:00:00.000Z,how-to,deployment,0.7,True,"Shows how to orchestrate full Batch workflows (pools, jobs, tasks, data movement) via CLI templates; includes product-specific template structure and commands for operational deployment of jobs."
