url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason
https://learn.microsoft.com/en-us/azure/confidential-computing/application-development,App enclaves overview,Azure confidential computing development tools,,Use tools and libraries to develop applications for confidential computing on Intel SGX,"Application enclaves, such as Intel SGX, are isolated environments that protect specific code and data. When creating enclaves, you must determine what part of the application runs within the enclave. When you create or manage enclaves, be sure to use compatible SDKs and frameworks for the chosen deployment stack. Note If you haven't already read theintroduction to Intel SGX VMs and enclaves, do so before continuing.",2024-04-28T11:16:00.000Z,concept-article,,0.35,False,High-level guidance on development tools and SDKs for Intel SGX enclaves; mostly conceptual and selection-oriented without detailed configuration tables or limits.
https://learn.microsoft.com/en-us/azure/confidential-computing/attestation,Attesting application enclaves,Attestation for SGX enclaves,,You can use attestation to verify that your Azure confidential computing SGX enclave is secure.,"Azure confidential computing offers Intel SGX-based virtual machines (VMs) for isolating a portion of your code or data. When youbuild with SGX enclaves, you can verify and validate that your trusted environment is secure. This verification is the process of attestation.",2022-08-22T22:06:00.000Z,concept-article,,0.35,False,"Conceptual description of attestation for SGX enclaves; explains what attestation is rather than providing specific error codes, policies, or configuration parameters."
https://learn.microsoft.com/en-us/azure/confidential-computing/attestation-solutions,Attestation,Attestation Types and Scenarios,Use attestation types for Azure confidential environments,Learn what attestation is and how to use it at Microsoft.,"Computing is an essential part of our daily lives. It powers everything from our smartphones to critical infrastructure. Increasingly strict regulatory environments, the prevalence of cyberattacks, and the growing sophistication of attackers make it difficult to trust the authenticity and integrity of the computing technologies that we depend on. Attestation is a technique to verify the software and hardware components of a system. It's a critical process for establishing and ensuring that the c",2025-05-07T17:04:00.000Z,concept-article,security,0.6,True,Explains Microsoft-specific attestation types and how they verify hardware/software integrity; attestation flows and usage are product-specific security configuration knowledge.
https://learn.microsoft.com/en-us/azure/confidential-computing/choose-confidential-containers-offerings,Container solutions overview,Choose container offerings for confidential computing,Select Azure confidential container offerings,"How to choose the right confidential container offerings to meet your security, isolation and developer needs.","This document is designed to help you guide through the process of selecting a container offering on Azure Confidential Computing that best suits your workload requirements and security posture. To make the most of the guide, we recommend the following prereads.",2024-02-06T23:04:00.000Z,concept-article,decision-making,0.78,True,"Explicitly a selection guide for container offerings on Azure Confidential Computing. Such pages typically include comparison criteria, scenario-based recommendations, and trade-offs between offerings, which matches decision-making guidance."
https://learn.microsoft.com/en-us/azure/confidential-computing/concept-skr-attestation,SKR with Azure Confidential Computing Concept,Secure Key Release with Azure Key Vault and Azure Confidential Computing,,Concept guide on what SKR is and its usage with Azure Confidential Computing Offerings,"Secure Key Release (SKR) is a functionality of Azure Key Vault (AKV) Managed HSM and Premium offering. Secure key release enables the release of an HSM protected key from AKV to an attested Trusted Execution Environment (TEE), such as a secure enclave, VM based TEEs etc. SKR adds another layer of access protection to your data decryption/encryption keys where you can target an application + TEE runtime environment with known configuration get access to the key material. The SKR policies defined ",2023-08-22T21:55:00.000Z,concept-article,,0.4,False,Conceptual overview of Secure Key Release and its use with TEEs; primarily explains what SKR is rather than providing concrete configuration parameters or policies.
https://learn.microsoft.com/en-us/azure/confidential-computing/confidential-ai,Confidential AI,Confidential AI - Azure Confidential Computing,Adopt confidential AI services on Azure,Confidential AI services and solutions,"AI has been shaping several industries such as finance, advertising, manufacturing, and healthcare well before the recent progress in generative AI. Generative AI models have the potential to create an even larger impact on society. Microsoft has been at the forefront of defining theprinciples of Responsible AIto serve as a guardrail for responsible use of AI technologies. Confidential computing and confidential AI are a key tool to enable security and privacy in the Responsible AI toolbox.",2023-05-23T14:25:00.000Z,concept-article,decision-making,0.6,True,"Connects confidential computing with responsible AI and describes confidential AI services/solutions, guiding when to use confidential AI for security and privacy."
https://learn.microsoft.com/en-us/azure/confidential-computing/confidential-clean-rooms,Azure Confidential Clean Room,Perform Protected Multiparty Data Collaboration on Azure,Plan protected multiparty collaboration with Confidential Clean Rooms,Learn how Azure Confidential Clean Rooms enables multiparty collaborations while preventing outside access to the data.,"Azure Confidential Clean Rooms offers a protected environment called aclean roomthat helps organizations overcome the security and privacy challenges of using sensitive data for data analytics, AI model development, and inferencing scenarios. Organizations can collaborate and analyze data in the clean room and use advanced privacy-enhancing features like protected governance and audit, verifiable trust, differential privacy, and controlled access. Azure Confidential Clean Rooms is built on top o",2025-01-16T18:03:00.000Z,concept-article,decision-making,0.6,True,"Describes when to use Azure Confidential Clean Rooms for multiparty analytics and AI with privacy features like differential privacy and controlled access, guiding service choice for collaboration scenarios."
https://learn.microsoft.com/en-us/azure/confidential-computing/confidential-computing-deployment-models,Deploying solutions on confidential computing,Choose Between Deployment Models,Choose Azure confidential computing deployment models,Choose between deployment models in Azure confidential computing.,Azure confidential computing supports multiple deployment models. These models support the wide variety of customer security requirements for modern cloud computing.,2024-12-04T23:05:00.000Z,concept-article,decision-making,0.65,True,"Explicitly focused on choosing between deployment models based on security requirements, providing decision guidance specific to Azure confidential computing."
https://learn.microsoft.com/en-us/azure/confidential-computing/confidential-computing-enclaves,Enclave development overview,Build with SGX enclaves - Azure Virtual Machines,,Learn about Intel SGX hardware to enable your confidential computing workloads.,"Intel SGX technology allows customers to create enclaves that protect data, and keep data encrypted while the CPU processes the data. Enclaves are secured portions of the hardware's processor and memory. You can't view data or code inside the enclave, even with a debugger. If untrusted code tries to change content in enclave memory, SGX disables the environment and denies the operations. These unique capabilities help you protect your secrets from being accessible in the clear. Think of an encla",2022-08-22T22:06:00.000Z,concept-article,,0.3,False,"Conceptual explanation of SGX enclaves and their security properties; does not focus on configuration, limits, or troubleshooting details."
https://learn.microsoft.com/en-us/azure/confidential-computing/confidential-computing-solutions,Building confidential computing solutions,Building Azure confidential solutions,Design solution patterns on Azure confidential computing,Learn how to build solutions on Azure confidential computing,"Azure confidential computing offers various options for building confidential solutions. The spectrum of option ranges from enabling ""lift and shift"" scenarios of existing applications, to a full control of various features of security. These features include control on the level of access. You set the host provider or guest operator access levels to data and code. You can also control other rootkit or malware access that may compromise the integrity of workloads running in the cloud.",2022-08-22T22:06:00.000Z,concept-article,architecture-patterns,0.6,True,Discusses spectrum from lift-and-shift to fully controlled confidential solutions and access-level choices; this is product-specific architecture guidance on how to structure confidential workloads.
