url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/cloud-adoption-framework/ai-agents/,Agents,AI Agent Adoption Guidance for Organizations - Cloud Adoption Framework,Adopt AI agents with CAF-based organizational guidance,"Discover how to adopt AI agents effectively with a step-by-step framework for planning, governance, integration, and measurement to maximize business impact.","This guidance provides a structured framework to help organizations successfully adopt AI agents as part of their broaderAI adoption strategy. It addresses the unique considerations that AI agents introduce. The series highlights Microsoft 365 agents and guidance for building custom agents using Microsoft Foundry and Microsoft Copilot Studio. It also includes strategies for designing an organization-wide data architecture to support AI agents at scale. Through this guidance, leaders will gain ac",2025-12-04T03:20:00.000Z,concept-article,scenarios,0.7,True,"This is workload-specific CAF guidance for AI agents, including planning, governance, integration, and measurement, plus data architecture for agents at scale. That matches the scenarios category as an AI-focused adoption scenario with CAF adaptations.",unchanged
https://learn.microsoft.com/en-us/azure/cloud-adoption-framework/ai-agents/build-secure-process,Process to build agents,Process to build agents process across your organization with Microsoft Foundry and Copilot Studio - Cloud Adoption Framework,Standardize and govern AI agent build processes,"Learn how to build and secure AI agents across your organization using Microsoft Foundry and Microsoft Copilot Studio. Follow a strategic framework for consistent, governed development.","This article outlines the standardized process that teams must follow to build AI agents consistently across the organization. This guidance focuses on the governance and structural decisions required to support development teams, rather than the technical implementation of individual workloads. Understanding this process is the final component of theBuild agentsphase in the AI agent adoption process (see figure 1). Figure 1. Microsoft's AI agent adoption process. Without a unified development p",2025-12-03T13:31:00.000Z,concept-article,governance,0.7,True,"Defines a standardized, organization-wide process for building AI agents with Microsoft Foundry and Copilot Studio, emphasizing governance and structural decisions rather than workload-level implementation. Focuses on consistent, governed development across teams, aligning with governance disciplines and operating standards rather than pure technical how-to.",unchanged
https://learn.microsoft.com/en-us/azure/cloud-adoption-framework/ai-agents/business-strategy-plan,Business plan,Business Plan for AI Agents - Cloud Adoption Framework,Create a business strategy and plan for AI agents,"Discover how to create a business strategy for AI agents that aligns with organizational goals, enhances operations, and drives innovation.","This article explains how to develop a business plan for AI agents that aligns your investment with organizational priorities. It guides you through identifying high-value use cases, ranking them by impact and feasibility, and defining success metrics to measure return on investment. Building this plan is the first step in thePlan for agentsphase of AI agent adoption (see figure 1). Without a well-defined plan, organizations risk wasting time and resources on use cases that are poorly suited for",2025-12-05T21:02:00.000Z,concept-article,strategy,0.84,True,"Guides identification and ranking of AI agent use cases, alignment with organizational priorities, and definition of success metrics/ROI—business drivers, outcomes, and metrics squarely in strategy.",unchanged
https://learn.microsoft.com/en-us/azure/cloud-adoption-framework/ai-agents/data-architecture-plan,Data architecture,Data architecture for AI agents across your organization - Cloud Adoption Framework,Plan enterprise data architecture for AI agents with Fabric,"Explore how Microsoft Fabric and OneLake enable AI agents to operate on unified, trusted data for better decision-making and automation.","This article outlines how to prepare your data estate for AI agents, ensuring they operate on a unified, secure, and governed foundation. Because agents synthesize information rather than create it, their accuracy depends entirely on the quality and accessibility of underlying sources. Fragmented or ungoverned data leads to misleading results and security risks. This planning is the final step in thePlan for agentsphase of AI agent adoption (see figure 1). Figure 1. Microsoft's AI agent adoption",2025-12-16T21:02:00.000Z,concept-article,planning,0.84,True,"Covers how to prepare the data estate (unified, secure, governed) using Microsoft Fabric and OneLake for AI agents—data estate planning and architecture, fitting planning.",unchanged
https://learn.microsoft.com/en-us/azure/cloud-adoption-framework/ai-agents/governance-security-across-organization,Governance and security,Governance and security for AI agents across the organization - Cloud Adoption Framework,Implement governance and security controls for AI agents,"Explore best practices for governing AI agents, from data residency laws to corporate compliance, to ensure secure and responsible AI deployment.","This article explains how to establish governance and security practices for AI agents across your organization. The formation of AI agent governance policies is critical to theGovern agentsstep in the AI agent adoption process (see figure 1). Figure 1. Microsoft's AI agent adoption process. Without proper governance, AI agents can introduce risks related to sensitive data exposure, compliance boundaries, and security vulnerabilities. This guidance shows how to implement controls that help prote",2025-12-05T19:05:00.000Z,concept-article,governance,0.88,True,"Provides best practices for governing AI agents across the organization, including data residency, compliance, and security controls—governance discipline with strong security component.",unchanged
https://learn.microsoft.com/en-us/azure/cloud-adoption-framework/ai-agents/governance-security-across-organization,Prepare environment,Governance and security for AI agents across the organization - Cloud Adoption Framework,Implement governance and security controls for AI agents,"Explore best practices for governing AI agents, from data residency laws to corporate compliance, to ensure secure and responsible AI deployment.","This article explains how to establish governance and security practices for AI agents across your organization. The formation of AI agent governance policies is critical to theGovern agentsstep in the AI agent adoption process (see figure 1). Figure 1. Microsoft's AI agent adoption process. Without proper governance, AI agents can introduce risks related to sensitive data exposure, compliance boundaries, and security vulnerabilities. This guidance shows how to implement controls that help prote",2025-12-05T19:05:00.000Z,concept-article,governance,0.88,True,"Duplicate of index 18; same CAF article on organization-wide governance and security for AI agents, covering compliance and control frameworks.",unchanged
https://learn.microsoft.com/en-us/azure/cloud-adoption-framework/ai-agents/integrate-manage-operate,4. Manage agents,Manage AI agents across your organization - Cloud Adoption Framework,Integrate and operate AI agents at scale,"Learn how to integrate and operate AI agents across your organization to enhance workflows, ensure security, and optimize costs with Microsoft tools.","This article provides guidance on integrating AI agents into business workflows and managing their lifecycle from deployment to retirement. Operational excellence ensures that agents deliver consistent value while maintaining security, compliance, and cost efficiency at scale. Learning how toManage agentsis the final step in the AI agent adoption process (see figure 1). Figure 1. Microsoft's AI agent adoption process. Integrating agents into daily operations requires an approach that balances ad",2025-12-04T00:54:00.000Z,concept-article,operations,0.75,True,"Covers lifecycle management, integration into business workflows, and ongoing operation of AI agents, including security, compliance, and cost efficiency at scale. This is expert operational guidance for managing AI agents post-deployment, matching operations & management (monitoring, optimization, and operational excellence) rather than initial setup or strategy.",unchanged
https://learn.microsoft.com/en-us/azure/cloud-adoption-framework/ai-agents/organization-people-readiness-plan,Organizational readiness,Organizational readiness for AI agents - Cloud Adoption Framework,Prepare organizational structures and teams for AI agents,"Explore strategies for organizational readiness, including platform governance, workload alignment, and AI Center of Excellence integration.","This article outlines strategies for organizational readiness, including platform governance, workload alignment, and AI Center of Excellence integration. Organizational readiness is the third step in thePlan for agentsphase of AI agent adoption (see figure 1). Figure 1. Microsoft's AI agent adoption process. Organizational readiness aligns team structures and skills to support AI agent development. It establishes clear responsibilities and governance models that enable scalable innovation. With",2025-12-04T00:54:00.000Z,concept-article,organization,0.86,True,"Focuses on organizational readiness: team structures, responsibilities, governance models, and AI CoE integration—explicitly about roles and operating model for AI agents.",unchanged
https://learn.microsoft.com/en-us/azure/cloud-adoption-framework/ai-agents/responsible-ai-across-organization,Responsible AI,Establishing Responsible AI Policies for AI Agents across Organizations - Cloud Adoption Framework,Establish responsible AI governance policies for AI agents,"Explore the principles of responsible AI to design ethical, transparent, and accountable AI agents for your organization.","This article explains how to establish responsible AI policies that ensure ethical, transparent, and accountable AI agent deployment across your organization. You learn how to create practical governance standards that integrate into existing workflows rather than creating bureaucratic obstacles. Responsible AI policies form the foundation of theGovern agentsstep in the AI agent adoption process (see figure 1). Figure 1. Microsoft's AI agent adoption process. Without clear responsible AI policie",2025-12-03T13:31:00.000Z,concept-article,governance,0.86,True,"Defines responsible AI policies, governance standards, and integration into workflows for AI agents—governance-focused with ethical and policy frameworks at scale.",unchanged
https://learn.microsoft.com/en-us/azure/cloud-adoption-framework/ai-agents/single-agent-multiple-agents,Single or multiple agents?,Choosing Between Building a Single-Agent System or Multi-Agent System - Cloud Adoption Framework,Decide between single-agent and multi-agent AI systems,Explore decision criteria for selecting single-agent or multi-agent architectures to optimize AI-powered solutions for your organization.,"This article provides criteria to help you decide whether to build single-agent or multi-agent systems across your organization. Organizations face this decision during theBuild agentsphase of AI agent adoption (see figure 1). Figure 1. Microsoft's AI agent adoption process. While workload teams need flexibility to make design decisions, organizations benefit from having a standard set of expectations. These expectations help guide how many agents are created and what will need to be governed an",2025-12-10T21:03:00.000Z,concept-article,scenarios,0.7,True,"Provides detailed, scenario-specific decision criteria for AI agent architectures within the CAF AI agents adoption process. This is workload-specific (AI agents) guidance that adapts CAF concepts to a particular scenario, going beyond generic patterns and including organization-level standards for how many agents to create and how they should be governed.",unchanged
