url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason
https://learn.microsoft.com/en-us/azure/machine-learning/apache-spark-azure-ml-concepts?view=azureml-api-2,Overview,Apache Spark in Azure Machine Learning - Azure Machine Learning,,This article explains the available options to access Apache Spark in Azure Machine Learning.,Azure Machine Learning integration with Azure Synapse Analytics provides easy access to distributed computation resources through the Apache Spark framework. This integration offers these Apache Spark computing experiences:,2025-11-13T08:00:00.000Z,concept-article,,0.2,False,"Conceptual overview of Apache Spark options in Azure ML; no detailed configuration tables, limits, or troubleshooting content indicated."
https://learn.microsoft.com/en-us/azure/machine-learning/azure-machine-learning-glossary?view=azureml-api-2,Glossary,Azure Machine Learning glossary - Azure Machine Learning,,Glossary of terms for the Azure Machine Learning platform.,"The Azure Machine Learning glossary is a short dictionary of terminology for the Machine Learning platform. For general Azure terminology, see also:",2025-03-07T18:02:00.000Z,overview,,0.1,False,"Glossary of terms; definitions only, no configuration, limits, or troubleshooting details."
https://learn.microsoft.com/en-us/azure/machine-learning/concept-automated-ml?view=azureml-api-2,Automated ML overview,What is automated ML? AutoML - Azure Machine Learning,,Learn how Azure Machine Learning can automatically generate a model by using the parameters and criteria you provide with automated machine learning.,"APPLIES TO:Python SDK azure-ai-mlv2 (current) Automated machine learning, also known as automated ML or AutoML, automates the time-consuming, iterative tasks of machine learning model development. With automated ML, data scientists, analysts, and developers can build machine learning models at scale with efficiency and productivity, while maintaining model quality. Automated ML in Azure Machine Learning is based on a breakthrough from theMicrosoft Research division.",2025-11-24T08:00:00.000Z,concept-article,,0.3,False,"Conceptual overview of automated ML in Azure ML; primarily explains what AutoML is and its benefits, not detailed configs or troubleshooting."
https://learn.microsoft.com/en-us/azure/machine-learning/concept-automl-forecasting-at-scale?view=azureml-api-2,Forecasting at scale,Forecasting at scale - Azure Machine Learning,,Learn about different ways to scale forecasting model training,"This article discusses training forecasting models on large quantities of historical data. For instructions and examples on training forecasting models in AutoML, seeset up AutoML for time series forecasting. Time series data can be large because of the number of series in the data, the number of historical observations, or both.Many modelsand hierarchical time series, orHTS, are scaling solutions for the first scenario, where the data consists of a large number of time series. In these cases, p",2025-11-14T08:00:00.000Z,concept-article,,0.4,False,"Discusses strategies for scaling forecasting in AutoML; appears conceptual (many models, HTS) without explicit configuration parameter tables or limits."
https://learn.microsoft.com/en-us/azure/machine-learning/concept-automl-forecasting-calendar-features?view=azureml-api-2,Calendar features,Calendar features for time series forecasting in AutoML - Azure Machine Learning,Use AutoML calendar and holiday features for forecasting,Learn how Azure Machine Learning's AutoML creates calendar and holiday features,"This article focuses on the calendar-based features that AutoML creates to increase the accuracy of forecasting regression models. Since holidays can have a strong influence on how the modeled system behaves, the time before, during, and after a holiday can bias the series’ patterns. Each holiday generates a window over your existing dataset that the learner can assign an effect to. This can be especially useful in scenarios such as holidays that generate high demands for specific products. See ",2025-03-03T08:00:00.000Z,concept-article,best-practices,0.65,True,"Describes product-specific behavior of how AutoML generates calendar and holiday features, including how holiday windows are constructed and applied to time series. This is concrete, implementation-specific guidance beyond generic ML knowledge, but not limits/quotas or configuration tables."
https://learn.microsoft.com/en-us/azure/machine-learning/concept-automl-forecasting-deep-learning?view=azureml-api-2,Deep learning models,Deep learning with AutoML forecasting - Azure Machine Learning,,Learn how Azure Machine Learning's AutoML uses deep learning to forecast time series values,"This article focuses on the deep learning methods for time series forecasting in AutoML. For instructions and examples on training forecasting models in AutoML, seeset up AutoML for time series forecasting. Deep learning has numerous use cases in fields ranging fromlanguage modelingtoprotein folding, among many others. Time series forecasting also benefits from recent advances in deep learning technology. For example, deep neural network (DNN) models feature prominently in the top performing mod",2025-11-14T08:00:00.000Z,concept-article,,0.4,False,Deep learning forecasting overview for AutoML; focuses on methods and use cases rather than product-specific configuration or troubleshooting details.
https://learn.microsoft.com/en-us/azure/machine-learning/concept-automl-forecasting-evaluation?view=azureml-api-2,Inference and evaluation,Inference and evaluation of forecasting models - Azure Machine Learning,Run inference and evaluate AutoML forecasting models,Learn about different ways to inference and evaluate forecasting models using Azure Machine Learning.,"This article introduces concepts related to model inference and evaluation in forecasting tasks. For instructions and examples for training forecasting models in AutoML, seeSet up AutoML to train a time-series forecasting model with SDK and CLI. After you use AutoML to train and select a best model, the next step is to generate forecasts. Then, if possible, evaluate their accuracy on a test set held out from the training data. To see how to setup and run forecasting model evaluation in automated",2025-11-14T08:00:00.000Z,concept-article,best-practices,0.6,True,"Covers Azure ML–specific ways to perform inference and evaluation for forecasting models, including how AutoML structures evaluation. This is concrete product behavior and workflow guidance, not just conceptual evaluation theory."
https://learn.microsoft.com/en-us/azure/machine-learning/concept-automl-forecasting-lags?view=azureml-api-2,Lag features,Lag features for time-series forecasting in AutoML - Azure Machine Learning,Leverage lag and rolling features in AutoML forecasting,Explore how automated machine learning (AutoML) in Azure Machine Learning creates lag and rolling window aggregation to forecast time-series regression models.,"This article describes how automated machine learning (AutoML) in Azure Machine Learning creates lag and rolling window aggregation features to help you forecast time-series regression models. The AutoML features use historical model data that can significantly increase model accuracy by helping the model learn correlational patterns in time. If you're interested in learning more about the forecasting methodology in AutoML, seeOverview of forecasting methods in AutoML. To explore training exampl",2025-02-26T08:00:00.000Z,concept-article,best-practices,0.7,True,"Explains Azure AutoML’s specific strategy for creating lag and rolling window aggregation features for time-series, including how historical data is transformed. This is product-specific feature engineering behavior, not generic ML theory."
https://learn.microsoft.com/en-us/azure/machine-learning/concept-automl-forecasting-methods?view=azureml-api-2,Forecasting methods,Overview of forecasting methods in AutoML - Azure Machine Learning,,"Learn how AutoML in Azure Machine Learning uses machine learning to build forecasting models, including time series or regression models for predictions.","This article describes the methods that AutoML in Azure Machine Learning uses to prepare time series data and build forecasting models. What you'll learn: For instructions and examples about training forecasting models in AutoML, seeSet up AutoML for time series forecasting.",2025-11-24T23:11:00.000Z,overview,,0.4,False,"Overview of forecasting methods in AutoML; mostly methodological description without clear indication of configuration tables, limits, or error mappings."
https://learn.microsoft.com/en-us/azure/machine-learning/concept-automl-forecasting-sweeping?view=azureml-api-2,Model sweeping and selection,Models sweeping & selection for forecasting in AutoML - Azure Machine Learning,,Explore how you can use automated machine learning (AutoML) in Azure Machine Learning to search for (sweep) and select forecasting models.,"This article describes how automated machine learning (AutoML) in Azure Machine Learning searches for and selects forecasting models. If you're interested in learning more about the forecasting methodology in AutoML, seeOverview of forecasting methods in AutoML. To explore training examples for forecasting models in AutoML, seeSet up AutoML to train a time-series forecasting model with the SDK and CLI.",2025-03-11T08:00:00.000Z,concept-article,,0.4,False,Describes model sweeping and selection for forecasting in AutoML; methodology-focused rather than configuration/limits/troubleshooting oriented.
