url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason
https://learn.microsoft.com/en-us/azure/virtual-desktop/add-session-hosts-host-pool,Add session hosts to a host pool,Add session hosts to a host pool - Azure Virtual Desktop,Add and manage session hosts in an Azure Virtual Desktop host pool,Learn how to add session host virtual machines to a host pool in Azure Virtual Desktop.,"Important The following features are currently in preview: Azure Virtual Desktop on Azure Local for Azure Government and for Azure operated by 21Vianet (Azure in China). Managing session hosts using a session host configuration. This limited preview is provided as-is, with all faults and as available, and is excluded from the service-level agreements (SLAs) or any limited warranties Microsoft provides for Azure services in general availability. For legal terms that apply to Azure features that a",2025-06-20T03:01:00.000Z,how-to,configuration,0.66,True,"Adding session hosts involves specific AVD host pool settings, registration tokens, and VM configuration parameters that are concrete configuration knowledge."
https://learn.microsoft.com/en-us/azure/virtual-desktop/administrative-template,Administrative template,Add the administrative template for Azure Virtual Desktop to Group Policy - Azure Virtual Desktop,Configure Azure Virtual Desktop ADMX with Group Policy,Learn how to add the administrative template (ADMX) for Azure Virtual Desktop to Group Policy to configure certain features.,"We've created an administrative template for Azure Virtual Desktop to configure some features of Azure Virtual Desktop. The template is available for: Microsoft Intune, which enables you to centrally configure session hosts that are enrolled in Intune and joined to Microsoft Entra ID or Microsoft Entra hybrid joined. The administrative template is available in the Intune settings catalog without any further configuration. Group Policy with Active Directory (AD), which enables you to centrally co",2025-06-20T03:01:00.000Z,how-to,configuration,0.78,True,"Describes adding and using the AVD administrative template; such pages list specific policy names, registry paths, and settings exposed via ADMX, which are detailed configuration parameters unique to this product."
https://learn.microsoft.com/en-us/azure/virtual-desktop/agent-overview,Azure Virtual Desktop Agent,Get started with the Azure Virtual Desktop Agent - Azure Virtual Desktop,Diagnose and manage Azure Virtual Desktop agent issues,An overview of the Azure Virtual Desktop Agent and update processes.,"In the Azure Virtual Desktop Service framework, there are three main components: the Remote Desktop client, the service, and the virtual machines. These virtual machines live in the customer subscription where the Azure Virtual Desktop agent and agent bootloader are installed. The agent acts as the intermediate communicator between the service and the virtual machines, enabling connectivity. Therefore, if you're experiencing any issues with the agent installation, update, or configuration, your ",2025-06-20T03:01:00.000Z,conceptual,troubleshooting,0.65,True,"Agent overview for AVD commonly documents specific agent states, logs, update channels, and failure modes that are used to diagnose connectivity and update problems, fitting symptom→cause style troubleshooting knowledge."
https://learn.microsoft.com/en-us/azure/virtual-desktop/agent-updates-diagnostics,Monitor Agent updates,Set up diagnostics for monitoring agent updates - Azure Virtual Desktop,,How to set up diagnostic reports to monitor agent updates.,"Diagnostic logs can tell you which agent version is installed for an update, when it was installed, and if the update was successful. If an update is unsuccessful, it might be because the session host was turned off during the update. If that happened, you should turn the session host back on. This article describes how to use diagnostic logs in a Log Analytics workspace to monitor agent updates.",2025-06-20T03:01:00.000Z,how-to,,0.3,False,"Focuses on setting up diagnostics/logging for agent updates; summary does not indicate detailed error codes, parameters, or product-specific config tables beyond general monitoring steps."
https://learn.microsoft.com/en-us/azure/virtual-desktop/app-attach-create-msix-image,Create an MSIX image,Create an MSIX image to use with App Attach in Azure Virtual Desktop - Azure - Azure Virtual Desktop,,"To use App Attach in Azure Virtual Desktop, you need to expand an MSIX-packaged application into an MSIX image. This article shows you how to create an MSIX image.","To use MSIX packages with App Attach in Azure Virtual Desktop, you need to expand an MSIX package application into an MSIX image. This article shows you how to create an MSIX image.",2025-08-29T17:35:00.000Z,how-to,,0.4,False,Step-by-step guide to create an MSIX image; likely procedural packaging steps rather than reusable configuration matrices or product-specific limits.
https://learn.microsoft.com/en-us/azure/virtual-desktop/app-attach-overview,App Attach overview,App Attach in Azure Virtual Desktop - Azure Virtual Desktop,,Learn how you can dynamically attach applications from an application package to a user session using App Attach in Azure Virtual Desktop.,"App Attach enables you to dynamically attach applications from an application package to a user session in Azure Virtual Desktop. Applications aren't installed locally on session hosts or images, making it easier to create custom images for your session hosts, and reducing operational overhead and costs for your organization. Applications run within containers, which separate user data, the operating system, and other applications, increasing security and making them easier to troubleshoot. Here",2025-06-20T03:01:00.000Z,conceptual,,0.3,False,"Overview of App Attach; summary indicates conceptual explanation of what it is and benefits, not detailed configuration tables or limits."
https://learn.microsoft.com/en-us/azure/virtual-desktop/app-attach-partner-solutions,Partner solutions with App Attach,Deliver applications from partner solutions with App Attach - Azure Virtual Desktop,,Learn how to deliver applications to your remote desktop or app using partner solutions with App Attach.,Several partners provide application delivery solutions to Azure Virtual Desktop via integration withApp Attach. This article provides links to those partners where you can read more about connecting to Azure Virtual Desktop. You can also use our native App Attach solution to dynamically deliver applications to your session hosts.,2025-06-20T03:01:00.000Z,how-to,,0.2,False,"Primarily a link hub to partner solutions; no indication of detailed configuration parameters, limits, or troubleshooting content."
https://learn.microsoft.com/en-us/azure/virtual-desktop/app-attach-setup,Add and manage App Attach applications,Add and manage App Attach applications in Azure Virtual Desktop - Azure Virtual Desktop,Add and manage App Attach applications in AVD,"Learn how to add and manage applications with App Attach in Azure Virtual Desktop using the Azure portal and Azure PowerShell, where you can dynamically attach applications from an application package","App Attach enables you to dynamically attach applications from an application package to a user session in Azure Virtual Desktop. Applications aren't installed locally on session hosts or images, enabling you to create fewer custom images for your session hosts, and reducing operational overhead and costs for your organization. Delivering applications with App Attach also gives you greater control over which applications your users can access in a remote session. This article shows you how to ad",2025-06-20T03:01:00.000Z,how-to,configuration,0.65,True,"Managing App Attach apps via portal/PowerShell typically involves specific configuration parameters (image paths, staging modes, registration options) that are product-specific settings."
https://learn.microsoft.com/en-us/azure/virtual-desktop/app-attach-test-msix-packages,Test MSIX packages,Test and troubleshoot MSIX packages for App Attach in Azure Virtual Desktop - Azure Virtual Desktop,Test and troubleshoot MSIX App Attach packages for AVD,Learn how to mount disk images for testing and troubleshooting outside of Azure Virtual Desktop.,"This article shows you how to mount MSIX packages outside of Azure Virtual Desktop to help test your packages for App Attach. The APIs that power App Attach are available for Windows 11 Enterprise and Windows 10 Enterprise. These APIs can be used outside of Azure Virtual Desktop for testing, however there's no management plane for App Attach outside of Azure Virtual Desktop. For more information about App Attach, seeApp Attach in Azure Virtual Desktop.",2025-06-20T03:01:00.000Z,how-to,troubleshooting,0.7,True,"Explicitly about testing and troubleshooting MSIX packages; likely includes specific commands, mounting options, and symptom→cause→fix guidance for App Attach scenarios."
https://learn.microsoft.com/en-us/azure/virtual-desktop/apply-windows-license,Use Azure Virtual Desktop license,Apply Windows license to session host virtual machines - Azure - Azure Virtual Desktop,Apply Windows licensing to Azure Virtual Desktop session hosts,Describes how to apply the Windows license for Azure Virtual Desktop VMs.,"Customers who are properly licensed to run Azure Virtual Desktop workloads are eligible to apply a Windows license to their session host virtual machines and run them without paying for another license. For more information, seeAzure Virtual Desktop pricing.",2025-06-20T03:01:00.000Z,how-to,configuration,0.64,True,"How-to for applying Windows license benefits to AVD VMs; typically involves specific VM configuration flags or Azure settings that control licensing behavior, which are product-specific configuration details."
