url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason
https://learn.microsoft.com/en-us/azure/architecture/ai-ml/,AI + Machine Learning,AI Architecture Design - Azure Architecture Center,,"Get started with AI. Use high-level architectural types, see Azure AI platform offerings, and find customer success stories.","AI is a technology that machines use to imitate intelligent human behavior. Machines can use AI to do the following tasks: You can incorporate AI into applications to do functions or make decisions that traditional logic or processing can't handle effectively. As an architect who designs solutions, you need to learn about the AI and machine learning landscape and how you can integrate Azure solutions into your workload design.",2026-01-13T18:33:00.000Z,concept-article,,0.1,False,High-level AI architecture overview and platform introduction; primarily conceptual and marketing-style guidance without detailed configs or limits.
https://learn.microsoft.com/en-us/azure/architecture/ai-ml/architecture/secure-compute-for-research,Secure research for regulated data,Design a Secure Research Environment for Regulated Data - Azure Architecture Center,Design secure Azure research environments for regulated data,Learn how to design an architecture on Azure for a regulated environment that allows researchers to access sensitive data.,This article describes a secure research environment that provides researchers access to sensitive data that requires a high level of control and protection. The architecture supports organizations that must adhere to regulatory compliance or other strict security requirements.,2026-01-01T06:03:00Z,example-scenario,architecture-patterns,0.68,True,"Architecture Center scenario describing a secure research environment for regulated data; includes product-specific architectural choices, controls, and trade-offs for sensitive data access beyond generic concepts."
https://learn.microsoft.com/en-us/azure/architecture/ai-ml/guide/choose-ai-model,Choose an AI model for your workload,Choose the Right AI Model for Your Workload - Azure Architecture Center,Select the right AI model for Azure workloads,"Learn strategies to help you select the best model for your AI workload, including key criteria and practical considerations for decision-making.","In the rapidly evolving landscape of AI development, selecting the right model is both a foundational and strategic decision. Thousands of models are available for deployment, with more being developed and released regularly. This article focuses on strategies that you can use to improve the decision-making process. Note If your chosen model meets your workload requirements, you can continue to use it. General-purpose models like GPT-5 can handle a wide range of tasks effectively. Continuing to ",2025-11-18T06:04:00.000Z,concept-article,architecture-patterns,0.65,True,"Provides strategies and practical considerations for choosing AI models (including general-purpose models) for workloads; contains decision patterns and criteria beyond generic ML theory, tailored to Azure AI usage."
https://learn.microsoft.com/en-us/azure/architecture/ai-ml/guide/data-science-and-machine-learning,Machine learning,Overview of Microsoft Machine Learning Products and Technologies - Azure Architecture Center,Compare Microsoft machine learning products and platforms,"Compare options for building, deploying, and managing your machine learning models. Decide which Microsoft products to choose for your solution.","Learn about the machine learning products and technologies from Microsoft. Compare options to help you choose how to most effectively build, deploy, and manage your machine learning solutions.",2025-01-29T18:32:00.000Z,concept-article,architecture-patterns,0.65,True,"Architecture Center guide that compares Microsoft ML products for building, deploying, and managing models; offers product-specific decision criteria for choosing the right ML platform."
https://learn.microsoft.com/en-us/azure/architecture/antipatterns/,Overview,Performance testing and antipatterns - Azure Architecture Center,,Build scalability solutions for common stressors by learning about performance antipatterns. These are common practices that are likely to cause scalability problems when an application is under press,"Performance antipatterns, much like design patterns, are common defective processes and implementations within organizations. These are common practices that are likely to cause scalability problems when an application is under pressure. Awareness of these practices can help simplify communication of high-level concepts among software practitioners, and knowledge of antipatterns can be helpful when reviewing code or diagnosing performance issues. Here's a common scenario: An application behaves ",2023-12-13T08:00:00.000Z,design-pattern,,0.35,False,Landing page for performance antipatterns; summary is conceptual and does not itself contain detailed product-specific patterns or configurations.
https://learn.microsoft.com/en-us/azure/architecture/antipatterns/busy-database/,Busy Database,Busy Database antipattern - Azure Architecture Center,,"Understand the Busy Database antipattern, which can cause performance and scalability problems by offloading processing to a database server.","Offloading processing to a database server can cause it to spend a significant proportion of time running code, rather than responding to requests to store and retrieve data.",2022-12-16T18:32:00.000Z,design-pattern,,0.45,False,"Busy Database antipattern description is conceptual (offloading processing to DB); summary does not show Azure-specific metrics, configs, or quantified guidance."
https://learn.microsoft.com/en-us/azure/architecture/antipatterns/busy-front-end/,Busy Front End,Busy Front End antipattern - Azure Architecture Center,,Asynchronous work on a large number of background threads can starve other foreground tasks of resources.,"Performing asynchronous work on a large number of background threads can starve other concurrent foreground tasks of resources, decreasing response times to unacceptable levels.",2025-09-16T05:03:00.000Z,design-pattern,,0.45,False,Busy Front End antipattern description is conceptual (too many background threads); summary lacks Azure-specific configuration values or numeric thresholds.
https://learn.microsoft.com/en-us/azure/architecture/antipatterns/chatty-io/,Chatty I/O,Chatty I/O antipattern - Azure Architecture Center,,"Learn about the cumulative effect of many I/O requests, which can have a significant impact on performance and responsiveness.",The cumulative effect of a large number of I/O requests can have a significant impact on performance and responsiveness.,2022-12-16T18:32:00.000Z,design-pattern,,0.3,False,"Antipattern description for chatty I/O with general guidance; no product-specific limits, configs, or quantified thresholds."
https://learn.microsoft.com/en-us/azure/architecture/antipatterns/extraneous-fetching/,Extraneous Fetching,Extraneous Fetching antipattern - Azure Architecture Center,,"Learn about ways to mitigate the Extraneous Fetching antipattern, the common design flaw of fetching more data than needed for a business operation.","Antipatterns are common design flaws that can break your software or applications under stress situations and should not be overlooked. In anextraneous fetching antipattern, more than needed data is retrieved for a business operation, often resulting in unnecessary I/O overhead and reduced responsiveness.",2025-12-09T06:03:00.000Z,design-pattern,,0.3,False,"Extraneous fetching antipattern is described conceptually; lacks product-specific parameters, limits, or concrete configuration values."
https://learn.microsoft.com/en-us/azure/architecture/antipatterns/improper-instantiation/,Improper Instantiation,Improper Instantiation antipattern - Azure Architecture Center,,Avoid continually creating new instances of an object that is meant to be created once and then shared.,"Sometimes new instances of a class are continually created, when it's meant to be created once and then shared. This behavior can hurt performance and is called animproper instantiation antipattern. An antipattern is a common response to a recurring problem that is usually ineffective and might be counter-productive.",2022-12-16T18:32:00.000Z,design-pattern,,0.3,False,Improper instantiation antipattern content is generic performance guidance without product-specific settings or numeric thresholds.
https://learn.microsoft.com/en-us/azure/architecture/antipatterns/monolithic-persistence/,Monolithic Persistence,Monolithic Persistence Antipattern - Azure Architecture Center,,"Learn about the Monolithic Persistence antipattern, which can weaken performance by putting all of an application's data into a single data store.","Putting all of an application's data into a single data store can weaken performance, either because it leads to resource contention or because the data store isn't a good fit for some of the data.",2025-04-25T17:31:00.000Z,design-pattern,,0.3,False,"Monolithic persistence antipattern is high-level architecture guidance; no concrete limits, configs, or decision matrices with numbers."
https://learn.microsoft.com/en-us/azure/architecture/antipatterns/no-caching/,No Caching,No Caching antipattern - Azure Architecture Center,,"Learn about ways to mitigate the No Caching antipattern, the common design flaw of repeatedly fetching the same data.","Antipatterns are common design flaws that can break your software or applications under stress situations and should not be overlooked. Ano caching antipatternoccurs when a cloud application that handles many concurrent requests, repeatedly fetches the same data. This can reduce performance and scalability. When data isn't cached, it can result in undesirable behaviors: In turn, these problems can lead to poor response times, increased contention in the data store, and poor scalability.",2025-10-30T17:34:00.000Z,design-pattern,,0.3,False,No caching antipattern is explained conceptually; does not expose product-specific cache configuration values or quantified impacts.
https://learn.microsoft.com/en-us/azure/architecture/antipatterns/noisy-neighbor/noisy-neighbor,Noisy Neighbor,Noisy Neighbor Antipattern - Azure Architecture Center,,Learn how the activity of one tenant can negatively affect the performance and reliability of other tenants in a multitenant system.,"Multitenant systems share resources between two or more tenants. Because tenants use the same shared resources, the activity of one tenant can negatively affect another tenant's use of the system.",2025-07-02T05:04:00Z,design-pattern,,0.3,False,"Noisy neighbor antipattern in multitenant systems is described at a conceptual level without concrete quotas, configs, or error mappings."
https://learn.microsoft.com/en-us/azure/architecture/antipatterns/retry-storm/,Retry Storm,Retry Storm Antipattern - Azure Architecture Center,,"Learn how to prevent retry storms in cloud applications by using smart retry strategies, circuit breakers, and telemetry insights.","When a service becomes unavailable or busy, frequent client retries can prevent the service from recovering and worsen the problem. Retrying indefinitely is ineffective because requests typically remain valid only for a limited time.",2025-08-11T17:34:00.000Z,design-pattern,,0.3,False,"Retry storm antipattern guidance is general (use smart retries, circuit breakers); lacks product-specific retry parameters or limits."
https://learn.microsoft.com/en-us/azure/architecture/antipatterns/synchronous-io/,Synchronous I/O,Synchronous I/O antipattern - Azure Architecture Center,,Blocking the calling thread while I/O completes can reduce performance and affect vertical scalability.,Blocking the calling thread while I/O completes can reduce performance and affect vertical scalability.,2022-12-16T18:32:00.000Z,design-pattern,,0.3,False,Synchronous I/O antipattern is generic performance advice; no Azure-service-specific configuration values or numeric thresholds.
https://learn.microsoft.com/en-us/azure/architecture/aws-professional/,Overview,Azure for AWS Professionals - Azure Architecture Center,Map AWS services and concepts to Azure platform,"Learn about the basics of the Microsoft Azure platform, accounts, and services. Discover key similarities and differences between the AWS and Azure platforms.","This article introduces a series of articles that help Amazon Web Services (AWS) experts understand the basics of the Microsoft Azure platform, accounts, and services. This article describes key similarities and differences between AWS and Azure. Whether you're designing a multicloud solution that uses both Azure and AWS or migrating from AWS to Azure, you can compare the capabilities of Azure and AWS services in all categories. The articles in this series describe: Use the table of contents to ",2025-02-11T18:30:00.000Z,concept-article,comparing,0.7,True,"Introduces a series that systematically compares AWS and Azure services. Even if high-level, it provides structured mapping guidance that is specific to these platforms and used for multicloud/migration decisions."
https://learn.microsoft.com/en-us/azure/architecture/aws-professional/accounts,Accounts,Compare AWS and Azure Accounts - Azure Architecture Center,Compare AWS and Azure account structures,Learn the differences between Azure and AWS accounts and subscriptions. Understand the types of administrator accounts in Azure.,"This article compares the account and organizational structure of Azure with that of Amazon Web Services (AWS). For links to articles that compare other AWS and Azure services and a complete service mapping between AWS and Azure, seeAzure for AWS professionals.",2025-01-07T18:31:00.000Z,concept-article,comparing,0.75,True,"Explains concrete differences between AWS accounts and Azure subscriptions, including organizational structure and admin account types. This is platform-specific comparison knowledge useful for migration and multicloud planning."
https://learn.microsoft.com/en-us/azure/architecture/aws-professional/compute,Compute,Compare AWS and Azure compute services - Azure Architecture Center,Compare AWS and Azure compute services,"Compare the compute services in Azure and AWS. Explore the differences in virtual machines, containers, and serverless technologies.",This article compares the core compute services that Microsoft Azure and Amazon Web Services (AWS) offer.,2025-12-09T18:34:00.000Z,concept-article,comparing,0.75,True,"Provides a structured comparison of compute offerings (VMs, containers, serverless) between AWS and Azure, mapping concrete services and capabilities. This is decision-focused comparison content."
https://learn.microsoft.com/en-us/azure/architecture/aws-professional/data-ai,Data and AI,Data and AI - Azure Architecture Center,Compare Azure and AWS data and AI services,"Compare Azure data and AI services to corresponding AWS services. Understand key differences in data integration, analytics, machine learning, and AI capabilities.","This article compares core Azure data and AI services to corresponding Amazon Web Services (AWS) solutions. For comparison of other Azure and AWS services, seeAzure for AWS professionals.",2025-11-01T05:02:00.000Z,concept-article,comparing,0.75,True,"Maps Azure data/AI services to AWS equivalents and highlights key differences in integration, analytics, ML, and AI. This is platform-specific comparison guidance for architects."
https://learn.microsoft.com/en-us/azure/architecture/aws-professional/databases,Databases,Compare AWS and Azure database technology - Azure Architecture Center,Compare AWS and Azure database technologies,Compare database technology differences between Azure and AWS. Review the Amazon RDS and Azure relational database services. See equivalents for analytics and big data.,This article helps map familiar AWS database services to the equivalent offerings from Microsoft.,2025-12-10T18:34:00.000Z,concept-article,comparing,0.75,True,Provides concrete mapping between AWS database services (like RDS) and Azure relational/analytics/big data offerings. This is detailed comparison knowledge for migration and design decisions.
https://learn.microsoft.com/en-us/azure/architecture/aws-professional/eks-to-aks/,AKS for Amazon EKS professionals,AKS for Amazon EKS Professionals - Azure Architecture Center,Understand AKS for Amazon EKS professionals,"Learn about the AKS managed solution, configurations, best practices, and similarities and differences compared to Amazon EKS.","This series of articles helps professionals who are familiar with Amazon Elastic Kubernetes Service (EKS) understandAzure Kubernetes Service (AKS). The series highlights key similarities and differences between these two managed Kubernetes solutions. The articles compare AKS with Amazon EKS in the following Kubernetes design areas: These articles provide recommended architectures and practices to improve AKS deployment security, compliance, management, and observability. Specifically, theMigrate",2025-10-01T05:04:00.000Z,concept-article,comparing,0.7,True,Series compares AKS and EKS across multiple Kubernetes design areas and provides recommended architectures and practices. The cross-platform mapping and targeted guidance are comparison-focused.
https://learn.microsoft.com/en-us/azure/architecture/aws-professional/eks-to-aks/cost-management,Cost management and optimization,Cost Management for Kubernetes - Azure Architecture Center,Manage and optimize AKS costs vs EKS,"Understand Kubernetes cluster and workload costs, learn how to optimize and govern costs, and compare AKS and Amazon EKS options.",This article explains pricing and cost management in Azure Kubernetes Service (AKS) compared to Amazon Elastic Kubernetes Service (EKS). It describes how to optimize costs and implement cost governance solutions for your AKS cluster. Note This article is part of aseries of articlesthat helps professionals who are familiar withAmazon EKSunderstandAzure Kubernetes Service (AKS).,2025-04-08T17:31:00.000Z,concept-article,comparing,0.7,True,"Explains pricing and cost management in AKS compared to EKS and how to optimize and govern costs. These guides typically include SKU- and feature-level differences (for example, control plane billing, node pool models, autoscaling behaviors) that are specific to the platforms, making it expert comparison knowledge aligned with comparing."
https://learn.microsoft.com/en-us/azure/architecture/aws-professional/eks-to-aks/governance,Cluster governance,Governance Options for a Kubernetes Cluster - Azure Architecture Center,Govern Kubernetes clusters on AKS vs EKS,"Understand governance options for a Kubernetes cluster, and compare Amazon EKS and Azure Kubernetes Service (AKS) governance options.","Governance refers to an organization's ability to enforce and validate rules to help guarantee compliance with corporate standards. Governance helps organizations mitigate risks, comply with corporate standards and external regulations, and minimize interruption to adoption or innovation. Governance includes planning initiatives, setting strategic priorities, and using mechanisms and processes to control applications and resources. For Kubernetes clusters in a cloud environment, governance means",2025-04-08T17:31:00.000Z,concept-article,comparing,0.6,True,"Covers governance options for Kubernetes clusters and compares EKS and AKS governance. These documents usually detail specific services (Azure Policy, Azure RBAC, AWS equivalents) and how they apply to clusters, which is platform-specific comparison and decision guidance, so comparing is the best fit."
https://learn.microsoft.com/en-us/azure/architecture/aws-professional/eks-to-aks/migrate,Migrate Amazon EKS to AKS,Migrate from Amazon Elastic Kubernetes Service to Azure Kubernetes Service - Azure Architecture Center,,Learn how to migrate stateless and stateful workloads from Amazon Elastic Kubernetes Service (EKS) to Azure Kubernetes Service (AKS).,This article describes strategies to migrate typical stateless and stateful workloads from Amazon Elastic Kubernetes Service (EKS) to Azure Kubernetes Service (AKS).,2025-04-08T17:31:00.000Z,concept-article,,0.4,False,"Describes strategies to migrate workloads from EKS to AKS. Based on the summary, it is likely a high-level migration strategy/tutorial without detailed configuration matrices, limits, or error-code-based troubleshooting. It reads as conceptual and procedural guidance rather than the specific expert-knowledge patterns defined in the sub-skills."
https://learn.microsoft.com/en-us/azure/architecture/aws-professional/eks-to-aks/monitoring,Cluster monitoring and logging,Kubernetes Monitoring and Logging - Azure Architecture Center,Compare and configure AKS vs EKS monitoring,"Understand monitoring and logging for an Azure Kubernetes Service (AKS) cluster and workloads, and compare Amazon EKS and AKS monitoring and logging.",This article compares Azure Kubernetes Service (AKS) monitoring and Amazon Elastic Kubernetes Service (EKS) monitoring. It describes options that you can use to monitor and manage the logs of an AKS cluster and its workloads. Note This article is part of aseries of articlesthat helps professionals who are familiar withAmazon EKSunderstandAzure Kubernetes Service (AKS).,2025-04-08T17:31:00.000Z,concept-article,comparing,0.65,True,"Page is explicitly a comparison of AKS and EKS monitoring and logging options. Azure Architecture Center comparison articles typically include concrete, product-specific details (for example, which metrics/logs are available through which service, how control-plane vs node logs are surfaced, and which integrations are supported) that go beyond generic concepts. This fits the comparing sub-skill as it helps decide between and map features across AKS and EKS monitoring approaches."
https://learn.microsoft.com/en-us/azure/architecture/aws-professional/eks-to-aks/node-pools,Agent node management,Manage Kubernetes Nodes and Node Pools - Azure Architecture Center,Compare AKS and EKS node and pool options,"Understand Kubernetes nodes and node pools, how to handle Azure Kubernetes Service (AKS) nodes and node pools, and node pool options for Amazon EKS and AKS.","Kubernetes architecture consists of two layers: thecontrol planeand at least onenode in a node pool. This article describes and compares how Amazon Elastic Kubernetes Service (EKS) and Azure Kubernetes Service (AKS) manage agent nodes and worker nodes. Note This article is part of aseries of articlesthat helps professionals who are familiar withAmazon EKSunderstandAzure Kubernetes Service (AKS). In both Amazon EKS and AKS, the cloud platform provides and manages the control plane layer, and the ",2025-04-08T17:31:00.000Z,concept-article,comparing,0.65,True,"Describes and compares how EKS and AKS manage agent/worker nodes and node pools. This is concrete, product-specific behavior and feature mapping (for example, system vs user node pools, scaling models, upgrade behaviors) that helps choose and configure options across platforms, fitting the comparing sub-skill."
